Sample,cell counting(x106),cell_counts
1: Anterior LN_60_026.fcs,2.4,2400000
2: Anterior LN_62_027.fcs,1.1,1100000
3: Anterior LN_63_028.fcs,1.5,1500000
4: Anterior LN_65_029.fcs,2.7,2700000
5: Anterior LN_69_036.fcs,2.4,2400000
6: Anterior LN_70_030.fcs,4.3,4300000
7: Anterior LN_72_040.fcs,2.9,2900000
8: Anterior LN_73_049.fcs,3.4,3400000
9: Anterior LN_75_041.fcs,1.5,1500000
10: Anterior LN_76_039.fcs,5.2,5200000
11: Anterior LN_77_046.fcs,2.4,2400000
12: Anterior LN_78_050.fcs,1.7,1700000
13: Anterior LN_79_031.fcs,5,5000000
14: Anterior LN_80_037.fcs,1.3,1300000
15: Anterior LN_82_042.fcs,8.5,8500000
16: Anterior LN_83_043.fcs,2.4,2400000
17: Anterior LN_84_032.fcs,2.6,2600000
18: Anterior LN_85_033.fcs,2.8,2800000
19: Anterior LN_86_045.fcs,0.81,810000
20: Anterior LN_87_034.fcs,1,1000000
21: Anterior LN_88_047.fcs,1.8,1800000
22: Anterior LN_89_048.fcs,1,1000000
23: Anterior LN_91_035.fcs,6.2,6200000
24: Anterior LN_92_044.fcs,2.7,2700000
25: Anterior LN_93_051.fcs,2,2000000
26: Anterior LN_94_038.fcs,3.4,3400000
27: Posterior LN_60_001.fcs,8.8,8800000
28: Posterior LN_62_002.fcs,2.8,2800000
29: Posterior LN_63_003.fcs,3.7,3700000
30: Posterior LN_65_004.fcs,5.1,5100000
31: Posterior LN_69_011.fcs,4.9,4900000
32: Posterior LN_70_005.fcs,7,7000000
33: Posterior LN_72_015.fcs,1.3,1300000
34: Posterior LN_73_024.fcs,4.5,4500000
35: Posterior LN_75_016.fcs,1.1,1100000
36: Posterior LN_76_014.fcs,14,14000000
37: Posterior LN_77_021.fcs,2.8,2800000
38: Posterior LN_78_025.fcs,2.5,2500000
39: Posterior LN_79_006.fcs,4.4,4400000
40: Posterior LN_80_012.fcs,4.3,4300000
41: Posterior LN_82_017.fcs,4.8,4800000
42: Posterior LN_83_018.fcs,2.6,2600000
43: Posterior LN_84_007.fcs,5.8,5800000
44: Posterior LN_85_008.fcs,5.8,5800000
45: Posterior LN_86_020.fcs,1.6,1600000
46: Posterior LN_87_009.fcs,3.6,3600000
47: Posterior LN_88_022.fcs,1.2,1200000
48: Posterior LN_89_023.fcs,1.8,1800000
49: Posterior LN_91_010.fcs,0.5,500000
50: Posterior LN_92_019.fcs,1.8,1800000
51: Posterior LN_94_013.fcs,2.6,2600000
1: Anterior LN_27_028.fcs,7.1,7100000
2: Anterior LN_28_029.fcs,8,8000000
3: Anterior LN_29_042.fcs,1,1000000
4: Anterior LN_31_030.fcs,5.6,5600000
5: Anterior LN_32_043.fcs,8.6,8600000
6: Anterior LN_33_044.fcs,21,21000000
7: Anterior LN_34_031.fcs,23,23000000
8: Anterior LN_35_032.fcs,15.4,15400000
9: Anterior LN_36_033.fcs,20,20000000
10: Anterior LN_38_034.fcs,7,7000000
11: Anterior LN_39_045.fcs,3.5,3500000
12: Anterior LN_40_035.fcs,3,3000000
13: Anterior LN_47_046.fcs,8.4,8400000
14: Anterior LN_48_036.fcs,9.4,9400000
15: Anterior LN_49_037.fcs,9.4,9400000
16: Anterior LN_51_047.fcs,4.7,4700000
17: Anterior LN_54_048.fcs,2.4,2400000
18: Anterior LN_55_038.fcs,5.6,5600000
19: Anterior LN_56_049.fcs,17,17000000
20: Anterior LN_57_039.fcs,3.2,3200000
21: Anterior LN_58_040.fcs,5.1,5100000
22: Anterior LN_59_041.fcs,6.9,6900000
23: Anterior LN_61_050.fcs,1.4,1400000
24: Anterior LN_64_051.fcs,4.2,4200000
25: Anterior LN_66_052.fcs,3.6,3600000
26: Anterior LN_68_053.fcs,2.5,2500000
27: Anterior LN_71_054.fcs,9.6,9600000
36: Posterior LN_27_001.fcs,13.6,13600000
37: Posterior LN_28_002.fcs,10,10000000
38: Posterior LN_29_015.fcs,5.2,5200000
39: Posterior LN_31_003.fcs,12.3,12300000
40: Posterior LN_32_016.fcs,2.8,2800000
41: Posterior LN_33_017.fcs,13.2,13200000
42: Posterior LN_34_004.fcs,25,25000000
43: Posterior LN_35_005.fcs,13.7,13700000
44: Posterior LN_36_006.fcs,17.5,17500000
45: Posterior LN_38_007.fcs,9,9000000
46: Posterior LN_39_018.fcs,3.5,3500000
47: Posterior LN_40_008.fcs,7.4,7400000
48: Posterior LN_47_019.fcs,2.3,2300000
49: Posterior LN_48_009.fcs,24.3,24300000
50: Posterior LN_49_010.fcs,8.9,8900000
51: Posterior LN_51_020.fcs,2.3,2300000
52: Posterior LN_54_021.fcs,1.5,1500000
53: Posterior LN_55_011.fcs,15,15000000
54: Posterior LN_56_022.fcs,11.1,11100000
55: Posterior LN_57_012.fcs,5.3,5300000
56: Posterior LN_58_013.fcs,6.4,6400000
57: Posterior LN_59_014.fcs,10.1,10100000
58: Posterior LN_61_023.fcs,1.1,1100000
59: Posterior LN_64_024.fcs,2.1,2100000
60: Posterior LN_66_025.fcs,4.4,4400000
61: Posterior LN_68_026.fcs,2,2000000
62: Posterior LN_71_027.fcs,1.5,1500000
