EH_ID,dpi,mouse_id,name,ear,sex,born,age,age_weeks,Mouse_strain,line,room.rack,cage,comment,infection_isolate,num.inf,Infection_date,weight,weightRelativeToInfection,label,OPG,oocysts.per.tube
LM0096,0,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,17.45,98.3652762119504,HI,0,0
LM0096,1,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,17.74,100,PS,0,0
LM0096,2,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,17.3,97.5197294250282,CP,0,0
LM0096,3,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,17.28,97.4069898534386,UV,0,0
LM0096,4,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,16.7,94.1375422773393,FG,0,0
LM0096,5,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,17.25,97.2378804960541,AE,0,0
LM0096,6,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,16.5,93.0101465614431,VZ,0,0
LM0096,7,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,16.49,92.9537767756483,PQ,34965.034965035,50000
LM0096,8,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,14.52,81.8489289740699,BJ,1114583.33333333,267500
LM0096,9,50035522,PWD158.1.D.2F,0,f,16.04.2016,353,50,PWD,PWD,WM1.12/5.1,2164,,Eflab,9,11_May_17,13.49,76.0428410372041,CU,125000,7500
LM0097,0,50032958,PWD157.1.A.3M,0,m,11.02.2016,418,60,PWD,PWD,WM1.12/8.5,24,(in mating 6837),EI64,5,8_May_17,NA,NA,IK,0,0
LM0097,1,50032958,PWD157.1.A.3M,0,m,11.02.2016,418,60,PWD,PWD,WM1.12/8.5,24,(in mating 6837),EI64,5,8_May_17,17.61,100,JX,0,0
