labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,Expe,Eimeria,,
OTV,LM0198,2,17.73,17.65,-0.4532577904,,Expe005_1a,E88,,
CFG,LM0199,2,26.95,26.85,-0.3724394786,,Expe005_1a,E88,,
CGY,LM0200,2,23.82,22.32,-6.7204301075,,Expe005_1a,E88,,
AIO,LM0201,2,22.01,21.75,-1.1954022989,,Expe005_1a,E88,,
APX,LM0202,2,18.23,17.68,-3.1108597285,,Expe005_1a,E88,,
ILR,LM0203,2,20.02,20.26,1.1846001974,,Expe005_1a,E88,,
HKT,LM0179,3,19.03,18.93,-0.528262018,,Expe005_1a,E88,,
CLZ,LM0180,3,23.79,24.1,1.2863070539,,Expe005_1a,E88,,
QTW,LM0181,3,17.41,17.5,0.5142857143,,Expe005_1a,E88,,
HIS,LM0182,3,17.83,16.94,-5.253837072,,Expe005_1a,E88,,
AVZ,LM0183,3,16.6,17.08,2.8103044496,,Expe005_1a,E88,,
LPU,LM0184,3,22.19,22.8,2.6754385965,,Expe005_1a,E88,,
IPT,LM0185,3,20.13,20.1,-0.1492537313,,Expe005_1a,E88,,
FJQ,LM0186,3,17.82,18.1,1.546961326,,Expe005_1a,E88,,
MNV,LM0187,3,16.18,16.71,3.1717534411,,Expe005_1a,E88,,
DRY,LM0188,3,20.15,20.6,2.1844660194,,Expe005_1a,E88,,
KSV,LM0189,3,16.14,17.03,5.2260716383,,Expe005_1a,E88,,
GQX,LM0190,3,15.49,15.55,0.38585209,,Expe005_1a,E88,,
MRT,LM0191,3,21.49,21.97,2.1847974511,,Expe005_1a,E88,,
KNU,LM0192,3,21.82,21.06,-3.6087369421,,Expe005_1a,E88,,
AEN,LM0193,3,16.48,16.4,-0.487804878,,Expe005_1a,E88,,
NQY,LM0194,3,19.69,20.37,3.3382425135,,Expe005_1a,E88,,
EGS,LM0195,3,17.22,16.88,-2.0142180095,,Expe005_1a,E88,,
GHX,LM0196,3,21.6,22.5,4,,Expe005_1a,E88,,
AFR,LM0197,3,20.99,21.35,1.6861826698,,Expe005_1a,E88,left hand got stuck in between plastic box and lid,
OVY,LM0198,3,17.3,17.65,1.9830028329,,Expe005_1a,E88,,
BPQ,LM0199,3,27.06,26.85,-0.782122905,,Expe005_1a,E88,,
ILZ,LM0200,3,24.58,22.32,-10.1254480287,,Expe005_1a,E88,,
GUV,LM0201,3,21.23,21.75,2.3908045977,,Expe005_1a,E88,,
GJT,LM0202,3,18.37,17.68,-3.9027149321,,Expe005_1a,E88,,
QRV,LM0203,3,20.64,20.26,-1.8756169793,,Expe005_1a,E88,,
ELN,LM0179,4,19.45,18.93,-2.7469624934,"1,71",Expe005_1a,E88,,
GLV,LM0180,4,24.01,24.1,0.3734439834,"0,96",Expe005_1a,E88,,
PSY,LM0181,4,17.65,17.5,-0.8571428571,"1,18",Expe005_1a,E88,,
ABD,LM0182,4,17.35,16.94,-2.4203069658,"1,14",Expe005_1a,E88,,
DEO,LM0183,4,17.1,17.08,-0.1170960187,"0,93",Expe005_1a,E88,,
EHS,LM0184,4,21.86,22.8,4.1228070175,"1,51",Expe005_1a,E88,,
BCE,LM0185,4,20.6,20.1,-2.4875621891,"0,94",Expe005_1a,E88,,
CEW,LM0186,4,18.25,18.1,-0.8287292818,"1,65",Expe005_1a,E88,,
EPU,LM0187,4,16.02,16.71,4.1292639138,"0,81",Expe005_1a,E88,,
DNX,LM0188,4,19.76,20.6,4.0776699029,"1,33",Expe005_1a,E88,,
AYZ,LM0189,4,16.24,17.03,4.6388725778,"0,88",Expe005_1a,E88,,
VWX,LM0190,4,16.06,15.55,-3.2797427653,"0,83",Expe005_1a,E88,,
BHO,LM0191,4,22.15,21.97,-0.8192990442,"1,17",Expe005_1a,E88,,
EHN,LM0192,4,21.6,21.06,-2.5641025641,"1,37",Expe005_1a,E88,,
