labels,EH_ID,dpi,oocyst_1,oocyst_2,oocyst_3,oocyst_4,average,OPG,comment,volume_PBS_mL,batch
ABC,LM0282,7,0,0,0,0,0,,,1,b
ABL,LM0275,4,0,0,0,0,0,,,1,b
ABO,LM0262,8,1,0,0,0,0.25,,,1,b
ABP,LM0277,3,0,0,0,0,0,,,1,b
ABW,LM0276,1,0,0,0,0,0,,,1,b
ACH,LM0275,7,0,0,0,0,0,,,1,b
ACW,LM0285,1,0,0,0,0,0,,,1,b
ADF,LM0295,1,0,0,0,0,0,,,1,b
ADS,LM0277,1,0,0,0,0,0,,,1,b
AEG,LM0288,3,0,0,0,0,0,,,1,b
AFK,LM0275,2,0,0,0,0,0,,,1,b
AFP,LM0265,5,28,32,20,25,26.25,,plus 1ml PBS,2,b
AGL,LM0289,5,0,0,0,0,0,,,1,b
AHT,LM0293,3,0,0,0,0,0,,,1,b
AHU,LM0265,6,12,14,23,5,13.5,,,1,b
AHV,LM0273,0,0,0,0,0,0,,,1,b
AIZ,LM0293,5,0,0,0,0,0,,,1,b
AJN,LM0283,7,0,0,0,0,0,,,1,b
AKL,LM0289,1,0,0,0,0,0,,,1,b
AKS,LM0263,1,0,0,0,0,0,,,1,b
AMV,LM0262,5,8,7,17,8,10,,,1,b
ANY,LM0295,5,47,39,42,49,44.25,,,1,b
AOT,LM0272,0,0,0,0,0,0,,,1,b
AOZ,LM0270,2,0,0,0,0,0,,,1,b
AQY,LM0269,6,3,2,1,0,1.5,,,1,b
ARS,LM0270,3,0,0,0,0,0,,,1,b
ART,LM0277,5,0,0,0,0,0,,,1,b
AST,LM0287,3,0,0,0,0,0,,,1,b
ATW,LM0293,1,0,0,0,0,0,,,1,b
AUW,LM0282,3,0,0,0,0,0,,,1,b
AUZ,LM0260,6,9,18,9,14,12.5,,,1,b
AVW,LM0280,6,30,23,20,24,24.25,,,1,b
AWX,LM0283,6,0,0,0,0,0,,,1,b
AYZ,LM0272,8,0,0,0,0,0,,,1,b
BCF,LM0288,5,0,0,0,0,0,,,1,b
BDP,LM0276,2,0,0,0,0,0,,,1,b
BEV,LM0285,7,13,5,11,15,11,,,1,b
BGI,LM0286,6,0,0,0,0,0,,,1,b
BGP,LM0294,2,0,0,0,0,0,,,1,b
BGV,LM0270,5,21,20,13,18,18,,,1,b
BGY,LM0276,8,0,0,0,0,0,,,1,b
BHX,LM0279,4,0,0,0,0,0,,,1,b
BIJ,LM0263,4,0,0,0,0,0,,,1,b
BIN,LM0277,6,0,0,0,0,0,,,1,b
BIT,LM0285,2,0,0,0,0,0,,,1,b
BIW,LM0269,0,0,0,0,0,0,,,1,b
BKV,LM0262,4,0,0,0,0,0,,,1,b
BKY,LM0265,2,0,0,0,0,0,,,1,b
BLW,LM0292,1,0,0,0,0,0,,,1,b
BMR,LM0283,3,0,0,0,0,0,,,1,b
BMS,LM0279,5,4,9,7,1,5.25,,,1,b
BMX,LM0285,8,14,13,8,13,12,,,1,b
BNQ,LM0279,0,0,0,0,0,0,,,1,b
BNT,LM0286,4,0,0,0,0,0,,,1,b
BNW,LM0293,4,0,0,0,0,0,,,1,b
BQV,LM0273,4,0,0,0,0,0,,,1,b
BQY,LM0291,8,2,9,9,2,5.5,,,1,b
BRZ,LM0277,2,0,0,0,0,0,,,1,b
BTV,LM0292,5,0,0,0,0,0,,,1,b
