"labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG"
"GY",NA,NA,NA,NA,NA,NA,NA
"GK",NA,NA,NA,NA,NA,NA,NA
"LU",NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA
"TV",NA,NA,NA,NA,NA,NA,NA
"LO",NA,NA,NA,NA,NA,NA,NA
"HY",NA,NA,NA,NA,NA,NA,NA
"RW",NA,NA,NA,NA,NA,NA,NA
"EI",NA,NA,NA,NA,NA,NA,NA
"SX",NA,NA,NA,NA,NA,NA,NA
"VX",NA,NA,NA,NA,NA,NA,NA
"OT",NA,NA,NA,NA,NA,NA,NA
"UZ",NA,NA,NA,NA,NA,NA,NA
"IU",NA,NA,NA,NA,NA,NA,NA
"SZ",NA,NA,NA,NA,NA,NA,NA
"EL",NA,NA,NA,NA,NA,NA,NA
"HW",NA,NA,NA,NA,NA,NA,NA
"NW",NA,NA,NA,NA,NA,NA,NA
"JW",NA,NA,NA,NA,NA,NA,NA
"IX",NA,NA,NA,NA,NA,NA,NA
"JK",NA,NA,NA,NA,NA,NA,NA
"AM",NA,NA,NA,NA,NA,NA,NA
"CH",NA,NA,NA,NA,NA,NA,NA
"IL",NA,NA,NA,NA,NA,NA,NA
"BW",NA,NA,NA,NA,NA,NA,NA
"DK",NA,NA,NA,NA,NA,NA,NA
"FP",NA,NA,NA,NA,NA,NA,NA
"JP",NA,NA,NA,NA,NA,NA,NA
"DJ",NA,NA,NA,NA,NA,NA,NA
"QT",NA,NA,NA,NA,NA,NA,NA
"RZ",NA,NA,NA,NA,NA,NA,NA
"BC",NA,NA,NA,NA,NA,NA,NA
"DH",NA,NA,NA,NA,NA,NA,NA
"KR",NA,NA,NA,NA,NA,NA,NA
"EZ",NA,NA,NA,NA,NA,NA,NA
"UX",NA,NA,NA,NA,NA,NA,NA
"BD",NA,NA,NA,NA,NA,NA,NA
"HT",NA,NA,NA,NA,NA,NA,NA
"LT",NA,NA,NA,NA,NA,NA,NA
"GQ",NA,NA,NA,NA,NA,NA,NA
"FJ",NA,NA,NA,NA,NA,NA,NA
"JR",NA,NA,NA,NA,NA,NA,NA
