labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
HKT,LM0271,1,,,0,#DIV/0!,,,,,,,,
EWX,LM0272,1,,,0,#DIV/0!,,,,,,,,
OSX,LM0273,1,,,0,#DIV/0!,,,,,,,,
GPT,LM0275,1,,,0,#DIV/0!,,,,,,,,
ABW,LM0276,1,,,0,#DIV/0!,,,,,,,,
ADS,LM0277,1,,,0,#DIV/0!,,,,,,,,
LMV,LM0278,1,,,0,#DIV/0!,,,,,,,,
ACE,LM0281,1,,,0,#DIV/0!,,,,,,,,
GLS,LM0282,1,,,0,#DIV/0!,,,,,,,,
KPU,LM0283,1,,,0,#DIV/0!,,,,,,,,
DGQ,LM0286,1,,,0,#DIV/0!,,,,,,,,
LPW,LM0288,1,,,0,#DIV/0!,,,,,,,,
AKL,LM0289,1,,,0,#DIV/0!,,,,,,,,
BLW,LM0292,1,,,0,#DIV/0!,,,,,,,,
ATW,LM0293,1,,,0,#DIV/0!,,,,,,,,
ALV,LM0227,2,,,0,#DIV/0!,,,,,,,,
CRZ,LM0228,2,,,0,#DIV/0!,,,,,,,,
ANS,LM0231,2,,,0,#DIV/0!,,,,,,,,
JMZ,LM0234,2,,,0,#DIV/0!,,,,,,,,
EHM,LM0235,2,,,0,#DIV/0!,,,,,,,,
PRV,LM0236,2,,,0,#DIV/0!,,,,,,,,
GMW,LM0238,2,,,0,#DIV/0!,,,,,,,,
ACZ,LM0240,2,,,0,#DIV/0!,,,,,,,,
FJR,LM0248,2,,,0,#DIV/0!,,,,,,,,
FMR,LM0249,2,,,0,#DIV/0!,,,,,,,,
FGM,LM0255,2,,,0,#DIV/0!,,,,,,,,
EJP,LM0257,2,,,0,#DIV/0!,,,,,,,,
CGS,LM0258,2,,,0,#DIV/0!,,,,,,,,
AFV,LM0259,2,,,0,#DIV/0!,,,,,,,,
RTX,LM0260,2,,,0,#DIV/0!,,,,,,,,
CFV,LM0262,2,,,0,#DIV/0!,,,,,,,,
DHI,LM0263,2,,,0,#DIV/0!,,,,,,,,
BKY,LM0265,2,,,0,#DIV/0!,,,,,,,,
JPY,LM0267,2,,,0,#DIV/0!,,,,,,,,
EIV,LM0269,2,,,0,#DIV/0!,,,,,,,,
AOZ,LM0270,2,,,0,#DIV/0!,,,,,,,,
STZ,LM0279,2,,,0,#DIV/0!,,,,,,,,
FJY,LM0280,2,,,0,#DIV/0!,,,,,,,,
CRX,LM0284,2,,,0,#DIV/0!,,,,,,,,
BIT,LM0285,2,,,0,#DIV/0!,,,,,,,,
ELU,LM0287,2,,,0,#DIV/0!,,,,,,,,
PXY,LM0291,2,,,0,#DIV/0!,,,,,,,,
BGP,LM0294,2,,,0,#DIV/0!,,,,,,,,
CGI,LM0295,2,,,0,#DIV/0!,,,,,,,,
BIO,LM0229,2,,,0,#DIV/0!,,,,,,,,
AGP,LM0232,2,,,0,#DIV/0!,,,,,,,,
DQW,LM0233,2,,,0,#DIV/0!,,,,,,,,
HPY,LM0239,2,,,0,#DIV/0!,,,,,,,,
GLT,LM0246,2,,,0,#DIV/0!,,,,,,,,
FHS,LM0247,2,,,0,#DIV/0!,,,,,,,,
DOT,LM0251,2,,,0,#DIV/0!,,,,,,,,
BQR,LM0254,2,,,0,#DIV/0!,,,,,,,,
BSU,LM0256,2,,,0,#DIV/0!,,,,,,,,
DMN,LM0261,2,,,0,#DIV/0!,,,,,,,,
OQT,LM0264,2,,,0,#DIV/0!,,,,,,,,
JUV,LM0266,2,,,0,#DIV/0!,,,,,,,,
EIU,LM0268,2,,,0,#DIV/0!,,,,,,,,
BEW,LM0271,2,,,0,#DIV/0!,,,,,,,,
CKS,LM0272,2,,,0,#DIV/0!,,,,,,,,
GTV,LM0273,2,,,0,#DIV/0!,,,,,,,,
AFK,LM0275,2,,,0,#DIV/0!,,,,,,,,
BDP,LM0276,2,,,0,#DIV/0!,,,,,,,,
BRZ,LM0277,2,,,0,#DIV/0!,,,,,,,,
QVX,LM0278,2,,,0,#DIV/0!,,,,,,,,
IKX,LM0281,2,,,0,#DIV/0!,,,,,,,,
RWX,LM0282,2,,,0,#DIV/0!,,,,,,,,
FJN,LM0283,2,,,0,#DIV/0!,,,,,,,,
DFQ,LM0286,2,,,0,#DIV/0!,,,,,,,,
DHV,LM0288,2,,,0,#DIV/0!,,,,,,,,
KQZ,LM0289,2,,,0,#DIV/0!,,,,,,,,
EHI,LM0292,2,,,0,#DIV/0!,,,,,,,,
JNY,LM0293,2,,,0,#DIV/0!,,,,,,,,
IPS,LM0227,3,,,0,#DIV/0!,,,,,,,,
CWZ,LM0228,3,,,0,#DIV/0!,,,,,,,,
BMW,LM0231,3,,,0,#DIV/0!,,,,,,,,
EKV,LM0234,3,,,0,#DIV/0!,,,,,,,,
QUZ,LM0235,3,,,0,#DIV/0!,,,,,,,,
ADG,LM0236,3,,,0,#DIV/0!,,,,,,,,
KUZ,LM0238,3,,,0,#DIV/0!,,,,,,,,
EKX,LM0240,3,,,0,#DIV/0!,,,,,,,,
QTX,LM0248,3,,,0,#DIV/0!,,,,,,,,
LNU,LM0249,3,,,0,#DIV/0!,,,,,,,,
DFU,LM0255,3,,,0,#DIV/0!,,,,,,,,
LOW,LM0257,3,,,0,#DIV/0!,,,,,,,,
FYZ,LM0258,3,,,0,#DIV/0!,,,,,,,,
GTW,LM0259,3,,,0,#DIV/0!,,,,,,,,
ITX,LM0260,3,,,0,#DIV/0!,,,,,,,,
NRV,LM0262,3,,,0,#DIV/0!,,,,,,,,
QRT,LM0263,3,,,0,#DIV/0!,,,,,,,,
EIS,LM0265,3,,,0,#DIV/0!,,,,,,,,
CPY,LM0267,3,,,0,#DIV/0!,,,,,,,,
MNP,LM0269,3,,,0,#DIV/0!,,,,,,,,
ARS,LM0270,3,,,0,#DIV/0!,,,,,,,,
QSV,LM0279,3,,,0,#DIV/0!,,,,,,,,
NXY,LM0280,3,,,0,#DIV/0!,,,,,,,,
FMV,LM0284,3,,,0,#DIV/0!,,,,,,,,
CHZ,LM0285,3,,,0,#DIV/0!,,,,,,,,
AST,LM0287,3,,,0,#DIV/0!,,,,,,,,
HLV,LM0291,3,,,0,#DIV/0!,,,,,,,,
NOQ,LM0294,3,,,0,#DIV/0!,,,,,,,,
DMR,LM0295,3,,,0,#DIV/0!,,,,,,,,
AIO,LM0229,3,,,0,#DIV/0!,,,,,,,,
GIU,LM0232,3,,,0,#DIV/0!,,,,,,,,
ERY,LM0233,3,,,0,#DIV/0!,,,,,,,,
EFQ,LM0239,3,,,0,#DIV/0!,,,,,,,,
FGP,LM0246,3,,,0,#DIV/0!,,,,,,,,
BKM,LM0247,3,,,0,#DIV/0!,,,,,,,,
GLO,LM0251,3,,,0,#DIV/0!,,,,,,,,
CHI,LM0254,3,,,0,#DIV/0!,,,,,,,,
KNQ,LM0256,3,,,0,#DIV/0!,,,,,,,,
DTW,LM0261,3,,,0,#DIV/0!,,,,,,,,
ENV,LM0264,3,,,0,#DIV/0!,,,,,,,,
GRV,LM0266,3,,,0,#DIV/0!,,,,,,,,
AWZ,LM0268,3,,,0,#DIV/0!,,,,,,,,
ACO,LM0271,3,,,0,#DIV/0!,,,,,,,,
LQW,LM0272,3,,,0,#DIV/0!,,,,,,,,
CLX,LM0273,3,,,0,#DIV/0!,,,,,,,,
UWZ,LM0275,3,,,0,#DIV/0!,,,,,,,,
ESY,LM0276,3,,,0,#DIV/0!,,,,,,,,
ABP,LM0277,3,,,0,#DIV/0!,,,,,,,,
KMP,LM0278,3,,,0,#DIV/0!,,,,,,,,
KLU,LM0281,3,,,0,#DIV/0!,,,,,,,,
AUW,LM0282,3,,,0,#DIV/0!,,,,,,,,
BMR,LM0283,3,,,0,#DIV/0!,,,,,,,,
DKV,LM0286,3,,,0,#DIV/0!,,,,,,,,
AEG,LM0288,3,,,0,#DIV/0!,,,,,,,,
CER,LM0289,3,,,0,#DIV/0!,,,,,,,,
SYZ,LM0292,3,,,0,#DIV/0!,,,,,,,,
AHT,LM0293,3,,,0,#DIV/0!,,,,,,,,
ELZ,LM0227,4,,,0,#DIV/0!,,,,,,,,
BJR,LM0228,4,,,0,#DIV/0!,,,,,,,,
BCE,LM0231,4,,,0,#DIV/0!,,,,,,,,
CET,LM0234,4,,,0,#DIV/0!,,,,,,,,
DHL,LM0235,4,,,0,#DIV/0!,,,,,,,,
BHI,LM0236,4,,,0,#DIV/0!,,,,,,,,
INU,LM0238,4,,,0,#DIV/0!,,,,,,,,
KMQ,LM0240,4,,,0,#DIV/0!,,,,,,,,
AQW,LM0248,4,,,0,#DIV/0!,,,,,,,,
MPU,LM0249,4,,,0,#DIV/0!,,,,,,,,
CHX,LM0255,4,,,0,#DIV/0!,,,,,,,,
DHX,LM0257,4,,,0,#DIV/0!,,,,,,,,
AEQ,LM0258,4,,,0,#DIV/0!,,,,,,,,
DKW,LM0259,4,,,0,#DIV/0!,,,,,,,,
GIT,LM0260,4,,,0,#DIV/0!,,,,,,,,
BKV,LM0262,4,,,0,#DIV/0!,,,,,,,,
BIJ,LM0263,4,,,0,#DIV/0!,,,,,,,,
FGW,LM0265,4,,,0,#DIV/0!,,,,,,,,
AVW,LM0267,4,,,0,#DIV/0!,,,,,,,,
SUZ,LM0269,4,,,0,#DIV/0!,,,,,,,,
BTZ,LM0270,4,,,0,#DIV/0!,,,,,,,,
BHX,LM0279,4,,,0,#DIV/0!,,,,,,,,
HKN,LM0280,4,,,0,#DIV/0!,,,,,,,,
KLT,LM0284,4,,,0,#DIV/0!,,,,,,,,
CMQ,LM0285,4,,,0,#DIV/0!,,,,,,,,
EPQ,LM0287,4,,,0,#DIV/0!,,,,,,,,
FXZ,LM0291,4,,,0,#DIV/0!,,,,,,,,
LPQ,LM0294,4,,,0,#DIV/0!,,,,,,,,
DRT,LM0295,4,,,0,#DIV/0!,,,,,,,,
LUV,LM0229,4,,,0,#DIV/0!,,,,,,,,
BFJ,LM0232,4,,,0,#DIV/0!,,,,,,,,
IMR,LM0233,4,,,0,#DIV/0!,,,,,,,,
