;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;MouseCaecum1;25,822956693377;25,822956693377;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum2;26,33281738992;26,33281738992;n. def.;n. def.;n. def.;No change;0,484325031329414;Yes
;CDC42;MouseCaecum3;21,5740929986916;21,5740929986916;n. def.;n. def.;n. def.;No change;0,536920213179147;Yes
;CDC42;MouseCaecum4;24,1439183970807;24,1439183970807;n. def.;n. def.;n. def.;No change;0,378657925128095;Yes
;CXCL9;MouseCaecum1;27,3603974613587;27,3603974613587;0,0584381616031348;1;1;No change;n. def.;No
;CXCL9;MouseCaecum2;27,6947140484602;27,6947140484602;0,0341405473448728;0,584216655834043;-1,71169375267532;No change;0,426575289630914;Yes
;CXCL9;MouseCaecum3;23,2662322731451;23,2662322731451;0,0364892351972917;0,624407650690612;-1,60151785279052;No change;0,452918488979635;Yes
;CXCL9;MouseCaecum4;20,4179780186349;20,4179780186349;0,227125203250896;3,88659049190063;3,88659049190063;No change;n. def.;No
;IFN-g;MouseCaecum1;32,3347528684035;32,3347528684035;0,00185894422024103;1;1;No change;n. def.;No
;IFN-g;MouseCaecum2;32,476653956075;32,476653956075;0,00124097527804695;0,667569938104998;-1,49797038919796;No change;0,35835759841424;Yes
;IFN-g;MouseCaecum3;24,3266384102861;24,3266384102861;0,0174964808562682;9,41205264028826;9,41205264028826;Up regulated;0,00113563615862911;No
;IFN-g;MouseCaecum4;22,3592714913063;22,3592714913063;0,0591395156427586;31,8134966067408;31,8134966067408;Up regulated;0,0352568109194199;Yes
;IL-10;MouseCaecum1;33,6404343644852;33,6404343644852;0,000751998654187089;1;1;No change;n. def.;No
;IL-10;MouseCaecum2;35,3718914499402;35,3718914499402;0,000166805282333371;0,221815931989516;-4,50824244692787;Down regulated;0,386649562360309;Yes
;IL-10;MouseCaecum3;29,612743517213;29,612743517213;0,000448409193887889;0,596289888806543;-1,67703665410371;No change;0,511581302562462;Yes
;IL-10;MouseCaecum4;28,2337209183989;28,2337209183989;0,00100807368446852;1,34052591564575;1,34052591564575;No change;0,852795495715337;Yes
;IL-12;MouseCaecum1;31,1177221257145;31,1177221257145;0,00432144627016819;1;1;No change;n. def.;No
;IL-12;MouseCaecum2;39,0093310092664;39,0093310092664;1,34039063493839E-05;0,00310171769157788;-322,402004126716;Down regulated;n. def.;No
;IL-12;MouseCaecum3;28,1341637656118;28,1341637656118;0,00124960100183223;0,289162683904803;-3,45826088794091;No change;0,108068044423292;Yes
;IL-12;MouseCaecum4;28,5736195885147;28,5736195885147;0,000796475795858935;0,184307693782326;-5,42570947244902;Down regulated;0,086815994708788;Yes
;IL-6;MouseCaecum1;30,0831095691239;30,0831095691239;0,00885275674886783;1;1;No change;n. def.;No
;IL-6;MouseCaecum2;29,5488860832179;29,5488860832179;0,00944298021839422;1,06667114959438;1,06667114959438;No change;0,7478935614804;Yes
;IL-6;MouseCaecum3;20,9640001296505;20,9640001296505;0,179972310813835;20,3295217432527;20,3295217432527;Up regulated;0,0055187525008249;No
;IL-6;MouseCaecum4;24,4917181813998;24,4917181813998;0,0134879934203898;1,52359245859938;1,52359245859938;No change;0,118993330892409;Yes
;Ppia;MouseCaecum1;21,1445323579988;21,1445323579988;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum2;20,2979585755955;20,2979585755955;n. def.;n. def.;n. def.;No change;0,0283105679874596;Yes
;Ppia;MouseCaecum3;15,8818062476281;15,8818062476281;n. def.;n. def.;n. def.;No change;0,176137034725692;Yes
;Ppia;MouseCaecum4;13,8973917745869;13,8973917745869;n. def.;n. def.;n. def.;No change;0,126452629143268;Yes
;Ppib;MouseCaecum1;22,822867143398;22,822867143398;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum2;21,8362561745133;21,8362561745133;n. def.;n. def.;n. def.;No change;0,121958768687235;Yes
;Ppib;MouseCaecum3;18,0136417422281;18,0136417422281;n. def.;n. def.;n. def.;No change;0,848109090183704;Yes
;Ppib;MouseCaecum4;16,7973030160924;16,7973030160924;n. def.;n. def.;n. def.;No change;0,017027881029163;Yes
;STAT6;MouseCaecum1;28,3182046523686;28,3182046523686;0,0300862354928181;1;1;No change;n. def.;No
;STAT6;MouseCaecum2;29,212559456972;29,212559456972;0,0119221198330023;0,396264924398674;-2,52356425822317;No change;0,0232216691830198;Yes
;STAT6;MouseCaecum3;23,6736886462733;23,6736886462733;0,0275111136222801;0,914408638091237;-1,09360296736416;No change;0,209399316777001;Yes
;STAT6;MouseCaecum4;24,2736456709309;24,2736456709309;0,0156889439807296;0,521465837242239;-1,91767116574401;No change;0,00349503562696163;No
;TGF-b;MouseCaecum1;29,4100739880474;29,4100739880474;0,0141150502677854;1;1;No change;n. def.;No
;TGF-b;MouseCaecum2;30,6814897428192;30,6814897428192;0,00430686645069578;0,305125831576052;-3,27733641833846;No change;0,000451064454444983;No
;TGF-b;MouseCaecum3;23,3256813314076;23,3256813314076;0,0350161836235937;2,48076931780475;2,48076931780475;No change;0,00292015635194243;No
;TGF-b;MouseCaecum4;23,2312905615511;23,2312905615511;0,0323127459693911;2,28924058762568;2,28924058762568;No change;6,20028606819201E-05;No
