"","EH_ID","experiment","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","Locality","Genome","mouse_strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","primary_infection","InfectionStrain","challenge_infection","contamination","infection_history","InfectionHistoryTotal"
"1","LM0204","E57","E57aCIO",19.26,19.26,100,2.15,0,"primary",0,0,0,0,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"10","LM0204","E57","E57aILQ",19.08,19.26,99.0654205607476,0,1,"primary",NA,NA,NA,NA,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"3","LM0204","E57","E57aAEF",19.36,19.26,100.519210799585,0,2,"primary",NA,NA,NA,NA,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"4","LM0204","E57","E57aHLV",19.99,19.26,103.790238836968,1.05,3,"primary",0,0,0,0,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"9","LM0204","E57","E57aKRW",18.62,19.26,96.6770508826583,1.75,4,"primary",0,1,1,2,2,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"2","LM0204","E57","E57aHLP",18.73,19.26,97.2481827622015,0.79,5,"primary",3,4,4,4,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"5","LM0204","E57","E57aAKU",19.92,19.26,103.426791277259,1.5,6,"primary",388,342,414,380,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"11","LM0204","E57","E57aKOT",20.19,19.26,104.828660436137,1.43,7,"primary",48,55,53,58,2,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"7","LM0204","E57","E57aJMO",20.42,19.26,106.022845275182,1.76,8,"primary",1,0,1,5,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"6","LM0204","E57","E57aFWY",20.55,19.26,106.697819314642,1.64,9,"primary",0,0,0,0,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"8","LM0204","E57","E57aMTU",20.22,19.26,104.984423676012,1.38,10,"primary",0,0,0,0,1,"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64",NA,NA,NA,NA,NA
"12","LM0206","E57","E57aKOX",16.97,16.97,100,1.47,0,"primary",0,0,0,0,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"20","LM0206","E57","E57aERU",17.39,16.97,102.474955804361,0,1,"primary",NA,NA,NA,NA,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"17","LM0206","E57","E57aFIW",16.21,16.97,95.5215085444903,0,2,"primary",NA,NA,NA,NA,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"16","LM0206","E57","E57aLOW",17.4,16.97,102.533883323512,0.69,3,"primary",0,0,0,0,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"21","LM0206","E57","E57aAIS",15.86,16.97,93.4590453741898,0.88,4,"primary",0,0,0,0,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"13","LM0206","E57","E57aBUV",15.27,16.97,89.9823217442546,0.6,5,"primary",0,0,0,1,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"19","LM0206","E57","E57aBEM",16.29,16.97,95.9929286977018,1.33,6,"primary",519,396,575,455,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
