"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"LM0214","E57","STRA_STRA","E64",NA,NA,"E57aCEY",28.05,27.43,102.260298942763,1.27,9,"primary",6,6,3,9,2
"LM0214","E57","STRA_STRA","E64",NA,NA,"E57aPRY",26.54,27.43,96.7553773240977,2.14,4,"primary",0,0,0,0,2
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aENO",25.42,23.9,106.359832635983,1.29,7,"primary",33,26,42,20,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aPRZ",24.17,23.9,101.129707112971,0,2,"primary",NA,NA,NA,NA,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aDGQ",24.29,23.9,101.63179916318,1.84,3,"primary",0,0,0,0,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aELT",23.9,23.9,100,1.73,0,"primary",0,0,0,0,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aKQY",25.05,23.9,104.811715481172,0.96,10,"primary",0,0,0,0,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aCPS",22.3,23.9,93.3054393305439,0.7,5,"primary",2,4,3,6,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aGMN",23.94,23.9,100.167364016736,0,1,"primary",NA,NA,NA,NA,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aKNW",24.82,23.9,103.849372384937,1.52,8,"primary",2,7,8,4,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aEQZ",25.25,23.9,105.648535564854,1.47,9,"primary",0,0,0,0,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aGMX",23.61,23.9,98.7866108786611,1.32,6,"primary",265,291,312,268,1
"LM0215","E57","BUSNA_STRA","E64",NA,NA,"E57aEWX",22.96,23.9,96.0669456066946,1.76,4,"primary",1,1,2,2,2
"LM0216","E57","BUSNA_BUSNA","E64",NA,NA,"E57aBDV",15.06,18.37,81.9814915623299,0.39,5,"primary",9,12,16,8,1
"LM0216","E57","BUSNA_BUSNA","E64",NA,NA,"E57aALW",17.04,18.37,92.7599346761023,1.62,8,"primary",0,0,0,0,1
"LM0216","E57","BUSNA_BUSNA","E64",NA,NA,"E57aAMT",17.79,18.37,96.842678279804,0.93,10,"primary",0,1,0,1,1
"LM0216","E57","BUSNA_BUSNA","E64",NA,NA,"E57aJOW",17.88,18.37,97.3326075122482,1.85,7,"primary",11,12,16,13,2
"LM0216","E57","BUSNA_BUSNA","E64",NA,NA,"E57aGIQ",16.29,18.37,88.6771910724006,1.05,4,"primary",0,0,0,2,1
