"EH_ID","labels","primary_infection","challenge_infection","dpi","experiment"
"LM0263","E57byAKS","E64","E64",1,"E57"
"LM0263","E57byJRZ","E64","E64",6,"E57"
"LM0263","E57byNPW","E64","E64",7,"E57"
"LM0263","E57byQRT","E64","E64",3,"E57"
"LM0263","E57byDHI","E64","E64",2,"E57"
"LM0263","E57byBIJ","E64","E64",4,"E57"
"LM0263","E57byCHM","E64","E64",5,"E57"
"LM0263","E57byLMZ","E64","E64",8,"E57"
"LM0263","E57byLNO","E64","E64",0,"E57"
"LM0285","E57byCRV","E64","E64",0,"E57"
"LM0285","E57byBEV","E64","E64",7,"E57"
"LM0285","E57byBIT","E64","E64",2,"E57"
"LM0285","E57byIKL","E64","E64",5,"E57"
"LM0285","E57byCLV","E64","E64",6,"E57"
"LM0285","E57byCMQ","E64","E64",4,"E57"
"LM0285","E57byCHZ","E64","E64",3,"E57"
"LM0285","E57byACW","E64","E64",1,"E57"
"LM0285","E57byBMX","E64","E64",8,"E57"
"LM0287","E57byAST","E64","E64",3,"E57"
"LM0287","E57byFLY","E64","E64",7,"E57"
"LM0287","E57byNPY","E64","E64",6,"E57"
"LM0287","E57byEPQ","E64","E64",4,"E57"
"LM0287","E57byHKV","E64","E64",0,"E57"
"LM0287","E57byPRZ","E64","E64",8,"E57"
"LM0287","E57byLMS","E64","E64",5,"E57"
"LM0287","E57byELU","E64","E64",2,"E57"
"LM0287","E57byDFL","E64","E64",1,"E57"
"LM0291","E57byGIR","E64","E64",0,"E57"
"LM0291","E57byFXZ","E64","E64",4,"E57"
"LM0291","E57byCPW","E64","E64",7,"E57"
"LM0291","E57byPVX","E64","E64",6,"E57"
"LM0291","E57byPXY","E64","E64",2,"E57"
"LM0291","E57byDMZ","E64","E64",5,"E57"
"LM0291","E57byBQY","E64","E64",8,"E57"
"LM0291","E57byHLV","E64","E64",3,"E57"
"LM0291","E57byEMP","E64","E64",1,"E57"
"LM0294","E57byPQZ","E64","E64",7,"E57"
"LM0294","E57byKTZ","E64","E64",5,"E57"
"LM0294","E57byNOQ","E64","E64",3,"E57"
"LM0294","E57byCHL","E64","E64",0,"E57"
"LM0294","E57byFLN","E64","E64",8,"E57"
"LM0294","E57byHKX","E64","E64",6,"E57"
"LM0294","E57byBGP","E64","E64",2,"E57"
"LM0294","E57byRSW","E64","E64",1,"E57"
"LM0294","E57byLPQ","E64","E64",4,"E57"
