;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,0853569727592873
;True;CXCL9;MouseCaecum2;0,0654784620949929
;True;CXCL9;MouseCaecum3;0,679172812822712
;True;CXCL9;MouseCaecum4;2,31823029010617
;True;IFN-g;MouseCaecum1;0,00468190668125028
;True;IFN-g;MouseCaecum2;0,00667437121810169
;True;IFN-g;MouseCaecum3;0,0728667412327302
;True;IFN-g;MouseCaecum4;0,00114726609210132
;True;IL-10;MouseCaecum1;0,0163540551991849
;True;IL-10;MouseCaecum2;0,000223669903900608
;True;IL-10;MouseCaecum3;0,00482424656951359
;True;IL-10;MouseCaecum4;0,0102055590685137
;True;IL-12;MouseCaecum1;0,178919568545168
;True;IL-12;MouseCaecum2;0,149862257413986
;True;IL-12;MouseCaecum3;0,0100767441274572
;True;IL-12;MouseCaecum4;0,00325253218583015
;True;IL-6;MouseCaecum1;0,414117663447863
;True;IL-6;MouseCaecum2;0,122197430410541
;True;IL-6;MouseCaecum3;0,000287809102679312
;True;IL-6;MouseCaecum4;0,00932152877824242
;True;STAT6;MouseCaecum1;0,0824146366245949
;True;STAT6;MouseCaecum2;0,105289104966596
;True;STAT6;MouseCaecum3;0,0148156299305093
;True;STAT6;MouseCaecum4;0,00405082797879307
;True;TGF-b;MouseCaecum1;0,0621301117109296
;True;TGF-b;MouseCaecum2;0,00788180188349109
;True;TGF-b;MouseCaecum3;0,000484282119895282
;True;TGF-b;MouseCaecum4;0,0729892752219177
