;Target;Sample;Regulation
;CDC42;MouseCaecum2;n. def.
;CXCL9;MouseCaecum2;-1,30358853931932
;IFN-g;MouseCaecum2;1,42556690521635
;IL-10;MouseCaecum2;-73,1169232605033
;IL-12;MouseCaecum2;-1,1938934567822
;IL-6;MouseCaecum2;-3,38892284442128
;Ppia;MouseCaecum2;n. def.
;Ppib;MouseCaecum2;n. def.
;STAT6;MouseCaecum2;1,2775534696124
;TGF-b;MouseCaecum2;-7,88272943539279
