;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;MouseCaecum1;25,0908396271478;25,0908396271478;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum2;24,4533643336334;24,4533643336334;n. def.;n. def.;n. def.;No change;0,00150992750260137;No
;CDC42;MouseCaecum3;24,5266202653369;24,5266202653369;n. def.;n. def.;n. def.;No change;0;No
;CDC42;MouseCaecum4;28,4306007578087;28,4306007578087;n. def.;n. def.;n. def.;No change;0;No
;CXCL9;MouseCaecum1;28,1711022564488;28,1711022564488;0,0853569727592873;1;1;No change;n. def.;No
;CXCL9;MouseCaecum2;26,339001892473;26,339001892473;0,0654784620949929;0,767113218502334;-1,30358853931932;No change;0,0786785037443879;Yes
;CXCL9;MouseCaecum3;20,1317906784389;20,1317906784389;0,679172812822712;7,95685215709357;7,95685215709357;Up regulated;0,000259558683278649;No
;CXCL9;MouseCaecum4;21,3028965267199;21,3028965267199;2,31823029010617;27,1592374373883;27,1592374373883;Up regulated;0,00298962027553196;No
;IFN-g;MouseCaecum1;32,3594431830337;32,3594431830337;0,00468190668125028;1;1;No change;n. def.;No
;IFN-g;MouseCaecum2;29,633318495523;29,633318495523;0,00667437121810169;1,42556690521635;1,42556690521635;No change;0,48874451167055;Yes
;IFN-g;MouseCaecum3;23,3522370110083;23,3522370110083;0,0728667412327302;15,5634757789046;15,5634757789046;Up regulated;0,515518622215258;Yes
;IFN-g;MouseCaecum4;32,2835046575508;32,2835046575508;0,00114726609210132;0,245042494481104;-4,08092482945692;Down regulated;0,75817977077214;Yes
;IL-10;MouseCaecum1;30,5549628524481;30,5549628524481;0,0163540551991849;1;1;No change;n. def.;No
;IL-10;MouseCaecum2;34,5325073732428;34,5325073732428;0,000223669903900608;0,0136767242849808;-73,1169232605033;Down regulated;0,160351219959038;Yes
;IL-10;MouseCaecum3;27,2691219314673;27,2691219314673;0,00482424656951359;0,294987788090261;-3,38997084073872;No change;0,243458544424373;Yes
;IL-10;MouseCaecum4;29,1304213889852;29,1304213889852;0,0102055590685137;0,624038438431001;-1,60246539061643;No change;0,438723972129898;Yes
;IL-12;MouseCaecum1;27,1033719880319;27,1033719880319;0,178919568545168;1;1;No change;n. def.;No
;IL-12;MouseCaecum2;25,1444571465075;25,1444571465075;0,149862257413986;0,83759567850821;-1,1938934567822;No change;0,624960417111687;Yes
;IL-12;MouseCaecum3;26,2064679141184;26,2064679141184;0,0100767441274572;0,0563199666162469;-17,7556923428915;Down regulated;0,150236211239764;Yes
;IL-12;MouseCaecum4;30,7801413669926;30,7801413669926;0,00325253218583015;0,0181787392641127;-55,009315303517;Down regulated;0,141256486677588;Yes
;IL-6;MouseCaecum1;25,892642432915;25,892642432915;0,414117663447863;1;1;No change;n. def.;No
;IL-6;MouseCaecum2;25,4388802867189;25,4388802867189;0,122197430410541;0,295079010620193;-3,38892284442128;No change;0,0429631674998039;Yes
;IL-6;MouseCaecum3;31,3362414506781;31,3362414506781;0,000287809102679312;0,00069499354430591;-1438,86228612195;Down regulated;0,0244094851409858;Yes
;IL-6;MouseCaecum4;29,2611381167455;29,2611381167455;0,00932152877824242;0,0225093725793611;-44,425938416289;Down regulated;0,0232506180502698;Yes
;Ppia;MouseCaecum1;25,1058580970077;25,1058580970077;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum2;20,0936263943489;20,0936263943489;n. def.;n. def.;n. def.;No change;0,752553830863238;Yes
;Ppia;MouseCaecum3;15,7621163204197;15,7621163204197;n. def.;n. def.;n. def.;No change;0,501849763987832;Yes
;Ppia;MouseCaecum4;18,3926537819504;18,3926537819504;n. def.;n. def.;n. def.;No change;0,351510176629293;Yes
;Ppib;MouseCaecum1;23,6655675087137;23,6655675087137;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum2;22,6715076921897;22,6715076921897;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum3;18,4321872924947;18,4321872924947;n. def.;n. def.;n. def.;No change;0,528603574096614;Yes
;Ppib;MouseCaecum4;20,7245067073693;20,7245067073693;n. def.;n. def.;n. def.;No change;0,185410369391259;Yes
;STAT6;MouseCaecum1;28,2217106883568;28,2217106883568;0,0824146366245949;1;1;No change;n. def.;No
;STAT6;MouseCaecum2;25,6537380770604;25,6537380770604;0,105289104966596;1,2775534696124;1,2775534696124;No change;0,082432289676542;Yes
;STAT6;MouseCaecum3;25,6503775144574;25,6503775144574;0,0148156299305093;0,179769401859958;-5,56268191168042;Down regulated;0,0043542417332566;No
;STAT6;MouseCaecum4;30,4634878790874;30,4634878790874;0,00405082797879307;0,0491518029405979;-20,3451336507136;Down regulated;0,00283671349211256;No
;TGF-b;MouseCaecum1;28,6293186191272;28,6293186191272;0,0621301117109296;1;1;No change;n. def.;No
;TGF-b;MouseCaecum2;29,3934249382857;29,3934249382857;0,00788180188349109;0,12685961229496;-7,88272943539279;Down regulated;0,0594260302362845;Yes
;TGF-b;MouseCaecum3;30,5855059338959;30,5855059338959;0,000484282119895282;0,00779464428051383;-128,293218267823;Down regulated;0,472826544043552;Yes
;TGF-b;MouseCaecum4;26,2920921102702;26,2920921102702;0,0729892752219177;1,17478100734008;1,17478100734008;No change;0,626258138901218;Yes
