;True;Target;Sample;Regulation;P-Value;Exceeds P-Value Threshold;Compared to Regulation Threshold
;True;CDC42;MouseCaecum2;n. def.;0,00150992750260137;No;No change
;True;CXCL9;MouseCaecum2;-1,30358853931932;0,0786785037443879;Yes;No change
;True;IFN-g;MouseCaecum2;1,42556690521635;0,48874451167055;Yes;No change
;True;IL-10;MouseCaecum2;-73,1169232605033;0,160351219959038;Yes;Down regulated
;True;IL-12;MouseCaecum2;-1,1938934567822;0,624960417111687;Yes;No change
;True;IL-6;MouseCaecum2;-3,38892284442128;0,0429631674998039;Yes;No change
;True;Ppia;MouseCaecum2;n. def.;0,752553830863238;Yes;No change
;True;Ppib;MouseCaecum2;n. def.;n. def.;No;No change
;True;STAT6;MouseCaecum2;1,2775534696124;0,082432289676542;Yes;No change
;True;TGF-b;MouseCaecum2;-7,88272943539279;0,0594260302362845;Yes;Down regulated
