;True;Target;Sample;Normalized Expression
;True;CXCL9;LM36;0,0263791708863474
;True;CXCL9;LM37;0,0345240100910733
;True;CXCL9;LM38;0,000168750627832776
;True;CXCL9;LM39;0,00669840833728475
;True;IFN-y;LM36;0,00856439031839451
;True;IFN-y;LM37;0,00187740749351239
;True;IFN-y;LM38;0,00019583480500364
;True;IFN-y;LM39;0,00135928047994132
;True;IL-10;LM36;0,000311126629727506
;True;IL-10;LM37;0,000147297448108703
;True;IL-10;LM38;2,90997622345843E-05
;True;IL-10;LM39;0,000214330650917229
;True;IL-12;LM36;3,63812780822211E-05
;True;IL-12;LM37;0,000141949253693571
;True;IL-12;LM38;1,44081545685205E-05
;True;IL-12;LM39;0,000199567822011891
;True;IL-6;LM36;0,000103477672018468
;True;IL-6;LM37;0,000196956483356552
;True;IL-6;LM38;0,000900462641035322
;True;IL-6;LM39;0,000868927955613959
;True;STAT6;LM36;0,000600594312473769
;True;STAT6;LM37;0,0032570065320309
;True;STAT6;LM38;0,00264527682655662
;True;STAT6;LM39;0,00199337168530351
;True;TGF-b;LM36;0,0205237409861861
;True;TGF-b;LM37;0,0132006852298351
;True;TGF-b;LM38;0,00686839337499303
;True;TGF-b;LM39;0,0113648078124451
