;Target;Sample;Regulation
;CDC42;LM37;n. def.
;CXCL9;LM37;1,30876024268607
;IFN-y;LM37;-4,56181747861868
;IL-10;LM37;-2,11223367222153
;IL-12;LM37;3,90171157189056
;IL-6;LM37;1,90337180489913
;Ppia;LM37;n. def.
;Ppip;LM37;n. def.
;STAT6;LM37;5,42297265289728
;TGF-b;LM37;-1,55474815351252
