;True;Target;Sample;Regulation;P-Value;Exceeds P-Value Threshold;Compared to Regulation Threshold
;True;CDC42;LM37;n. def.;0,683864143314908;Yes;No change
;True;CXCL9;LM37;1,30876024268607;0,303314316353537;Yes;No change
;True;IFN-y;LM37;-4,56181747861868;0,0321310976397204;Yes;Down regulated
;True;IL-10;LM37;-2,11223367222153;0,156812901216995;Yes;No change
;True;IL-12;LM37;3,90171157189056;0,0269539016910119;Yes;No change
;True;IL-6;LM37;1,90337180489913;0,112328205010931;Yes;No change
;True;Ppia;LM37;n. def.;0,0704186526480179;Yes;No change
;True;Ppip;LM37;n. def.;0,922187673078455;Yes;No change
;True;STAT6;LM37;5,42297265289728;0,0902712550944706;Yes;Up regulated
;True;TGF-b;LM37;-1,55474815351252;0,0181780276710988;Yes;No change
