;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,000702956973412392
;True;CXCL9;MouseCaecum2;0,0232299209696128
;True;CXCL9;MouseCaecum3;0,0386900513672517
;True;CXCL9;MouseCaecum4;0,0022760776010275
;True;IFN-g;MouseCaecum1;0,00115368157250303
;True;IFN-g;MouseCaecum2;0,00329805883175415
;True;IFN-g;MouseCaecum3;0,0118712562243815
;True;IFN-g;MouseCaecum4;0,00054954776457114
;True;IL-10;MouseCaecum1;0,000794261950014046
;True;IL-10;MouseCaecum2;9,2053010113166E-05
;True;IL-10;MouseCaecum3;n. def.
;True;IL-10;MouseCaecum4;6,65177223550233E-05
;True;IL-12;MouseCaecum1;0,000191392977985426
;True;IL-12;MouseCaecum2;0,000165549318055077
;True;IL-12;MouseCaecum3;0,00133899822696988
;True;IL-12;MouseCaecum4;3,14903037111133E-05
;True;IL-6;MouseCaecum1;0,00164676958413005
;True;IL-6;MouseCaecum2;0,00177889880305738
;True;IL-6;MouseCaecum3;0,0159545000308829
;True;IL-6;MouseCaecum4;0,00128632288891007
;True;STAT6;MouseCaecum1;0,0329869025053277
;True;STAT6;MouseCaecum2;0,00803523975043051
;True;STAT6;MouseCaecum3;0,114103813359126
;True;STAT6;MouseCaecum4;0,0270959204410752
;True;TGF-b;MouseCaecum1;0,0497948928917354
;True;TGF-b;MouseCaecum2;0,00515216122803148
;True;TGF-b;MouseCaecum3;0,00727628611526796
;True;TGF-b;MouseCaecum4;0,0281209772752147
