OD,label
40.1666666666667,E7aGHI
13.8333333333333,E7aPSV
31.1666666666667,E7aLYZ
54.1666666666667,E7aBLW
63.1666666666667,E7aJQU
25.1666666666667,E7aHVW
64,E7aMOR
40,E7aAPS
50.8333333333333,E7aCIW
7.33333333333333,E7aFRU
18.5,E7aDTU
26.5,E7bAJN
6.83333333333333,E7aCEK
45.1666666666667,E7aBGY
63.6666666666667,E7aMNW
32.5,E7bNUX
80.5,E7aNPY
70.5,E7aAVW
88.6666666666667,E7aNOY
13.3333333333333,E7aHKX
74.5,E7aNSX
78,E7aPVX
35.3333333333333,E7aCLV
49.3333333333333,E7aKOX
165.666666666667,E7aNRU
78.6666666666667,E7aAQY
57.1666666666667,E7aAHU
56,E7aJRZ
79.3333333333333,E7aAUZ
258.833333333333,E7aCEO
44.6666666666667,E7aKMS
78.1666666666667,E7aGHL
50,E7aGOW
85.3333333333333,E7aUVY
454.5,E7aLMZ
165.666666666667,E7aJKX
47.8333333333333,E7aLNW
236.333333333333,E7aHKN
72,E7aGJT
651.5,E7aAGX
