"","labels","IFNy"
"1","E7aCOW",3.00032865371102
"2","E7aFLN",12.9789381224738
"3","E7aBQY",6.22517272521993
"4","E7aPRZ",18.3441065792273
"5","E7aBMX",7.36674062568875
"6","E7aLRS",1.13885813058722
"7","E7aMRZ",3.08986986660998
"8","E7aFPV",0
"9","E7aKMQ",4.95382855404714
"10","E7aLOT",3.3566626029832
"11","E7aIMQ",5.05934066252274
"12","E7aLMZ",3.90463796942712
"13","E7aABO",4.72077067076603
"14","E7aGHV",0
"15","E7aCUY",1.77673412685823
"16","E7aEMW",1.65664455658793
"17","E7aJMR",5.68730891054033
"18","E7aSTU",4.86923097297706
"19","E7aJMX",5.74965573181054
"20","E7aEOT",10.7285610680602
"21","E7aBCD",6.3485357460407
"22","E7aJVZ",3.4229556011352
"23","E7aKOP",0
"24","E7aPQZ",3.2902118260771
"25","E7aDVW",5.68730891054033
"26","E7aGSW",4.78446213666117
"27","E7aPSU",1.65664455658793
"28","E7aKQW",1.80062932217711
"29","E7aAYZ",2.08448327372888
"30","E7bHVX",0
"31","E7aADL",15.6812526580593
"32","E7aIOS",9.65487230528789
"33","E7aKLQ",8.21014095158232
"34","E7aFGZ",4.14279342673129
"35","E7bIKT",1.51108378897958
"36","E7bGHL",2.03752363066968
"37","E7bLVZ",3.15681996639047
"38","E7bABC",0
"39","E7bDUY",0
"40","E7bDIS",1.70480602443531
