OD,label
26.3333333333333,COW
108.666666666667,FLN
51.5,BQY
156.333333333333,PRZ
60.8333333333333,BMX
13.1666666666667,LRS
27,MRZ
2.83333333333333,FPV
41.3333333333333,KMQ
29,LOT
42.1666666666667,IMQ
33.1666666666667,LMZ
39.5,ABO
-5.66666666666667,GHV
17.5,CUY
16.6666666666667,EMW
47.1666666666667,JMR
40.6666666666667,STU
47.6666666666667,JMX
89.1666666666667,EOT
52.5,BCD
29.5,JVZ
-7.16666666666667,KOP
28.5,PQZ
47.1666666666667,DVW
40,GSW
16.6666666666667,PSU
17.6666666666667,KQW
19.6666666666667,AYZ
-5,HVX
132.5,ADL
80,IOS
67.8333333333333,KLQ
35,FGZ
15.6666666666667,IKT
19.3333333333333,GHL2
27.5,LVZ
-4.16666666666667,ABC
-8.16666666666667,DUY
17,DIS
