OD,label
24,DTY
2532.66666666667,QBP
439.5,OMQ
56.5,HIX
11.1666666666667,UZT
22.6666666666667,OML
80.5,KPZ
45.3333333333333,XYE
236.166666666667,UWS
13.1666666666667,SWK
1938.16666666667,JJH
250,WMM
17.1666666666667,NMF
2300.16666666667,NLI
46.6666666666667,MNQ
18.3333333333333,MVU
79,TVC
446,SVZ
639,SRE
566.5,EEZ
20.5,DAL
9394.5,REI
1172,TSY
2140.5,SQC
196.833333333333,YNS
6.83333333333333,ZQY
17.1666666666667,TOW
1859.83333333333,ZTI
5.83333333333333,JGV
1767.66666666667,NYG
6.33333333333333,PLG
62.8333333333333,LKM
9.66666666666667,DWO
24.1666666666667,RJA
214,MAO
29.8333333333333,JIX
2,FJS
2024.33333333333,DJM
203.166666666667,DUN
34.6666666666667,KUB
