;Target;Sample;Regulation
;CDC42;MouseCaecum1;n. def.
;CXCL9;MouseCaecum1;1
;IFN-g;MouseCaecum1;1
;IL-10;MouseCaecum1;1
;IL-12;MouseCaecum1;1
;IL-6;MouseCaecum1;1
;Ppia;MouseCaecum1;n. def.
;Ppib;MouseCaecum1;n. def.
;STAT6;MouseCaecum1;1
;TGF-b;MouseCaecum1;1
