"","EH_ID","Weight_at_DPI_0","Age_at_DPI_0","Sex","Locality","Genome","Strain"
"1","LM0179",18.93,15.4285714285714," F "," PWD x BUSNA "," mus x mus "," PWD_BUSNA "
"2","LM0180",24.1,17.7142857142857," M "," STRA x BUSNA "," dom x mus "," STRA_BUSNA "
"3","LM0181",17.5,11.4285714285714," M "," Buskovice "," mus "," BUSNA_BUSNA "
"4","LM0182",16.94,15.4285714285714," M "," SCHUNT x PWD "," dom x mus "," SCHUNT_PWD "
"5","LM0183",17.08,15.4285714285714," F "," PWD x BUSNA "," mus x mus "," PWD_BUSNA "
"6","LM0184",22.8,15.7142857142857," M "," STRA x SCHUNT "," dom "," STRA_SCHUNT "
"7","LM0185",20.1,17.7142857142857," F "," STRA x BUSNA "," dom x mus "," STRA_BUSNA "
"8","LM0186",18.1,9," M "," PWD x SCHUNT "," mus x dom "," PWD_SCHUNT "
"9","LM0187",16.71,17.7142857142857," F "," Prague "," mus "," PWD_PWD "
"10","LM0188",20.6,12.8571428571429," M "," SCHUNT x STRA "," dom "," SCHUNT_STRA "
"11","LM0189",17.03,14.1428571428571," F "," Prague "," mus "," PWD_PWD "
"12","LM0190",15.55,17.7142857142857," F "," Prague "," mus "," PWD_PWD "
"13","LM0191",21.97,19.4285714285714," F "," BUSNA x STRA "," mus x dom "," BUSNA_STRA "
"14","LM0192",21.06,14.1428571428571," M "," BUSNA x PWD "," mus x mus "," BUSNA_PWD "
"15","LM0193",16.4,11.4285714285714," F "," Buskovice "," mus "," BUSNA_BUSNA "
"16","LM0194",20.37,9.85714285714286," M "," Schweben 2 "," dom "," SCHUNT_SCHUNT "
"17","LM0195",16.88,15.4285714285714," M "," SCHUNT x PWD "," dom x mus "," SCHUNT_PWD "
"18","LM0196",22.5,15.7142857142857," M "," STRA x SCHUNT "," dom "," STRA_SCHUNT "
"19","LM0197",21.35,19.4285714285714," F "," BUSNA x STRA "," mus x dom "," BUSNA_STRA "
"20","LM0198",17.65,12.4285714285714," F "," Schweben 2 "," dom "," SCHUNT_SCHUNT "
"21","LM0199",26.85,13.8571428571429," M "," Straas2 "," dom "," STRA_STRA "
"22","LM0200",22.32,13.8571428571429," F "," Straas2 "," dom "," STRA_STRA "
"23","LM0201",21.75,13.8571428571429," F "," Straas2 "," dom "," STRA_STRA "
"24","LM0202",17.68,10.5714285714286," F "," Buskovice "," mus "," BUSNA_BUSNA "
"25","LM0203",20.26,9.85714285714286," M "," Schweben 2 "," dom "," SCHUNT_SCHUNT "
"26","LM0227",20.03,10.71428571,"M","BUSNA x STRA","mus x dom","BUSNA_STRA"
"27","LM0228",18.56,17.71428571,"F","STRA x BUSNA","dom x mus","STRA_BUSNA"
"28","LM0229",15.82,9,"F","Schweben 2","dom","SCHUNT_SCHUNT"
"29","LM0230",15.87,7.71428571428571,"F","Buskovice","mus","BUSNA_BUSNA"
"30","LM0231",18.71,9,"F","PWD x SCHUNT","mus x dom","PWD_SCHUNT"
"31","LM0232",24.14,10.71428571,"M","BUSNA x STRA","mus x dom","BUSNA_STRA"
"32","LM0233",24.55,9.571428571,"F","Straas2","dom","STRA_STRA"
"33","LM0234",28.55,9.571428571,"M","Straas2","dom","STRA_STRA"
"34","LM0235",17.03,15.71428571,"F","STRA x SCHUNT","dom","STRA_SCHUNT"
"35","LM0236",23.64,9.571428571,"M","Straas2","dom","STRA_STRA"
"36","LM0237",11.02,13.8571428571429,"F","Prague","mus","PWD_PWD"
"37","LM0238",15.31,9.714285714,"M","PWD x BUSNA","mus x mus","PWD_BUSNA"
"38","LM0239",16.84,9,"F","Schweben 2","dom","SCHUNT_SCHUNT"
"39","LM0240",16.19,12.14285714,"F","SCHUNT x PWD","dom x mus","SCHUNT_PWD"
"40","LM0241",14.51,14.1428571428571,"F","Prague","mus","PWD_PWD"
"41","LM0242",15.65,9.71428571428571,"M","PWD x BUSNA","mus x mus","PWD_BUSNA"
"42","LM0243",18.58,10.2857142857143,"F","BUSNA x PWD","mus x mus","BUSNA_PWD"
"43","LM0244",12.33,7.57142857142857,"M","Buskovice","mus","BUSNA_BUSNA"
"44","LM0245",16.71,7.71428571428571,"F","Buskovice","mus","BUSNA_BUSNA"
"45","LM0246",17.95,9.14285714285714,"F","SCHUNT x STRA","dom","SCHUNT_STRA"
"46","LM0247",25.21,9.714285714,"M","STRA x SCHUNT","dom","STRA_SCHUNT"
"47","LM0248",17.99,9.714285714,"F","STRA x SCHUNT","dom","STRA_SCHUNT"
"48","LM0249",22.27,9.142857143,"M","SCHUNT x STRA","dom","SCHUNT_STRA"
"49","LM0250",20.59,10.2857142857143,"M","BUSNA x PWD","mus x mus","BUSNA_PWD"
"50","LM0251",19.67,11.42857143,"F","STRA x BUSNA","dom x mus","STRA_BUSNA"
"51","LM0252",15.01,9.85714285714286,"M","Prague","mus","PWD_PWD"
"52","LM0253",11.08,13.8571428571429,"F","Prague","mus","PWD_PWD"
"53","LM0254",20.16,8.857142857,"M","SCHUNT x PWD","dom x mus","SCHUNT_PWD"
"54","LM0255",14.65,7.571428571,"M","Buskovice","mus","BUSNA_BUSNA"
"55","LM0256",25.63,9.571428571,"M","Straas2","dom","STRA_STRA"
"56","LM0257",19.57,9,"M","Schweben 2","dom","SCHUNT_SCHUNT"
