"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","weightloss","0","1",21,21,252,0.404,1,"ns",4.2784,1,2
"2","weightloss","0","2",21,21,273,0.162,1,"ns",4.78264,1,3
"3","weightloss","0","3",21,21,210,0.788,1,"ns",5.28688,1,4
"4","weightloss","0","4",21,21,315,0.012,0.132,"ns",5.79112,1,5
"5","weightloss","0","5",21,21,273,0.162,1,"ns",6.29536,1,6
"6","weightloss","0","6",21,21,252,0.405,1,"ns",6.7996,1,7
"7","weightloss","0","7",21,21,126,0.012,0.132,"ns",7.30384,1,8
"8","weightloss","0","8",21,21,84,0.000255,0.002805,"**",7.80808,1,9
"9","weightloss","0","9",21,21,42,1.7e-06,1.87e-05,"****",8.31232,1,10
"10","weightloss","0","10",21,21,147,0.05,0.55,"ns",8.81656,1,11
"11","weightloss","0","11",21,21,168,0.162,1,"ns",9.3208,1,12
