;True;Target;MouseCaecum1 Normalized Expression;MouseCaecum2 Normalized Expression;MouseCaecum2 Regulation;Compared to Regulation Threshold
;True;CDC42;n. def.;n. def.;n. def.;No change
;True;CXCL9;n. def.;0,00944301819933235;n. def.;No change
;True;IFN-g;n. def.;0,00145453807145477;n. def.;No change
;True;IL-10;n. def.;3,53817634443993E-05;n. def.;No change
;True;IL-12;n. def.;4,05680470474831E-05;n. def.;No change
;True;IL-6;n. def.;0,00628452623742523;n. def.;No change
;True;Ppia;n. def.;n. def.;n. def.;No change
;True;Ppib;n. def.;n. def.;n. def.;No change
;True;STAT6;n. def.;0,0208888212063061;n. def.;No change
;True;TGF-b;n. def.;0,0252049386759433;n. def.;No change
