"mouse_id","name","ear","sex","born","age","age_weeks","strain","line","room.rack","cage","comment","EH_id","Inf_strain","num.inf"
50032959,"PWD157.1.A.1F",0,"f","11.02.2016",418,60,"PWD","PWD","WM1.12/4.1",2581,"(in mating 6837)","LM0103","Eflab",11
50034794,"PWD157.1.B.1F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","LM0115","EI64",24
50034795,"PWD157.1.B.2F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","LM0105","EI64",14
50034796,"PWD157.1.B.3F",0,"f","31.03.2016",369,53,"PWD","PWD","WM1.12/5.1",2006,"","LM0116","Eflab",18
50035521,"PWD158.1.D.1F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/4.1",2582,"(in mating 6838)","LM0118","EI64",13
50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","LM0096","Eflab",9
50035523,"PWD158.1.D.3F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","LM0106","Eflab",10
50035524,"PWD158.1.D.4F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","LM0112","EI64",12
50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","LM0097","EI64",5
50036364,"PWD157.1.C.2M",0,"m","27.04.2016",342,49,"PWD","PWD","WM1.12/4.3",599,"(in mating 7333)","LM0109","EI64",23
50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","LM0098","Eflab",16
50032510,"WPD107.1.A.1F",0,"f","05.02.2016",424,61,"WP","WPD","WM1.12/4.3",50,"(in mating 6843)","LM0119","EI64",19
50033536,"WPD107.1.B.1F",0,"f","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","LM0121","Eflab",21
50032513,"WPD108.1.A.1F",0,"f","06.02.2016",423,60,"WP","WPD","WM1.12/4.3",903,"(in mating 6844)","LM0111","Eflab",2
50036147,"WPD108.1.C.1F",0,"f","27.04.2016",342,49,"WP","WPD","WM1.12/8.1",1554,"","LM0102","EI64",6
50034112,"WPC103.1.A.2M",0,"m","27.02.2016",402,57,"WP","WPC","WM1.12/4.1",189,"(in mating 7331)","LM0117","EI64",4
50032507,"WPD107.1.A.1M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.6",413,"(in mating 6843)","LM0120","Eflab",22
50032508,"WPD107.1.A.2M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.1",52,"","LM0110","Eflab",15
50032509,"WPD107.1.A.3M",0,"m","05.02.2016",424,61,"WP","WPD","WM1.12/8.3",10,"","LM0101","EI64",7
50033535,"WPD107.1.B.1M",0,"m","03.03.2016",397,57,"WP","WPD","WM1.12/4.4",632,"(in mating 7335)","LM0099","EI64",25
50032512,"WPD108.1.A.2M",0,"m","06.02.2016",423,60,"WP","WPD","WM1.12/8.3",1818,"","LM0108","Eflab",8
50033501,"WSB144.2.A.1F",0,"f","28.02.2016",401,57,"WSB","WSB","WM1.12/4.2",1716,"(in mating 6840)","LM0113","EI64",1
50033502,"WSB144.2.A.2F",0,"f","28.02.2016",401,57,"WSB","WSB","WM1.12/4.1",23,"(in mating 7330)","LM0114","Eflab",17
50031427,"WSB.1.144.C.1M",0,"m","27.12.2015",464,66,"WSB","WSB","WM1.12/8.2",660,"","LM0100","EI64",20
50033500,"WSB144.2.A.1M",30,"m","28.02.2016",401,57,"WSB","WSB","WM1.12/8.5",295,"(in mating 6840)","LM0107","EI64",26
50038837,"WSB144.2.C.1M",0,"m","16.06.2016",292,42,"WSB","WSB","WM1.12/4.1",23,"(in mating 7330)","LM0104","Eflab",3
