Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,LM_0231,26.59,-,CXCR3
A2,LM_0231,27.79,-,CXCR3
B1,LM_0266,27.05,-,CXCR3
B2,LM_0266,27.43,-,CXCR3
C1,LM_0229,24.46,-,CXCR3
C2,LM_0229,25.39,-,CXCR3
D1,LM_0235,25.96,-,CXCR3
D2,LM_0235,27.19,-,CXCR3
E1,LM_0228,27.63,-,CXCR3
E2,LM_0228,28.43,-,CXCR3
F1,LM_0251,26.89,-,CXCR3
F2,LM_0251,27.25,-,CXCR3
G1,LM_0238,27.87,-,CXCR3
G2,LM_0238,28.57,-,CXCR3
H1,LM_0249,28.71,-,CXCR3
H2,LM_0249,29.02,-,CXCR3
A3,LM_0231,21.96,-,IRG6
A4,LM_0231,22.28,-,IRG6
B3,LM_0266,16.49,-,IRG6
B4,LM_0266,20.18,-,IRG6
C3,LM_0229,20.47,-,IRG6
C4,LM_0229,20.76,-,IRG6
D3,LM_0235,20.41,-,IRG6
D4,LM_0235,21.41,-,IRG6
E3,LM_0228,23.5,-,IRG6
E4,LM_0228,23.52,-,IRG6
F3,LM_0251,22.47,-,IRG6
F4,LM_0251,22.73,-,IRG6
G3,LM_0238,22.18,-,IRG6
G4,LM_0238,22.25,-,IRG6
H3,LM_0249,23.2,-,IRG6
H4,LM_0249,23.29,-,IRG6
A5,LM_0231,24.57,-,IL-12
A6,LM_0231,24.76,-,IL-12
B5,LM_0266,23.38,-,IL-12
B6,LM_0266,23.15,-,IL-12
C5,LM_0229,22.21,-,IL-12
C6,LM_0229,22.07,-,IL-12
D5,LM_0235,23.49,-,IL-12
D6,LM_0235,23.47,-,IL-12
E5,LM_0228,26.38,-,IL-12
E6,LM_0228,25.72,-,IL-12
F5,LM_0251,24.83,-,IL-12
F6,LM_0251,24.58,-,IL-12
G5,LM_0238,24.32,-,IL-12
G6,LM_0238,24.22,-,IL-12
H5,LM_0249,25.91,-,IL-12
H6,LM_0249,25.59,-,IL-12
A7,LM_0231,16.95,-,GAPDH
A8,LM_0231,16.79,-,GAPDH
B7,LM_0266,17.46,-,GAPDH
B8,LM_0266,17.41,-,GAPDH
C7,LM_0229,15.48,-,GAPDH
C8,LM_0229,15.69,-,GAPDH
D7,LM_0235,15.94,-,GAPDH
D8,LM_0235,15.84,-,GAPDH
E7,LM_0228,17.09,-,GAPDH
E8,LM_0228,17.2,-,GAPDH
F7,LM_0251,16.69,-,GAPDH
F8,LM_0251,16.69,-,GAPDH
G7,LM_0238,17.12,-,GAPDH
G8,LM_0238,16.93,-,GAPDH
H7,LM_0249,17.76,-,GAPDH
H8,LM_0249,17.69,-,GAPDH
A9,LM_0231,18.72,-,B-actin
A10,LM_0231,18.77,-,B-actin
B9,LM_0266,20.9,-,B-actin
B10,LM_0266,21.02,-,B-actin
C9,LM_0229,19.55,-,B-actin
C10,LM_0229,19.25,-,B-actin
D9,LM_0235,19.91,-,B-actin
D10,LM_0235,19.84,-,B-actin
E9,LM_0228,21.39,-,B-actin
E10,LM_0228,20.79,-,B-actin
F9,LM_0251,19.82,-,B-actin
F10,LM_0251,19.74,-,B-actin
G9,LM_0238,18.7,-,B-actin
G10,LM_0238,18.76,-,B-actin
H9,LM_0249,20.7,-,B-actin
H10,LM_0249,20.24,-,B-actin
