"","label","IFNy","EH_ID"
"1","E7aADL",12.6543617317481,"LM_0264"
"2","E7aAPS",31.9834136276131,"LM_0248"
"3","E7aBCD",23.1158022243411,"LM_0254"
"4","E7aBGY",84.9852124920339,"LM_0228"
"5","E7aBLW",112.055644071278,"LM_0234"
"6","E7aCEK",37.5056012557841,"LM_0231"
"7","E7aCIW",43.3808823861458,"LM_0240"
"8","E7aCUY",21.8877741271661,"LM_0232"
"9","E7aDTU",53.5403908319353,"LM_0235"
"10","E7aEMW",11.9382981889895,"LM_0229"
"11","E7aEOT",1.71942881541789,"LM_0251"
"12","E7aFRU",121.105391312534,"LM_0236"
"13","E7aGHI",41.1760044409716,"LM_0259"
"14","E7aGSW",22.2297969084074,"LM_0268"
"15","E7aHVW",22.5199587596992,"LM_0258"
"16","E7aIOS",1.04028249056332,"LM_0266"
"17","E7aJMR",25.060196364609,"LM_0239"
"18","E7aJMX",15.7742979705957,"LM_0247"
"19","E7aJQU",21.2530814946465,"LM_0257"
"20","E7aJVZ",14.6139889944201,"LM_0256"
"21","E7aKOP",22.7925981911959,"LM_0261"
"22","E7aLYZ",61.4115394386923,"LM_0238"
"23","E7aMNW",54.4201292769137,"LM_0227"
"24","E7aMOR",87.5850373523195,"LM_0255"
"25","E7aPSU",11.5962495992721,"LM_0271"
"26","E7aPSV",25.5475919853859,"LM_0249"
"27","E7aSTU",81.662990584743,"LM_0233"
"28","E7bABO",0.225145312864292,"LM_0262"
"29","E7bAYZ",NA,"LM_0272"
"30","E7bBGY",37.2475522517456,"LM_0276"
"31","E7bBMX",52.2081651889237,"LM_0285"
"32","E7bBQY",110.035712563026,"LM_0291"
"33","E7bCEK",14.6670411958386,"LM_0277"
"34","E7bCIW",32.5857551761345,"LM_0288"
"35","E7bCWZ",19.5159265822312,"LM_0286"
"36","E7bDTU",27.8926078147264,"LM_0278"
"37","E7bFLN",177.312730924564,"LM_0294"
"38","E7bFPV",8.41303699477307,"LM_0279"
"39","E7bFRU",23.307649530542,"LM_0282"
"40","E7bGHV",11.2982790313474,"LM_0260"
"41","E7bIMQ",24.5913139705393,"LM_0265"
"42","E7bJQU",0.225145312864292,"LM_0293"
"43","E7bKMQ",19.7264528663963,"LM_0270"
"44","E7bKQW",16.5237749733482,"LM_0273"
"45","E7bLMZ",15.5470128102051,"LM_0263"
"46","E7bLOT",28.0476364972057,"LM_0269"
"47","E7bLRS",48.3675947493746,"LM_0284"
"48","E7bLYZ",33.822275433801,"LM_0283"
"49","E7bMNW",6.05707055172943,"LM_0275"
"50","E7bMOR",22.3339434737452,"LM_0292"
"51","E7bMRZ",54.1465789028593,"LM_0280"
"52","E7bPRZ",52.366947921615,"LM_0287"
"53","E7bPSV",11.1755693464102,"LM_0289"
