"","label","IFNy","EH_ID"
"1","E7bABO",0.225145312864292,"LM_0262"
"2","E7bAYZ",NA,"LM_0272"
"3","E7bBGY",37.2475522517456,"LM_0276"
"4","E7bBMX",52.2081651889237,"LM_0285"
"5","E7bBQY",110.035712563026,"LM_0291"
"6","E7bCEK",14.6670411958386,"LM_0277"
"7","E7bCIW",32.5857551761345,"LM_0288"
"8","E7bCWZ",19.5159265822312,"LM_0286"
"9","E7bDTU",27.8926078147264,"LM_0278"
"10","E7bFLN",177.312730924564,"LM_0294"
"11","E7bFPV",8.41303699477307,"LM_0279"
"12","E7bFRU",23.307649530542,"LM_0282"
"13","E7bGHV",11.2982790313474,"LM_0260"
"14","E7bIMQ",24.5913139705393,"LM_0265"
"15","E7bJQU",0.225145312864292,"LM_0293"
"16","E7bKMQ",19.7264528663963,"LM_0270"
"17","E7bKQW",16.5237749733482,"LM_0273"
"18","E7bLMZ",15.5470128102051,"LM_0263"
"19","E7bLOT",28.0476364972057,"LM_0269"
"20","E7bLRS",48.3675947493746,"LM_0284"
"21","E7bLYZ",33.822275433801,"LM_0283"
"22","E7bMNW",6.05707055172943,"LM_0275"
"23","E7bMOR",22.3339434737452,"LM_0292"
"24","E7bMRZ",54.1465789028593,"LM_0280"
"25","E7bPRZ",52.366947921615,"LM_0287"
"26","E7bPSV",11.1755693464102,"LM_0289"
