EH_ID,OD,label
LM_0261,215.5,E7aKOP
LM_0239,237.833333333333,E7aJMR
LM_0234,1090.33333333333,E7aBLW
LM_0236,1168.66666666667,E7aFRU
LM_0259,401.333333333333,E7aGHI
LM_0235,528.333333333333,E7aDTU
LM_0257,200.5,E7aJQU
LM_0251,35.5,E7aEOT
LM_0240,424,E7aCIW
LM_0233,809.333333333333,E7aSTU
LM_0268,210,E7aGSW
LM_0227,537.333333333333,E7aMNW
LM_0264,120.166666666667,E7aADL
LM_0266,31.8333333333333,E7aIOS
LM_0249,242.666666666667,E7aPSV
LM_0238,608.5,E7aLYZ
LM_0256,137.833333333333,E7aJVZ
LM_0229,113.833333333333,E7aEMW
LM_0254,218.666666666667,E7aBCD
LM_0248,307.333333333333,E7aAPS
LM_0255,866.166666666667,E7aMOR
LM_0228,841.333333333333,E7aBGY
LM_0231,363.666666666667,E7aCEK
LM_0271,110.833333333333,E7aPSU
LM_0232,206.666666666667,E7aCUY
LM_0247,148.5,E7aJMX
LM_0258,212.833333333333,E7aHVW
