Conc,OD
2000,4000
2000,4000
2000,4000
2000,4000
2000,4000
2000,4000
1000,3721
1000,3679
1000,3754
1000,3750
1000,3750
1000,3733
500,3017
500,2914
500,3028
500,2948
500,3030
500,2950
250,2097
250,1913
250,2098
250,1936
250,2102
250,1948
125,1087
125,1061
125,1097
125,1070
125,1111
125,1077
62.5,613
62.5,623
62.5,614
62.5,620
62.5,618
62.5,624
31.25,374
31.25,309
31.25,380
31.25,311
31.25,381
31.25,314
0,-4
0,4
0,-3
0,3
0,-3
0,3
