labels,Fecal_status,Mouse_status,fecweight_DNA,Extraction_round_1,Extraction_round_2,Faeces_for_RNA-Extraction
E57aABD,,,0.0795,with_beads,with_beads,Available
E57aABE,,,,,,Available
E57aABH,,Sacrificed,,,,Available
E57aABL,,,0.1030,with_beads,with_beads,
E57aABN,,,,,,Available
E57aABT,,,,,,
E57aABU,,,0.0430,with_beads,with_beads,
E57aABV,,,0.1047,with_beads,with_beads,
E57aACD,,,,,,
E57aACH,,,0.0011,with_beads,with_beads,Available
E57aACJ,,,0.0647,with_beads,with_beads,Available
E57aACN,,,0.0549,with_beads,with_beads,
E57aACP,,,0.0762,with_beads,with_beads,
E57aACU,,,0.1250,with_beads,with_beads,
E57aACW,,,0.0340,with_beads,with_beads,Available
E57aACY,,,0.0726,no_beads,with_beads,Available
E57aADE,,,,,,
E57aADF,,,,,,Available
E57aADG,,,0.0661,with_beads,with_beads,
E57aADK,,,0.0848,no_beads,no_beads,
E57aADS,,,,,,Available
E57aAEN,,,,,,
E57aAEQ,,,0.1195,with_beads,with_beads,
E57aAES,,,,,,
E57aAFR,,,0.0642,with_beads,with_beads,
E57aAFT,,,,,,Available
E57aAFW,,,,,,
E57aAGI,,,,,,
E57aAGK,,,,,,Available
E57aAGL,,,0.0492,with_beads,with_beads,
E57aAGS,,,,,,Available
E57aAGU,,,,,,
E57aAHJ,,,0.0910,no_beads,with_beads,
E57aAHM,,Died,,,,
E57aAHU,,,0.1136,with_beads,with_beads,
E57aAHV,,,,,,Available
E57aAIK,,,0.1158,with_beads,with_beads,
E57aAIN,,,0.1199,with_beads,with_beads,
E57aAIO,,,,,,Available
E57aAIP,,,,,,
E57aAIV,,,,,,
E57aAIZ,,,0.0100,with_beads,with_beads,
E57aAJO,,,0.0483,with_beads,with_beads,Available
E57aAJQ,,,0.0362,with_beads,with_beads,Available
E57aAJT,,,0.0647,with_beads,with_beads,
E57aAJU,,,,,,
E57aAJW,,,,,,
E57aAKN,,,,,,Available
E57aAKO,,,0.0844,no_beads,with_beads,
E57aAKP,Unavailable,Sacrificed,,,,
E57aAKT,,,0.0157,with_beads,with_beads,
E57aAKX,,,,,,Available
E57aALN,,,,,,
E57aALU,,,0.0787,with_beads,with_beads,
E57aALY,,,0.0118,no_beads,no_beads,
E57aAMS,,,,,,
E57aAMY,,,0.0852,with_beads,with_beads,
E57aANO,,,0.0614,with_beads,with_beads,
E57aANT,,,,,,
E57aANW,,,,,,
E57aAOP,,,0.0459,with_beads,with_beads,
E57aAOR,,,,,,Available
E57aAOT,Unavailable,Sacrificed,,,,
E57aAOV,,,0.0532,with_beads,with_beads,
E57aAOW,Unavailable,Sacrificed,,,,Available
E57aAOX,,,0.0510,with_beads,with_beads,
E57aAOY,Low content,,,,,
E57aAOZ,,,,,,
E57aAPW,,Sacrificed,,,,Available
E57aAPX,,,,,,
E57aART,,,,,,
E57aARV,,,0.0788,with_beads,with_beads,
E57aATW,,,0.1006,no_beads,no_beads,
E57aATY,,,,,,
