"","IFNy"
"P3aDTY",0
"P3aQBP",418.105036595285
"P3aOMQ",55.7513039998587
"P3aHIX",5.92617647133014
"P3aUZT",0
"P3aOML",0
"P3aKPZ",9.62578621607662
"P3aXYE",4.06682666577567
"P3aUWS",30.5064882715071
"P3aSWK",0
"P3aJJH",279.378503473262
"P3aWMM",32.2562706625771
"P3aNMF",0
"P3aNLI",358.082663728646
"P3aMNQ",4.29589113725598
"P3aMVU",0
"P3aTVC",9.40265410976475
"P3aSVZ",56.5514684871042
"P3aSRE",80.4682673343534
"P3aEEZ",71.4308186448006
"P3aDAL",0
"P3aREI",0
"P3aTSY",151.400530521322
"P3aSQC",321.44271867591
"P3aYNS",25.4754716010109
"P3aNYG",0
"P3aTOW",0
"P3aZTI",264.226489898267
"P3aJGV",0
"P3aZQY",247.11678102021
"P3aPLG",0
"P3aLKM",6.93375628339634
"P3aDWO",0
"P3aRJA",0
"P3aMAO",27.682622433774
"P3aJIX",1.13376266139588
"P3aFJS",0
"P3aDJM",296.748537396371
"P3aDUN",26.2920556868341
"P3aKUB",2.1253529448919
