;500;500;;;;;;;;;;;Conc/Dil;;;;;;;;;
B;STD2;STD2;SPL2;SPL2;SPL10;SPL10;SPL18;SPL18;SPL26;SPL26;SPL34;SPL34;Well ID;;;;;;;;;
;250;250;;;;;;;;;;;Conc/Dil;;;;;;;;;
C;STD3;STD3;SPL3;SPL3;SPL11;SPL11;SPL19;SPL19;SPL27;SPL27;SPL35;SPL35;Well ID;;;;;;;;;
;125;125;;;;;;;;;;;Conc/Dil;;;;;;;;;
D;STD4;STD4;SPL4;SPL4;SPL12;SPL12;SPL20;SPL20;SPL28;SPL28;SPL36;SPL36;Well ID;;;;;;;;;
;62,5;62,5;;;;;;;;;;;Conc/Dil;;;;;;;;;
E;STD5;STD5;SPL5;SPL5;SPL13;SPL13;SPL21;SPL21;SPL29;SPL29;SPL37;SPL37;Well ID;;;;;;;;;
;31,25;31,25;;;;;;;;;;;Conc/Dil;;;;;;;;;
F;STD6;STD6;SPL6;SPL6;SPL14;SPL14;SPL22;SPL22;SPL30;SPL30;SPL38;SPL38;Well ID;;;;;;;;;
;15625;15625;;;;;;;;;;;Conc/Dil;;;;;;;;;
G;STD7;STD7;SPL7;SPL7;SPL15;SPL15;SPL23;SPL23;SPL31;SPL31;SPL39;SPL39;Well ID;;;;;;;;;
;7,8125;7,8125;;;;;;;;;;;Conc/Dil;;;;;;;;;
H;BLK;BLK;SPL8;SPL8;SPL16;SPL16;SPL24;SPL24;SPL32;SPL32;SPL40;SPL40;Well ID;;;;;;;;;
;;;;;;;;;;;;;Conc/Dil;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Actual Temperature:;24,9;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
IFNy1:450;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;
A;2841;2816;90;84;303;292;95;85;242;283;79;68;IFNy1:450;;;;;;;;;
B;1953;1849;2649;2523;78;73;207;214;70;71;86;89;IFNy1:450;;;;;;;;;
C;888;998;499;512;1966;2054;277;273;85;77;286;265;IFNy1:450;;;;;;;;;
D;615;585;120;119;313;316;267;238;1968;1845;74;113;IFNy1:450;;;;;;;;;
E;327;319;76;73;81;80;71;71;71;67;68;64;IFNy1:450;;;;;;;;;
F;214;188;87;85;2367;2350;3337;2958;1778;1859;2093;2090;IFNy1:450;;;;;;;;;
G;124;127;140;146;113;105;453;439;68;73;292;243;IFNy1:450;;;;;;;;;
H;63;64;115;104;70;94;932;622;124;125;89;106;IFNy1:450;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Actual Temperature:;24,9;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
IFNy2:450;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;
A;2843;2885;92;85;308;294;95;85;242;280;80;68;IFNy2:450;;;;;;;;;
B;1946;1843;2623;2570;80;75;210;216;70;71;86;90;IFNy2:450;;;;;;;;;
C;896;1018;498;503;1976;2032;281;275;85;77;288;269;IFNy2:450;;;;;;;;;
D;612;590;121;120;314;315;267;238;1972;1877;73;115;IFNy2:450;;;;;;;;;
E;329;324;77;73;81;81;71;71;72;68;67;65;IFNy2:450;;;;;;;;;
F;214;191;87;86;2439;2314;3400;3017;1813;1859;2066;2124;IFNy2:450;;;;;;;;;
G;126;128;142;148;114;110;467;447;68;73;287;247;IFNy2:450;;;;;;;;;
H;64;64;115;104;72;93;905;633;128;128;91;107;IFNy2:450;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Actual Temperature:;24,9;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
IFNy3:450;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;
A;2842;2893;92;85;310;294;97;85;242;278;80;69;IFNy3:450;;;;;;;;;
B;1959;1851;2621;2594;81;75;210;218;71;72;87;91;IFNy3:450;;;;;;;;;
C;912;1024;502;508;1982;2004;282;276;86;77;290;270;IFNy3:450;;;;;;;;;
D;619;594;122;121;314;313;268;239;1982;1900;73;116;IFNy3:450;;;;;;;;;
E;333;329;78;73;82;82;71;71;72;69;68;65;IFNy3:450;;;;;;;;;
F;215;194;88;87;2394;2320;3427;3034;1829;1852;2036;2123;IFNy3:450;;;;;;;;;
G;127;129;141;149;114;109;473;449;69;73;284;248;IFNy3:450;;;;;;;;;
H;65;65;115;104;72;93;931;642;129;128;92;108;IFNy3:450;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Blank IFNy1:450;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;
A;2778;2753;27;21;240;229;32;22;179;220;15;5;Blank IFNy1:450;;2789.33333333333;24;236.166666666667;26.3333333333333;196.833333333333;9.66666666666667;;500
B;1890;1786;2586;2460;15;10;144;151;7;8;22;26;Blank IFNy1:450;;1836.33333333333;2532.66666666667;13.1666666666667;148.666666666667;6.83333333333333;24.1666666666667;;250
C;825;935;435;449;1903;1990;214;209;22;14;223;202;Blank IFNy1:450;;892;439.5;1938.16666666667;213;17.1666666666667;214;;125
D;551;522;57;56;250;252;204;175;1905;1782;11;50;Blank IFNy1:450;;538.333333333333;56.5;250;188.833333333333;1859.83333333333;29.8333333333333;;62.5
E;263;256;13;10;18;17;7;8;8;4;4;1;Blank IFNy1:450;;262.5;11.1666666666667;17.1666666666667;6.83333333333333;5.83333333333333;2;;31.25
F;151;125;24;22;2304;2287;3274;2895;1715;1796;2029;2027;Blank IFNy1:450;;138.833333333333;22.6666666666667;2300.16666666667;3131.5;1767.66666666667;2024.33333333333;;15.625
G;61;63;77;83;50;42;390;376;5;9;229;180;Blank IFNy1:450;;62.8333333333333;80.5;46.6666666666667;390.666666666667;6.33333333333333;203.166666666667;;7.8125
H;0;0;52;41;7;31;869;559;61;61;26;42;Blank IFNy1:450;;0;45.3333333333333;18.3333333333333;713.5;62.8333333333333;34.6666666666667;;0
;;;;;;;;;;;;;;;;;;;;;;
Blank IFNy2:450;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;
A;2779;2821;27;21;244;229;31;21;177;215;15;4;Blank IFNy2:450;;STD;DTY;UWS;TVC;YNS;DWO;;
B;1882;1779;2559;2506;16;11;146;152;6;7;22;26;Blank IFNy2:450;;STD;QBP;SWK;SVZ;NYG;RJA;;
C;832;953;433;439;1912;1968;216;210;21;13;223;205;Blank IFNy2:450;;STD;OMQ;JJH;SRE;TOW;MAO;;
D;547;526;57;56;250;251;203;174;1908;1812;9;50;Blank IFNy2:450;;STD;HIX;WMM;EEZ;ZTI;JIX;;
E;264;260;13;9;17;17;6;7;8;4;3;0;Blank IFNy2:450;;STD;UZT;NMF;DAL;JGV;FJS;;
F;150;127;23;22;2375;2250;3336;2953;1748;1795;2001;2060;Blank IFNy2:450;;STD;OML;NLI;REI;ZQY;DJM;;
G;62;64;78;84;49;46;402;383;4;8;223;183;Blank IFNy2:450;;STD;KPZ;MNQ;TSY;PLG;DUN;;
H;0;0;51;39;8;29;841;569;64;63;26;43;Blank IFNy2:450;;BLK;XYE;MVU;SQC;LKM;KUB;;
;;;;;;;;;;;;;;;;;;;;;;
Blank IFNy3:450;;;;;;;;;;;;;;;;24;236.166666666667;26.3333333333333;196.833333333333;9.66666666666667;;
;1;2;3;4;5;6;7;8;9;10;11;12;;;;2532.66666666667;13.1666666666667;148.666666666667;6.83333333333333;24.1666666666667;;
A;2777;2828;28;20;245;230;32;20;177;213;15;4;Blank IFNy3:450;;;439.5;1938.16666666667;213;17.1666666666667;214;;
B;1894;1787;2556;2529;16;11;146;153;6;7;22;27;Blank IFNy3:450;;;56.5;250;188.833333333333;1859.83333333333;29.8333333333333;;
C;847;960;438;443;1917;1939;218;211;21;12;226;205;Blank IFNy3:450;;;11.1666666666667;17.1666666666667;6.83333333333333;5.83333333333333;2;;
D;555;529;57;56;249;248;203;174;1917;1835;8;51;Blank IFNy3:450;;;22.6666666666667;2300.16666666667;3131.5;1767.66666666667;2024.33333333333;;
E;268;264;13;9;17;17;6;7;7;4;3;1;Blank IFNy3:450;;;80.5;46.6666666666667;390.666666666667;6.33333333333333;203.166666666667;;
F;150;130;23;22;2329;2256;3362;2969;1764;1788;1971;2058;Blank IFNy3:450;;;45.3333333333333;18.3333333333333;713.5;62.8333333333333;34.6666666666667;;
G;63;64;77;84;49;44;409;384;4;8;220;184;Blank IFNy3:450;;;;;;;;;
H;0;0;50;39;7;28;866;577;64;64;28;43;Blank IFNy3:450;;;;;;;;;
