

Software Version;3.08.01



Experiment File Path:;C:\Users\User\Documents\Experiments\Lubomir\IFN-y_mouse_samples_Lubomir_Bednar_200124_0001.xpt
Protocol File Path:;C:\Users\User\Documents\Protocols\IFN-y_mouse_samples_Lubomir_Bednar.prt



Plate Number;Plate 1
Date;27.01.2020
Time;14:57:23
Reader Type:;Synergy HTX
Reader Serial Number:;1708301D
Reading Type;Reader

Procedure Details

Plate Type;96 WELL PLATE (Use plate lid)
Eject plate on completion;
Read;Read1
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Set Temperature;Incubator off
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;Read2
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;Read3
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Plate Out/In;Done

Layout
;1;2;3;4;5;6;7;8;9;10;11;12
A;STD1;STD1;SPL1:1;SPL1:1;SPL2:1;SPL2:1;SPL3:1;SPL3:1;SPL4:1;SPL4:1;SPL5:1;SPL5:1;Well ID
;2000;2000;1;1;1;1;1;1;1;1;1;1;Conc/Dil
B;STD2;STD2;SPL1:2;SPL1:2;SPL2:2;SPL2:2;SPL3:2;SPL3:2;SPL4:2;SPL4:2;SPL5:2;SPL5:2;Well ID
;1000;1000;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;Conc/Dil
C;STD3;STD3;SPL1:3;SPL1:3;SPL2:3;SPL2:3;SPL3:3;SPL3:3;SPL4:3;SPL4:3;SPL5:3;SPL5:3;Well ID
;500;500;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;Conc/Dil
D;STD4;STD4;SPL1:4;SPL1:4;SPL2:4;SPL2:4;SPL3:4;SPL3:4;SPL4:4;SPL4:4;SPL5:4;SPL5:4;Well ID
;250;250;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;Conc/Dil
E;STD5;STD5;SPL1:5;SPL1:5;SPL2:5;SPL2:5;SPL3:5;SPL3:5;SPL4:5;SPL4:5;SPL5:5;SPL5:5;Well ID
;125;125;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;Conc/Dil
F;STD6;STD6;SPL1:6;SPL1:6;SPL2:6;SPL2:6;SPL3:6;SPL3:6;SPL4:6;SPL4:6;SPL5:6;SPL5:6;Well ID
;62,5;62,5;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;Conc/Dil
G;STD7;STD7;SPL1:7;SPL1:7;SPL2:7;SPL2:7;SPL3:7;SPL3:7;SPL4:7;SPL4:7;SPL5:7;SPL5:7;Well ID
;31,2;31,2;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;Conc/Dil
H;BLK;BLK;SPL1:8;SPL1:8;SPL2:8;SPL2:8;SPL3:8;SPL3:8;SPL4:8;SPL4:8;SPL5:8;SPL5:8;Well ID
;;;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;Conc/Dil



Actual Temperature:;23,2

Read1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3,648;3,784;0,141;0,153;0,101;0,112;0,177;0,185;0,202;0,224;0,085;0,080;Read1:450
B;3,845;3,438;0,141;0,140;0,076;0,095;0,147;0,152;0,190;0,223;0,187;0,179;Read1:450
C;3,196;2,902;0,116;0,120;0,162;0,177;0,121;0,140;0,204;0,202;0,126;0,129;Read1:450
D;2,303;1,824;0,101;0,099;0,070;0,077;0,111;0,114;0,188;0,182;0,121;0,111;Read1:450
