;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,0387301640879674
;True;CXCL9;MouseCaecum2;0,0460507809403768
;True;CXCL9;MouseCaecum3;0,0633670846945284
;True;CXCL9;MouseCaecum4;0,217003118135413
;True;IFN-g;MouseCaecum1;0,0228970309950681
;True;IFN-g;MouseCaecum2;0,000121747487778766
;True;IFN-g;MouseCaecum3;0,00510290069341007
;True;IFN-g;MouseCaecum4;0,00199448083443626
;True;IL-10;MouseCaecum1;0,000866625822935476
;True;IL-10;MouseCaecum2;8,81618156387641E-05
;True;IL-10;MouseCaecum3;0,000271798958625726
;True;IL-10;MouseCaecum4;0,000112691593617087
;True;IL-12;MouseCaecum1;0,000698870314707808
;True;IL-12;MouseCaecum2;0,000419885549581403
;True;IL-12;MouseCaecum3;0,000383967560410043
;True;IL-12;MouseCaecum4;0,00279064884034917
;True;IL-6;MouseCaecum1;0,00197899906854334
;True;IL-6;MouseCaecum2;0,0151743861454167
;True;IL-6;MouseCaecum3;0,00251657564887804
;True;IL-6;MouseCaecum4;0,0457329071163591
;True;STAT6;MouseCaecum1;0,00389391303682505
;True;STAT6;MouseCaecum2;0,00375741135143033
;True;STAT6;MouseCaecum3;0,00229143579706131
;True;STAT6;MouseCaecum4;0,00684466427999309
;True;TGF-b;MouseCaecum1;0,0339958494954486
;True;TGF-b;MouseCaecum2;0,0168000734089728
;True;TGF-b;MouseCaecum3;0,0203978274665666
;True;TGF-b;MouseCaecum4;0,00693467746336367
