;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;MouseCaecum1;22,8861477237741;22,8861477237741;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum2;25,8101043773079;25,8101043773079;n. def.;n. def.;n. def.;No change;0,469337271908759;Yes
;CDC42;MouseCaecum3;23,4145446936238;23,4145446936238;n. def.;n. def.;n. def.;No change;0,462320972338765;Yes
;CDC42;MouseCaecum4;26,6250282671799;26,6250282671799;n. def.;n. def.;n. def.;No change;0,621286966352656;Yes
;CXCL9;MouseCaecum1;23,5982391249733;23,5982391249733;0,0387301640879674;1;1;No change;n. def.;No
;CXCL9;MouseCaecum2;25,5583202635267;25,5583202635267;0,0460507809403768;1,1890159007791;1,1890159007791;No change;0,437737089962533;Yes
;CXCL9;MouseCaecum3;22,395487941938;22,395487941938;0,0633670846945284;1,63611712438407;1,63611712438407;No change;0,0510309893964712;Yes
;CXCL9;MouseCaecum4;25,7973500684509;25,7973500684509;0,217003118135413;5,60294858659871;5,60294858659871;Up regulated;0,0418424897372867;Yes
;IFN-g;MouseCaecum1;24,3565361990861;24,3565361990861;0,0228970309950681;1;1;No change;n. def.;No
;IFN-g;MouseCaecum2;34,121510072345;34,121510072345;0,000121747487778766;0,00531717355865877;-188,06984368068;Down regulated;0,0307949065706494;Yes
;IFN-g;MouseCaecum3;26,0298321143804;26,0298321143804;0,00510290069341007;0,222862985795373;-4,48706184398953;Down regulated;0,0155926518549061;Yes
;IFN-g;MouseCaecum4;32,5629087710435;32,5629087710435;0,00199448083443626;0,0871065263817767;-11,480196048883;Down regulated;0,0104015125496505;Yes
;IL-10;MouseCaecum1;29,0801437030116;29,0801437030116;0,000866625822935476;1;1;No change;n. def.;No
;IL-10;MouseCaecum2;34,5871762346488;34,5871762346488;8,81618156387641E-05;0,101729966157872;-9,82994527343228;Down regulated;0,00415899113593865;No
;IL-10;MouseCaecum3;30,2605378466926;30,2605378466926;0,000271798958625726;0,313628963541699;-3,18848102773213;No change;0,0121165290333067;Yes
;IL-10;MouseCaecum4;36,7084702264113;36,7084702264113;0,000112691593617087;0,130034890069826;-7,69024374506738;Down regulated;0,00389509904625196;No
;IL-12;MouseCaecum1;29,3905281604649;29,3905281604649;0,000698870314707808;1;1;No change;n. def.;No
;IL-12;MouseCaecum2;32,3354059369198;32,3354059369198;0,000419885549581403;0,600806101997556;-1,66443049875027;No change;0,0984544417881801;Yes
;IL-12;MouseCaecum3;29,7620933455829;29,7620933455829;0,000383967560410043;0,549411746828275;-1,82012853888354;No change;0,0932729468231316;Yes
;IL-12;MouseCaecum4;32,0783214361009;32,0783214361009;0,00279064884034917;3,99308538597167;3,99308538597167;No change;0,00720539318439428;No
;IL-6;MouseCaecum1;27,8888539001501;27,8888539001501;0,00197899906854334;1;1;No change;n. def.;No
;IL-6;MouseCaecum2;27,1599077297951;27,1599077297951;0,0151743861454167;7,66770757329661;7,66770757329661;Up regulated;0,000332879836273059;No
;IL-6;MouseCaecum3;27,0496877141078;27,0496877141078;0,00251657564887804;1,27164064343415;1,27164064343415;No change;0,162312652904589;Yes
;IL-6;MouseCaecum4;28,0437613061044;28,0437613061044;0,0457329071163591;23,1091099754893;23,1091099754893;Up regulated;0,0305454501095324;Yes
;Ppia;MouseCaecum1;15,7201081786469;15,7201081786469;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum2;17,8583476858239;17,8583476858239;n. def.;n. def.;n. def.;No change;0,724413730840956;Yes
;Ppia;MouseCaecum3;14,7595684334588;14,7595684334588;n. def.;n. def.;n. def.;No change;0,097868330474808;Yes
;Ppia;MouseCaecum4;21,7430337750172;21,7430337750172;n. def.;n. def.;n. def.;No change;0,0397434980487319;Yes
;Ppib;MouseCaecum1;18,1172657440973;18,1172657440973;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum2;19,6846170244198;19,6846170244198;n. def.;n. def.;n. def.;No change;0,0255013812224182;Yes
;Ppib;MouseCaecum3;17,0719830600095;17,0719830600095;n. def.;n. def.;n. def.;No change;0,0356778227023232;Yes
;Ppib;MouseCaecum4;22,4113511975558;22,4113511975558;n. def.;n. def.;n. def.;No change;0,268301702371323;Yes
;STAT6;MouseCaecum1;26,9124041689457;26,9124041689457;0,00389391303682505;1;1;No change;n. def.;No
;STAT6;MouseCaecum2;29,1737349134596;29,1737349134596;0,00375741135143033;0,964944855187106;-1,03632865093218;No change;0,814396233083035;Yes
;STAT6;MouseCaecum3;27,184897816449;27,184897816449;0,00229143579706131;0,588466094489275;-1,69933324853302;No change;0,323906620450886;Yes
;STAT6;MouseCaecum4;30,7839422499483;30,7839422499483;0,00684466427999309;1,75778560416284;1,75778560416284;No change;0,328024449767823;Yes
;TGF-b;MouseCaecum1;23,7863381180702;23,7863381180702;0,0339958494954486;1;1;No change;n. def.;No
;TGF-b;MouseCaecum2;27,0130783486611;27,0130783486611;0,0168000734089728;0,494180132525353;-2,02355362788425;No change;0,0508855207624646;Yes
;TGF-b;MouseCaecum3;24,0308060837713;24,0308060837713;0,0203978274665666;0,600009347296866;-1,66664070235764;No change;0,0866742664063953;Yes
;TGF-b;MouseCaecum4;30,7650932478795;30,7650932478795;0,00693467746336367;0,203986003182303;-4,90229713999689;Down regulated;0,0248796109997789;Yes
