;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
A;Sample;;;;;;;;;;;;
A;Peak 1;None;None;79,5;79,5;None;79;79;79,5;79,5;79;None;None
A;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
B;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
B;Sample;;;;;;;;;;;;
B;Peak 1;None;None;None;79,5;79;79;79,5;79,5;79,5;None;None;None
B;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
C;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
C;Sample;;;;;;;;;;;;
C;Peak 1;83,5;84;84;79,5;79,5;79;None;None;None;84;85;None
C;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
D;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
D;Sample;;;;;;;;;;;;
D;Peak 1;76;76;75;76;76;75,5;76;None;76;75,5;76;None
D;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
E;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
E;Sample;;;;;;;;;;;;
E;Peak 1;None;79,5;None;78,5;79;79;79,5;79;79;79,5;81;None
E;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
F;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
F;Sample;;;;;;;;;;;;
F;Peak 1;81,5;None;81;81,5;81;81;81;None;81;81;81;None
F;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
G;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
G;Sample;;;;;;;;;;;;
G;Peak 1;81,5;None;81,5;82;81,5;81,5;81,5;81;82;81,5;81,5;81,5
G;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
H;Content;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn;Unkn
H;Sample;;;;;;;;;;;;
H;Peak 1;None;None;None;None;None;None;None;None;None;None;None;None
H;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
