;Well;Sample;Call;Type;RFU1;RFU2
;A01;;Allele 1;Auto;1086,83861868009;3,96115964563978
;A02;;Allele 1;Auto;1132,20009450443;4,4850759532892
;A03;;Allele 1;Auto;1298,53888388879;4,99416228948758
;A04;;Allele 1;Auto;2133,4600205716;-1,85129942824597
;A05;;Allele 1;Auto;-2,74842307166682;-0,343559660133451
;A06;;Allele 1;Auto;2047,0266840352;-1,43008385345411
;A07;;Allele 1;Auto;1510,39525399426;2,67605198647607
;A08;;Allele 1;Auto;1666,90281237;4,03518838475748
;A09;;Allele 1;Auto;1633,50323076925;2,81815415120627
;A10;;Allele 1;Auto;1466,79579821272;5,14689377458762
;A11;;Allele 1;Auto;459,549817125824;-3,06366521695691
;A12;;Allele 1;Auto;-11,4098287589168;-3,5616161183234
;B01;;Allele 1;Auto;734,959822133043;9,27057924419023
;B02;;Allele 1;Auto;986,926008491345;6,26921738492501
;B03;;Allele 1;Auto;1296,78532122822;8,17273786538226
;B04;;Allele 1;Auto;1523,52019016171;11,4767109432637
;B05;;Allele 1;Auto;1758,1577421103;20,3181062580784
;B06;;Allele 1;Auto;1855,73920303628;16,5653038308942
;B07;;Allele 1;Auto;1455,19693189332;13,1084774319106
;B08;;Allele 1;Auto;1403,02366496017;18,2054313440663
;B09;;Allele 1;Auto;2195,10492919496;21,7642236341881
;B10;;Allele 1;Auto;1234,56809127731;9,24296241873753
;B11;;Allele 1;Auto;732,036024147161;11,8189125179065
;B12;;Allele 2;Auto;4,62997011044945;21,6924080701015
;C01;;Allele 1;Auto;3316,81052427004;15,4179960916117
;C02;;Allele 1;Auto;2839,09472052547;5,53846419810407
;C03;;Allele 1;Auto;2798,59456508546;3,12679313636227
;C04;;Allele 1;Auto;2249,10199863277;17,1901066902328
;C05;;Allele 1;Auto;2409,02181232488;28,8072487851905
;C06;;Allele 1;Auto;2537,24455565069;40,8277512950358
;C07;;Allele 1;Auto;1596,26552773149;11,0844797997347
;C08;;Allele 1;Auto;1430,57045577132;12,872248967481
;C09;;Allele 1;Auto;1042,84684820477;6,46825959737453
;C10;;Allele 1;Auto;2011,88205527411;2,91520101116657
;C11;;Allele 1;Auto;1444,14596903077;84,2445120905591
;C12;;Allele 1;Auto;7,2122581714857;-18,4301153659412
;D01;;Allele 1;Auto;1165,81112797628;-3,51328493130632
;D02;;Allele 1;Auto;1347,91278187382;-1,57582513807984
;D03;;Allele 1;Auto;2457,55866284919;4,26472172066042
;D04;;Allele 1;Auto;1299,21108304472;2,98769931049446
;D05;;Allele 1;Auto;1325,02206646127;-0,855936477985779
;D06;;Allele 1;Auto;1432,43045163966;2,31027934309168
;D07;;Allele 1;Auto;1421,55433048146;5,28253493437069
;D08;;Allele 1;Auto;5,14407446147152;-1,75869187885655
;D09;;Allele 1;Auto;1919,81911547777;10,0545518336162
;D10;;Allele 1;Auto;1686,74393318512;2,95844787596661
;D11;;Allele 1;Auto;1581,21508896338;-5,5162211240222
;D12;;Allele 1;Auto;833,592929827132;-6,9336780643539
;E01;;Allele 1;Auto;1491,27748486996;2,82372338912728
;E02;;Allele 1;Auto;2083,92421095071;10,5872820733903
;E03;;Allele 1;Auto;1624,2377924644;4,84153327993317
;E04;;Allele 1;Auto;2465,81877014906;40,2114461940632
;E05;;Allele 1;Auto;2915,40220788422;44,6499135977547
;E06;;Allele 1;Auto;2706,73130189584;37,2583348790363
;E07;;Allele 1;Auto;1869,80632559556;40,1190052594739
;E08;;Allele 1;Auto;1759,55331245592;16,5853406258248
;E09;;Allele 1;Auto;2228,89861499426;44,0265055183486
;E10;;Allele 1;Auto;2257,30628131461;24,8798583322969
;E11;;Allele 1;Auto;1978,46464592147;16,7450453409824
;E12;;Allele 1;Auto;1010,63558218503;14,64136300467
;F01;;Allele 1;Auto;1257,77196594304;-6,76548953293423
;F02;;Allele 1;Auto;0,00552901291530361;-3,36205812242497
;F03;;Allele 1;Auto;2002,44173274757;-4,81210832278157
;F04;;Allele 1;Auto;1696,13019189324;-8,44685043733307
;F05;;Allele 1;Auto;1429,65708921553;-8,80200663393225
;F06;;Allele 1;Auto;1525,89551823309;-3,83779635547535
;F07;;Allele 1;Auto;1733,50110914872;1,42100984527588
;F08;;Allele 1;Auto;997,098853399221;-5,88430951080545
;F09;;Allele 1;Auto;1422,52152871111;-5,93226509991973
;F10;;Allele 1;Auto;2485,11997555302;-7,54320829568496
;F11;;Allele 1;Auto;1623,50013985674;-8,18618074755932
;F12;;Allele 1;Auto;1051,92648340874;-10,3367716327657
;G01;;Allele 1;Auto;1154,43450980509;4,98189788844275
;G02;;Allele 1;Auto;1223,51823300826;3,83666832115614
;G03;;Allele 1;Auto;1571,33008317493;8,57714211626535
;G04;;Allele 1;Auto;1558,18558369823;9,23581517322646
;G05;;Allele 1;Auto;2274,48792137473;-17,3572952981021
;G06;;Allele 1;Auto;2051,09751957965;13,6381968171586
;G07;;Allele 1;Auto;1801,63142308262;6,4290846606882
;G08;;Allele 1;Auto;2716,83396184063;44,9047520168619
;G09;;Allele 1;Auto;1907,85409585266;9,73941991251922
;G10;;Allele 1;Auto;2573,30145273364;11,8875337446416
;G11;;Allele 1;Auto;2165,68085511363;10,012908712943
;G12;;Allele 1;Auto;2103,45689557488;9,45186144393847
;H01;;Allele 1;Auto;832,780243898178;1,89407336968634
;H02;;Allele 1;Auto;-4,56707074304359;-4,5798570926745
;H03;;Allele 1;Auto;547,840167249028;-0,289678642475337
;H04;;Allele 1;Auto;42,018285523618;-3,23367051567902
;H05;;Allele 1;Auto;1345,66233694506;10,0012373803947
;H06;;Allele 1;Auto;309,779633604805;-5,20779333944347
;H07;;Allele 1;Auto;54,8594831896326;3,56008895584182
;H08;;Allele 1;Auto;-3,09732777003865;-0,94685351458611
;H09;;Allele 1;Auto;-1,1422888148627;-2,2248528112018
;H10;;Allele 1;Auto;0,823922265974488;-2,28865623839556
;H11;;Allele 1;Auto;0,749746574242636;-2,24969715373891
;H12;;Allele 1;Auto;-0,10424086173407;-4,57777767588914
