;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;Cy5;;Unkn;;n. def.;n. def.
;A02;Cy5;;Unkn;;n. def.;n. def.
;A03;Cy5;;Unkn;;n. def.;n. def.
;A04;Cy5;;Unkn;;n. def.;n. def.
;A05;Cy5;;Unkn;;n. def.;n. def.
;A06;Cy5;;Unkn;;n. def.;n. def.
;A07;Cy5;;Unkn;;n. def.;n. def.
;A08;Cy5;;Unkn;;n. def.;n. def.
;A09;Cy5;;Unkn;;n. def.;n. def.
;A10;Cy5;;Unkn;;n. def.;n. def.
;A11;Cy5;;Unkn;;n. def.;n. def.
;A12;Cy5;;Unkn;;n. def.;n. def.
;B01;Cy5;;Unkn;;n. def.;n. def.
;B02;Cy5;;Unkn;;n. def.;n. def.
;B03;Cy5;;Unkn;;n. def.;n. def.
;B04;Cy5;;Unkn;;n. def.;n. def.
;B05;Cy5;;Unkn;;n. def.;n. def.
;B06;Cy5;;Unkn;;n. def.;n. def.
;B07;Cy5;;Unkn;;n. def.;n. def.
;B08;Cy5;;Unkn;;n. def.;n. def.
;B09;Cy5;;Unkn;;n. def.;n. def.
;B10;Cy5;;Unkn;;n. def.;n. def.
;B11;Cy5;;Unkn;;n. def.;n. def.
;B12;Cy5;;Unkn;;n. def.;n. def.
;C01;Cy5;;Unkn;;n. def.;n. def.
;C02;Cy5;;Unkn;;n. def.;n. def.
;C03;Cy5;;Unkn;;n. def.;n. def.
;C04;Cy5;;Unkn;;n. def.;n. def.
;C05;Cy5;;Unkn;;n. def.;n. def.
;C06;Cy5;;Unkn;;n. def.;n. def.
;C07;Cy5;;Unkn;;n. def.;n. def.
;C08;Cy5;;Unkn;;n. def.;n. def.
;C09;Cy5;;Unkn;;n. def.;n. def.
;C10;Cy5;;Unkn;;n. def.;n. def.
;C11;Cy5;;Unkn;;n. def.;n. def.
;C12;Cy5;;Unkn;;n. def.;n. def.
;D01;Cy5;;Unkn;;n. def.;n. def.
;D02;Cy5;;Unkn;;n. def.;n. def.
;D03;Cy5;;Unkn;;n. def.;n. def.
;D04;Cy5;;Unkn;;n. def.;n. def.
;D05;Cy5;;Unkn;;n. def.;n. def.
;D06;Cy5;;Unkn;;n. def.;n. def.
;D07;Cy5;;Unkn;;n. def.;n. def.
;D08;Cy5;;Unkn;;n. def.;n. def.
;D09;Cy5;;Unkn;;n. def.;n. def.
;D10;Cy5;;Unkn;;n. def.;n. def.
;D11;Cy5;;Unkn;;n. def.;n. def.
;D12;Cy5;;Unkn;;n. def.;n. def.
;E01;Cy5;;Unkn;;n. def.;n. def.
;E02;Cy5;;Unkn;;n. def.;n. def.
;E03;Cy5;;Unkn;;n. def.;n. def.
;E04;Cy5;;Unkn;;n. def.;n. def.
;E05;Cy5;;Unkn;;n. def.;n. def.
;E06;Cy5;;Unkn;;n. def.;n. def.
;E07;Cy5;;Unkn;;n. def.;n. def.
;E08;Cy5;;Unkn;;n. def.;n. def.
;E09;Cy5;;Unkn;;n. def.;n. def.
;E10;Cy5;;Unkn;;n. def.;n. def.
;E11;Cy5;;Unkn;;n. def.;n. def.
;E12;Cy5;;Unkn;;n. def.;n. def.
;F01;Cy5;;Unkn;;n. def.;n. def.
;F02;Cy5;;Unkn;;n. def.;n. def.
;F03;Cy5;;Unkn;;n. def.;n. def.
;F04;Cy5;;Unkn;;n. def.;n. def.
;F05;Cy5;;Unkn;;n. def.;n. def.
;F06;Cy5;;Unkn;;n. def.;n. def.
;F07;Cy5;;Unkn;;n. def.;n. def.
;F08;Cy5;;Unkn;;n. def.;n. def.
;F09;Cy5;;Unkn;;n. def.;n. def.
;F10;Cy5;;Unkn;;n. def.;n. def.
;F11;Cy5;;Unkn;;n. def.;n. def.
;F12;Cy5;;Unkn;;n. def.;n. def.
;G01;Cy5;;Unkn;;n. def.;n. def.
;G02;Cy5;;Unkn;;n. def.;n. def.
;G03;Cy5;;Unkn;;n. def.;n. def.
;G04;Cy5;;Unkn;;n. def.;n. def.
;G05;Cy5;;Unkn;;n. def.;n. def.
;G06;Cy5;;Unkn;;n. def.;n. def.
;G07;Cy5;;Unkn;;n. def.;n. def.
;G08;Cy5;;Unkn;;n. def.;n. def.
;G09;Cy5;;Unkn;;n. def.;n. def.
;G10;Cy5;;Unkn;;n. def.;n. def.
;G11;Cy5;;Unkn;;n. def.;n. def.
;G12;Cy5;;Unkn;;n. def.;n. def.
;H01;Cy5;;Unkn;;n. def.;n. def.
;H02;Cy5;;Unkn;;n. def.;n. def.
;H03;Cy5;;Unkn;;n. def.;n. def.
;H04;Cy5;;Unkn;;n. def.;n. def.
;H05;Cy5;;Unkn;;n. def.;n. def.
;H06;Cy5;;Unkn;;n. def.;n. def.
;H07;Cy5;;Unkn;;n. def.;n. def.
;H08;Cy5;;Unkn;;n. def.;n. def.
;H09;Cy5;;Unkn;;n. def.;n. def.
;H10;Cy5;;Unkn;;n. def.;n. def.
;H11;Cy5;;Unkn;;n. def.;n. def.
;H12;Cy5;;Unkn;;n. def.;n. def.
;A01;FAM;;Unkn;;27,3083326837389;n. def.
;A02;FAM;;Unkn;;27,1200101154797;n. def.
;A03;FAM;;Unkn;;26,8705733416792;n. def.
;A04;FAM;;Unkn;;21,7017485323955;n. def.
;A05;FAM;;Unkn;;n. def.;n. def.
;A06;FAM;;Unkn;;23,0545662209332;n. def.
;A07;FAM;;Unkn;;24,8668739190205;n. def.
;A08;FAM;;Unkn;;24,7868168845595;n. def.
;A09;FAM;;Unkn;;24,7247186737519;n. def.
;A10;FAM;;Unkn;;28,5175760618331;n. def.
;A11;FAM;;Unkn;;29,9031328698501;n. def.
;A12;FAM;;Unkn;;n. def.;n. def.
;B01;FAM;;Unkn;;34,4869103775664;n. def.
;B02;FAM;;Unkn;;34,6642824576477;n. def.
;B03;FAM;;Unkn;;32,8260803987416;n. def.
;B04;FAM;;Unkn;;33,0332507345616;n. def.
;B05;FAM;;Unkn;;33,001630494819;n. def.
;B06;FAM;;Unkn;;33,2113851267988;n. def.
;B07;FAM;;Unkn;;33,559695277121;n. def.
;B08;FAM;;Unkn;;33,0325583748028;n. def.
;B09;FAM;;Unkn;;32,924267780301;n. def.
;B10;FAM;;Unkn;;32,4385205698686;n. def.
;B11;FAM;;Unkn;;35,6048366542672;n. def.
;B12;FAM;;Unkn;;n. def.;n. def.
;C01;FAM;;Unkn;;26,0872942869679;n. def.
;C02;FAM;;Unkn;;25,02200023773;n. def.
;C03;FAM;;Unkn;;23,5737587403376;n. def.
;C04;FAM;;Unkn;;30,4525650968362;n. def.
;C05;FAM;;Unkn;;32,0469727926874;n. def.
;C06;FAM;;Unkn;;31,7979185637413;n. def.
;C07;FAM;;Unkn;;31,7493817395442;n. def.
;C08;FAM;;Unkn;;31,3591050455274;n. def.
;C09;FAM;;Unkn;;33,2001232543217;n. def.
;C10;FAM;;Unkn;;25,0463301294898;n. def.
;C11;FAM;;Unkn;;25,2653349799033;n. def.
;C12;FAM;;Unkn;;n. def.;n. def.
;D01;FAM;;Unkn;;23,4236438063155;n. def.
;D02;FAM;;Unkn;;23,2697234012822;n. def.
;D03;FAM;;Unkn;;23,2500550897931;n. def.
;D04;FAM;;Unkn;;28,0908432365011;n. def.
;D05;FAM;;Unkn;;28,0754026642431;n. def.
;D06;FAM;;Unkn;;28,6607164374945;n. def.
;D07;FAM;;Unkn;;27,7341340912199;n. def.
;D08;FAM;;Unkn;;n. def.;n. def.
;D09;FAM;;Unkn;;26,8068829516521;n. def.
;D10;FAM;;Unkn;;23,8992021640305;n. def.
;D11;FAM;;Unkn;;24,2497626958835;n. def.
;D12;FAM;;Unkn;;25,3802762860442;n. def.
;E01;FAM;;Unkn;;25,3683419410299;n. def.
;E02;FAM;;Unkn;;27,1677884140061;n. def.
;E03;FAM;;Unkn;;23,3939776350748;n. def.
;E04;FAM;;Unkn;;30,4832554400032;n. def.
;E05;FAM;;Unkn;;30,1045311572972;n. def.
;E06;FAM;;Unkn;;29,9578581852678;n. def.
;E07;FAM;;Unkn;;31,0398723199895;n. def.
;E08;FAM;;Unkn;;30,4440298172311;n. def.
;E09;FAM;;Unkn;;28,5045281099547;n. def.
;E10;FAM;;Unkn;;30,3877728846054;n. def.
;E11;FAM;;Unkn;;31,3957392275318;n. def.
;E12;FAM;;Unkn;;34,1032341877259;n. def.
;F01;FAM;;Unkn;;23,3318922340084;n. def.
;F02;FAM;;Unkn;;n. def.;n. def.
;F03;FAM;;Unkn;;23,1643966741673;n. def.
;F04;FAM;;Unkn;;28,7689081159993;n. def.
;F05;FAM;;Unkn;;30,2554892908445;n. def.
;F06;FAM;;Unkn;;30,2631800753882;n. def.
;F07;FAM;;Unkn;;30,4010901145023;n. def.
;F08;FAM;;Unkn;;31,2568400910001;n. def.
;F09;FAM;;Unkn;;30,3378663468774;n. def.
;F10;FAM;;Unkn;;24,2336025723805;n. def.
;F11;FAM;;Unkn;;24,4543911551058;n. def.
;F12;FAM;;Unkn;;25,0639510777975;n. def.
