Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,LM_0278,26.83,-,CXCR3
A2,LM_0278,32.6,-,CXCR3
B1,LM_0289,25.39,-,CXCR3
B2,LM_0289,31.18,-,CXCR3
C1,LM_0252,27.37,-,CXCR3
C2,LM_0252,33.43,-,CXCR3
D1,LM_0288,23,-,CXCR3
D2,LM_0288,29.66,-,CXCR3
E1,LM_0273,24.11,-,CXCR3
E2,LM_0273,30.48,-,CXCR3
F1,LM_0271,27.34,-,CXCR3
F2,LM_0271,33.36,-,CXCR3
G1,LM_0264,26.73,-,CXCR3
G2,LM_0264,33.15,-,CXCR3
H1,LM_0261,24.4,-,CXCR3
H2,LM_0261,30.44,-,CXCR3
A3,LM_0278,25.25,-,IRG6
A4,LM_0278,25.07,-,IRG6
B3,LM_0289,21.2,-,IRG6
B4,LM_0289,22.9,-,IRG6
C3,LM_0252,24.78,-,IRG6
C4,LM_0252,24.82,-,IRG6
D3,LM_0288,21.47,-,IRG6
D4,LM_0288,21.17,-,IRG6
E3,LM_0273,22.77,-,IRG6
E4,LM_0273,22.75,-,IRG6
F3,LM_0271,24.6,-,IRG6
F4,LM_0271,25,-,IRG6
G3,LM_0264,23.54,-,IRG6
G4,LM_0264,23.49,-,IRG6
H3,LM_0261,22.92,-,IRG6
H4,LM_0261,22.86,-,IRG6
A5,LM_0278,28.61,-,IL-12
A6,LM_0278,28.65,-,IL-12
B5,LM_0289,26.15,-,IL-12
B6,LM_0289,26.06,-,IL-12
C5,LM_0252,29.17,-,IL-12
C6,LM_0252,28.98,-,IL-12
D5,LM_0288,23.76,-,IL-12
D6,LM_0288,24.03,-,IL-12
E5,LM_0273,25.59,-,IL-12
E6,LM_0273,25.4,-,IL-12
F5,LM_0271,28.68,-,IL-12
F6,LM_0271,27.85,-,IL-12
G5,LM_0264,27.51,-,IL-12
G6,LM_0264,27.25,-,IL-12
H5,LM_0261,26.8,-,IL-12
H6,LM_0261,26.22,-,IL-12
A7,LM_0278,19.29,-,GAPDH
A8,LM_0278,18.93,-,GAPDH
B7,LM_0289,17.26,-,GAPDH
B8,LM_0289,17.25,-,GAPDH
C7,LM_0252,16.7,-,GAPDH
C8,LM_0252,16.27,-,GAPDH
D7,LM_0288,15.82,-,GAPDH
D8,LM_0288,15.44,-,GAPDH
E7,LM_0273,17.78,-,GAPDH
E8,LM_0273,17.28,-,GAPDH
F7,LM_0271,18.74,-,GAPDH
F8,LM_0271,18.77,-,GAPDH
G7,LM_0264,19.42,-,GAPDH
G8,LM_0264,19.34,-,GAPDH
H7,LM_0261,16.34,-,GAPDH
H8,LM_0261,16,-,GAPDH
A9,LM_0278,20.47,-,B-actin
A10,LM_0278,20.53,-,B-actin
B9,LM_0289,20.18,-,B-actin
B10,LM_0289,20.25,-,B-actin
C9,LM_0252,16.06,-,B-actin
C10,LM_0252,15.89,-,B-actin
D9,LM_0288,16.12,-,B-actin
D10,LM_0288,15.92,-,B-actin
E9,LM_0273,21.33,-,B-actin
E10,LM_0273,20.94,-,B-actin
F9,LM_0271,21.29,-,B-actin
F10,LM_0271,21.38,-,B-actin
G9,LM_0264,23.13,-,B-actin
G10,LM_0264,27.98,-,B-actin
H9,LM_0261,16.99,-,B-actin
H10,LM_0261,16.8,-,B-actin
