OD,label
26.3333333333333,E7aCOW
108.666666666667,E7aFLN
51.5,E7aBQY
156.333333333333,E7aPRZ
60.8333333333333,E7aBMX
13.1666666666667,E7aLRS
27,E7aMRZ
2.83333333333333,E7aFPV
41.3333333333333,E7aKMQ
29,E7aLOT
42.1666666666667,E7aIMQ
33.1666666666667,E7aLMZ
39.5,E7aABO
-5.66666666666667,E7aGHV
17.5,E7aCUY
16.6666666666667,E7aEMW
47.1666666666667,E7aJMR
40.6666666666667,E7aSTU
47.6666666666667,E7aJMX
89.1666666666667,E7aEOT
52.5,E7aBCD
29.5,E7aJVZ
-7.16666666666667,E7aKOP
28.5,E7aPQZ
47.1666666666667,E7aDVW
40,E7aGSW
16.6666666666667,E7aPSU
17.6666666666667,E7aKQW
19.6666666666667,E7aAYZ
-5,E7bHVX
132.5,E7aADL
80,E7aIOS
67.8333333333333,E7aKLQ
35,E7aFGZ
15.6666666666667,E7bIKT
19.3333333333333,E7bGHL
27.5,E7bLVZ
-4.16666666666667,E7bABC
-8.16666666666667,E7bDUY
17,E7bDIS
