Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir,Gen,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen,Wean,BW10,BW20,Clip,Departure,NOTE
Buskovice,mus,BUSNA,SY,8209,62,BUSNA,SY,8208,62,04/20/2018,1,3,1,2,EX,871,M,63,1M,5.61,10.03,L2,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,04/26/2018,7,4,1+?,2+?,EX,1036,M,60,1M,6.86,9.81,P2,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,05/16/2018,8,5,1,4,EX,1039,M,60,1M,5.67,9.21,P2,,
Buskovice,mus,BUSNA,SY,8209,62,BUSNA,SY,8208,62,05/17/2018,2,5,4,1,EX,1058,M,63,1M,5.45,8.47,L2,,
Buskovice,mus,BUSNA,SY,8209,62,BUSNA,SY,8208,62,05/17/2018,2,5,4,1,EX,1059,M,63,1M,5.62,8.29,L3,,
Buskovice,mus,BUSNA,SY,8209,62,BUSNA,SY,8208,62,05/17/2018,2,5,4,1,EX,1060,M,63,1M,5.27,8.06,L4,,
Buskovice,mus,BUSNA,SY,8209,62,BUSNA,SY,8208,62,05/17/2018,2,5,4,1,EX,1061,M,63,1M,5.53,8.64,L5,,REZERVA
Buskovice,mus,BUSNA,SY,8209,62,BUSNA,SY,8208,62,04/20/2018,1,3,1,2,EX,872,F,63,1F,5.32,8.92,L3,,
Buskovice,mus,BUSNA,SY,8209,62,BUSNA,SY,8208,62,04/20/2018,1,3,1,2,EX,873,F,63,1F,5.10,8.63,L4,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,04/26/2018,7,4,1+?,2+?,EX,1037,F,60,1F,7.47,9.79,P3,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,04/26/2018,7,4,1+?,2+?,EX,1038,F,60,1F,"6,,08",8.91,P4,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,05/16/2018,8,5,1,4,EX,1040,F,60,1F,5.76,9.03,L3,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,05/16/2018,8,5,1,4,EX,1041,F,60,1F,5.51,8.77,L4,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,05/16/2018,8,5,1,4,EX,1042,F,60,1F,5.40,8.49,L5,,REZERVA
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,03/07/2018,3,9,5,4,EX,664,M,43,1M,4.53,5.37,P3,,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,04/01/2018,4,4,2,2,EX,757,M,43,1M,5.02,6.72,L3,,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,04/03/2018,2,9,3,6,EX,780,M,43,1M,3.17,5.14,L3,,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,04/24/2018,5,6,3,2,EX,895,M,43,1M,5.07,7.15,L2,,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,04/24/2018,5,6,3,2,EX,896,M,43,1M,4.55,5.35,L3,,
