Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir,Gen,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen,Wean,BW10,BW20,Clip,Departure,NOTE
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,04/24/2018,5,6,3,2,EX,897,M,43,1M,4.85,7.46,L4,,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,05/01/2018,3,6,3,3,EX,926,M,43,1M,5.10,7.41,L2,,REZERVA
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,03/07/2018,3,9,5,4,EX,665,F,43,1F,3.98,4.41,L2,,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,03/07/2018,3,9,5,4,EX,666,F,43,1F,4.20,4.97,L3,,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,03/07/2018,3,9,5,4,EX,667,F,43,1F,4.34,4.99,L4,,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,04/01/2018,4,4,2,2,EX,758,F,43,1F,5.22,7.18,L4,,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,04/01/2018,4,4,2,2,EX,759,F,43,1F,4.41,5.97,L5,,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,04/03/2018,2,9,3,6,EX,783,F,43,1F,3.12,4.68,L5,,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,04/03/2018,2,9,3,6,EX,784,F,43,1F,3.04,4.38,P2,,REZERVA
Schweben 2,dom,SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,04/13/2018,5,5,2,3,EX,822,M,37,1M,6.50,10.50,L3,,
Schweben 2,dom,SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,05/01/2018,3,6,5,1,EX,920,M,38,1M,5.82,9.51,L2,,
Schweben 2,dom,SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,05/01/2018,3,6,5,1,EX,921,M,38,1M,6.14,10.02,L3,,
Schweben 2,dom,SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,05/01/2018,3,6,5,1,EX,922,M,38,1M,5.51,9.03,L4,,
Schweben 2,dom,SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,05/01/2018,3,6,5,1,EX,923,M,38,1M,5.79,9.68,L5,,
Schweben 2,dom,SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,05/01/2018,3,6,5,1,EX,924,M,38,1M,5.62,9.23,P4,,
Schweben 2,dom,SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,05/07/2018,6,5,2,3,EX,982,M,37,1M,7.32,11.61,P2,,REZERVA
Schweben 2,dom,SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,04/13/2018,5,5,2,3,EX,824,F,37,1F,6.84,10.87,L5,,
Schweben 2,dom,SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,04/13/2018,5,5,2,3,EX,825,F,37,1F,5.56,9.42,P2,,
Schweben 2,dom,SCHUNT,SY,7907,36,SCHUNT,SY,7904,37,05/01/2018,3,6,5,1,EX,925,F,38,1F,5.91,9.54,P2,,
Schweben 2,dom,SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,05/07/2018,6,5,2,3,EX,984,F,37,1F,6.39,9.46,P4,,
Schweben 2,dom,SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,05/07/2018,6,5,2,3,EX,985,F,37,1F,6.23,9.01,P5,,
Schweben 2,dom,SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,05/07/2018,6,5,2,3,EX,986,F,37,1F,7.12,10.94,L2,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,04/03/2018,1,9,2,7,EX,768,M,57,1M,5.75,9.42,L3,,
Straas2,dom,STRA,SY,4827,55,STRA,SY,4823,55,04/03/2018,3,7,2,5,EX,773,M,56,1M,7.05,11.98,P2,,
Straas2,dom,STRA,SY,4827,55,STRA,SY,4823,55,04/03/2018,3,7,2,5,EX,774,M,56,1M,7.36,12.51,P3,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,05/03/2018,2,7,6,1,EX,948,M,57,1M,7.73,11.92,P2,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,05/03/2018,2,7,6,1,EX,949,M,57,1M,7.77,11.71,P3,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,05/03/2018,2,7,6,1,EX,950,M,57,1M,8.32,12.56,P4,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,05/03/2018,2,7,6,1,EX,951,M,57,1M,8.16,12.32,P5,,REZERVA
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,04/03/2018,1,9,2,7,EX,770,F,57,1F,6.26,9.83,P3,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,04/03/2018,1,9,2,7,EX,771,F,57,1F,5.98,9.87,P4,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,04/03/2018,1,9,2,7,EX,772,F,57,1F,5.71,9.23,P5,,
Straas2,dom,STRA,SY,4827,55,STRA,SY,4823,55,04/03/2018,3,7,2,5,EX,775,F,56,1F,7.25,11.94,P4,,
Straas2,dom,STRA,SY,4827,55,STRA,SY,4823,55,04/03/2018,3,7,2,5,EX,776,F,56,1F,7.37,12.43,P5,,
Straas2,dom,STRA,SY,4827,55,STRA,SY,4823,55,04/03/2018,3,7,2,5,EX,777,F,56,1F,6.85,11.88,L2,,
Straas2,dom,STRA,SY,8113,56,STRA,SY,8111,56,05/03/2018,2,7,6,1,EX,953,F,57,1F,7.91,11.69,L2,,REZERVA
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,03/21/2018,3,11,7,4,EX,709,M,F1,1M,5.74,11.35,P2,,
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,03/21/2018,3,11,7,4,EX,710,M,F1,1M,6.10,11.95,P3,,
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,03/21/2018,3,11,7,4,EX,711,M,F1,1M,5.83,11.56,P4,,
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,05/02/2018,4,10,6,4,EX,935,M,F1,1M,7.69,13.66,P4,,REZERVA
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,03/21/2018,3,11,7,4,EX,712,F,F1,1F,6.01,11.23,P5,,
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,03/21/2018,3,11,7,4,EX,713,F,F1,1F,6.31,11.58,L2,,
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,03/21/2018,3,11,7,4,EX,714,F,F1,1F,5.74,10.88,L3,,
STRA x SCHUNT,dom,STRA,SY,5825,55,SCHUNT,SY,3470,36,05/02/2018,4,10,6,4,EX,936,F,F1,1F,7.62,12.83,P5,,REZERVA
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,04/10/2018,4,7,5,2,EX,812,M,F1,1M,5.89,10.69,L2,,
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,04/10/2018,4,7,5,2,EX,813,M,F1,1M,5.52,9.89,L3,,
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,04/10/2018,4,7,5,2,EX,814,M,F1,1M,6.05,10.55,L4,,
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,05/06/2018,5,5,3,2,EX,968,M,F1,1M,7.31,12.85,L4,,REZERVA
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,04/10/2018,4,7,5,2,EX,815,F,F1,1F,6.07,10.81,P3,,
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,04/10/2018,4,7,5,2,EX,816,F,F1,1F,6.10,10.96,P2,,
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,05/06/2018,5,5,3,2,EX,970,F,F1,1F,7.68,12.47,P3,,
SCHUNT x STRA,dom,SCHUNT,SY,3472,36,STRA,SY,7281,56,05/31/2018,6,4,1+?,2+?,EX,1133,F,F1,1F,8.69,14.01,L2,,REZERVA
STRA x BUSNA,dom x mus,STRA,SY,6346,55,BUSNA,SY,6111,60,03/07/2018,2,5,2,3,EX,658,M,F1,1M,7.96,10.43,P2,,
STRA x BUSNA,dom x mus,STRA,SY,6346,55,BUSNA,SY,6111,60,03/07/2018,2,5,2,3,EX,659,M,F1,1M,7.57,10.51,P3,,
STRA x BUSNA,dom x mus,STRA,SY,6458,55,BUSNA,SY,5143,59,03/13/2018,1,9,8,1,EX,681,M,F1,1M,6.85,11.14,L2,,
STRA x BUSNA,dom x mus,STRA,SY,6346,55,BUSNA,SY,6111,60,04/20/2018,3,7,2,5,EX,868,M,F1,1M,7.61,12.58,L2,,REZERVA
STRA x BUSNA,dom x mus,STRA,SY,6346,55,BUSNA,SY,6111,60,03/07/2018,2,5,2,3,EX,660,F,F1,1F,7.91,10.95,L2,,
STRA x BUSNA,dom x mus,STRA,SY,6346,55,BUSNA,SY,6111,60,03/07/2018,2,5,2,3,EX,661,F,F1,1F,7.89,10.41,L3,,
STRA x BUSNA,dom x mus,STRA,SY,6346,55,BUSNA,SY,6111,60,03/07/2018,2,5,2,3,EX,662,F,F1,1F,7.71,10.34,L4,,
STRA x BUSNA,dom x mus,STRA,SY,6346,55,BUSNA,SY,6111,60,04/20/2018,3,7,2,5,EX,869,F,F1,1F,7.32,12.31,P2,,REZERVA
BUSNA x STRA,mus x dom,BUSNA,SY,6114,60,STRA,SY,6345,55,04/04/2018,3,1,1,0,EX,786,M,F1,1M,7.00,11.22,L2,,
BUSNA x STRA,mus x dom,BUSNA,SY,6114,60,STRA,SY,6345,55,04/25/2018,4,2,2,0,EX,901,M,F1,1M,7.85,12.43,P2,,
BUSNA x STRA,mus x dom,BUSNA,SY,6114,60,STRA,SY,6345,55,04/25/2018,4,2,2,0,EX,902,M,F1,1M,7.80,12.45,P3,,
,mus x dom,BUSNA,SY,8279,62,STRA,SY,6456,55,05/31/2018,2,5,4,1,EX,1134,M,F1,1M,7.00,11.20,P2,,REZERVA
BUSNA x STRA,mus x dom,BUSNA,SY,6114,60,STRA,SY,6345,55,02/23/2018,2,3,0,3,EX,620,F,F1,1F,7.55,12.35,P2,,
BUSNA x STRA,mus x dom,BUSNA,SY,6114,60,STRA,SY,6345,55,02/23/2018,2,3,0,3,EX,621,F,F1,1F,7.07,12.20,P3,,
BUSNA x STRA,mus x dom,BUSNA,SY,6114,60,STRA,SY,6345,55,02/23/2018,2,3,0,3,EX,622,F,F1,1F,7.76,13.35,L4,,
,mus x dom,BUSNA,SY,8279,62,STRA,SY,6456,55,05/31/2018,2,5,4,1,EX,1135,F,F1,1F,7.03,11.61,L2,,REZERVA
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,03/23/2018,1,7,5,2,EX,720,M,F1,1M,5.75,10.17,P2,,
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,03/23/2018,1,7,5,2,EX,721,M,F1,1M,5.37,9.71,P3,,
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,03/23/2018,1,7,5,2,EX,722,M,F1,1M,5.39,10.01,P4,,
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,05/08/2018,3,7,4,3,EX,989,M,F1,1M,6.59,11.22,L4,,REZERVA
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,03/23/2018,1,7,5,2,EX,724,F,F1,1F,5.48,9.95,L2,,
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,03/23/2018,1,7,5,2,EX,725,F,F1,1F,5.49,9.81,L3,,
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,04/15/2018,2,10,7,3,EX,837,F,F1,1F,6.95,11.70,P5,,
SCHUNT x PWD,dom x mus,SCHUNT,SY,6904,37,PWD,SY,5342,42,05/08/2018,3,7,4,3,EX,990,F,F1,1F,6.27,11.20,P2,,REZERVA
PWD x SCHUNT,mus x dom,PWD,SY,5681,42,SCHUNT,SY,8172,37,05/07/2018,5,8,4,4,EX,976,M,F1,1M,5.83,9.66,L2,,
PWD x SCHUNT,mus x dom,PWD,SY,5681,42,SCHUNT,SY,8172,37,05/07/2018,5,8,4,4,EX,977,M,F1,1M,5.64,9.76,L3,,
PWD x SCHUNT,mus x dom,PWD,SY,5681,42,SCHUNT,SY,8172,37,05/07/2018,5,8,4,4,EX,978,M,F1,1M,5.42,9.25,L4,,
PWD x SCHUNT,mus x dom,PWD,SY,5681,42,SCHUNT,SY,8172,37,05/07/2018,5,8,4,4,EX,979,F,F1,1F,5.91,10.38,L5,,
PWD x SCHUNT,mus x dom,PWD,SY,5681,42,SCHUNT,SY,8172,37,05/07/2018,5,8,4,4,EX,980,F,F1,1F,5.84,9.88,P2,,
PWD x SCHUNT,mus x dom,PWD,SY,5681,42,SCHUNT,SY,8172,37,05/07/2018,5,8,4,4,EX,981,F,F1,1F,4.72,8.14,P3,,
BUSNA x PWD,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,04/01/2018,3,4,2,2,EX,752,M,F1,1M,6.44,12.24,P2,,
BUSNA x PWD,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,04/01/2018,3,4,2,2,EX,753,M,F1,1M,6.55,11.17,P3,,
BUSNA x PWD,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,04/28/2018,4,4,2+?,1+?,EX,913,M,F1,1M,7.21,12.28,P2,,
BUSNA x PWD,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,04/28/2018,4,4,2+?,1+?,EX,914,M,F1,1M,715.00,12.00,P3,,REZERVA
BUSNA x PWD,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,04/01/2018,3,4,2,2,EX,754,F,F1,1F,6.60,11.19,L2,,
BUSNA x PWD,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,04/01/2018,3,4,2,2,EX,755,F,F1,1F,6.67,11.55,L3,,
BUSNA x PWD,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,04/28/2018,4,4,2+?,1+?,EX,915,F,F1,1F,7.47,12.64,L2,,
,mus x mus,BUSNA,SY,6115,60,PWD,SY,7040,43,05/25/2018,5,3,0,3,EX,1099,F,F1,1F,7.73,11.07,P2,,REZERVA
PWD x BUSNA,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,03/23/2018,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,,
PWD x BUSNA,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,05/02/2018,7,6,5,?,EX,939,M,F1,1M,5.19,8.79,L2,,
PWD x BUSNA,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,05/02/2018,7,6,5,?,EX,940,M,F1,1M,5.21,8.67,L3,,
PWD x BUSNA,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,05/02/2018,7,6,5,?,EX,941,M,F1,1M,5.39,8.68,L4,,REZERVA
PWD x BUSNA,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,03/23/2018,6,9,4,5,EX,727,F,F1,1F,4.73,8.44,P3,,
PWD x BUSNA,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,03/23/2018,6,9,4,5,EX,728,F,F1,1F,4.31,7.59,L2,,
,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,05/30/2018,8,3,1,2,EX,1131,F,F1,1F,6.82,10.46,P2,,
,mus x mus,PWD,SY,2996,46,BUSNA,SY,6113,60,05/30/2018,8,3,1,2,EX,1132,F,F1,1F,6.97,10.52,P3,,REZERVA
