"","label","IFNy","EH_ID"
"1","7aAOL",12.6543617317481,"LM_0264"
"2","7aAPS",31.9834136276131,"LM_0248"
"3","7aBGY",84.9852124920339,"LM_0228"
"4","7aBLW",112.055644071278,"LM_0234"
"5","7aCBCD",23.1158022243411,"LM_0254"
"6","7aCEK",37.5056012557841,"LM_0231"
"7","7aCIW",43.3808823861458,"LM_0240"
"8","7aCUY",21.8877741271661,"LM_0232"
"9","7aDTU",53.5403908319353,"LM_0235"
"10","7aEMW",11.9382981889895,"LM_0229"
"11","7aEOT",1.71942881541789,"LM_0251"
"12","7aFRU",121.105391312534,"LM_0236"
"13","7aGHI",41.1760044409716,"LM_0259"
"14","7aGSW",22.2297969084074,"LM_0268"
"15","7aHVW",22.5199587596992,"LM_0258"
"16","7aIOS",1.04028249056332,"LM_0266"
"17","7aJMR",25.060196364609,"LM_0239"
"18","7aJMY",15.7742979705957,"LM_0247"
"19","7aJQU",21.2530814946465,"LM_0257"
"20","7aJVZ",14.6139889944201,"LM_0256"
"21","7aKOP",22.7925981911959,"LM_0261"
"22","7aLYZ",61.4115394386923,"LM_0238"
"23","7aMNW",54.4201292769137,"LM_0227"
"24","7aMOR",87.5850373523195,"LM_0255"
"25","7aPSU",11.5962495992721,"LM_0271"
"26","7aPSV",25.5475919853859,"LM_0249"
"27","7aSTU",81.662990584743,"LM_0233"
