EH_ID,OD,label
LM_0286,181,E7bCWZ
LM_0283,302.333333333333,E7bLYZ
LM_0282,211.666666666667,E7bFRU
LM_0278,250.333333333333,E7bDTU
LM_0277,144,E7bCEK
LM_0276,333.166666666667,E7bBGY
LM_0275,87.3333333333333,E7bMNW
LM_0273,157.833333333333,E7bKQW
LM_0293,61.8333333333333,E7bJQU
LM_0292,203.666666666667,E7bMOR
LM_0289,119.333333333333,E7bPSV
LM_0288,291.333333333333,E7bCIW
LM_0294,1559.66666666667,E7bFLN
LM_0291,1012.66666666667,E7bBQY
LM_0287,473.666666666667,E7bPRZ
LM_0285,472.166666666667,E7bBMX
LM_0284,436,E7bLRS
LM_0280,490.5,E7bMRZ
LM_0279,101.333333333333,E7bFPV
LM_0270,182.666666666667,E7bKMQ
LM_0269,251.666666666667,E7bLOT
LM_0265,222.333333333333,E7bIMQ
LM_0263,150.5,E7bLMZ
LM_0260,120.166666666667,E7bGHV
LM_0262,61.8333333333333,E7bABO
LM_0272,40.1666666666667,E7bAYZ
