;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,000912391509197337
;True;CXCL9;MouseCaecum2;0,000386971286300894
;True;CXCL9;MouseCaecum3;0,00320044932239176
;True;CXCL9;MouseCaecum4;0,0006623908272842
;True;IFN-g;MouseCaecum1;0,0246414323779679
;True;IFN-g;MouseCaecum2;0,000297907122570677
;True;IFN-g;MouseCaecum3;0,00364560512849094
;True;IFN-g;MouseCaecum4;0,00378179853665662
;True;IL-10;MouseCaecum1;9,20612512267868E-05
;True;IL-10;MouseCaecum2;0,000218680966661013
;True;IL-10;MouseCaecum3;0,000737877813419698
;True;IL-10;MouseCaecum4;8,68367629174489E-05
;True;IL-12;MouseCaecum1;0,120713797709604
;True;IL-12;MouseCaecum2;5,68584546827496E-05
;True;IL-12;MouseCaecum3;0,00133474010776377
;True;IL-12;MouseCaecum4;0,00461271129610812
;True;IL-6;MouseCaecum1;0,0980366615455527
;True;IL-6;MouseCaecum2;0,00501958333515359
;True;IL-6;MouseCaecum3;0,0553278698852859
;True;IL-6;MouseCaecum4;0,0268643220836119
;True;STAT6;MouseCaecum1;0,296993874303579
;True;STAT6;MouseCaecum2;0,0150700160925284
;True;STAT6;MouseCaecum3;0,127044485686069
;True;STAT6;MouseCaecum4;0,137016586451426
;True;TGF-b;MouseCaecum1;0,00546598492473323
;True;TGF-b;MouseCaecum2;0,0165059618488578
;True;TGF-b;MouseCaecum3;0,0164898523102804
;True;TGF-b;MouseCaecum4;0,0139981099174348
