;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,00320439025995754
;True;CXCL9;MouseCaecum2;0,0687095044637633
;True;CXCL9;MouseCaecum3;0,000307241178846366
;True;CXCL9;MouseCaecum4;0,0153613893554872
;True;IFN-g;MouseCaecum1;0,00101824681538231
;True;IFN-g;MouseCaecum2;0,00664929812964294
;True;IFN-g;MouseCaecum3;0,000841748056331429
;True;IFN-g;MouseCaecum4;0,00694058734522635
;True;IL-10;MouseCaecum1;0,00335257193433035
;True;IL-10;MouseCaecum2;0,000148992391489562
;True;IL-10;MouseCaecum3;1,72183929017816E-05
;True;IL-10;MouseCaecum4;0,00127179284542335
;True;IL-12;MouseCaecum1;0,000623400991852123
;True;IL-12;MouseCaecum2;0,000214121801763722
;True;IL-12;MouseCaecum3;0,00161284557265612
;True;IL-12;MouseCaecum4;0,000326749182064169
;True;IL-6;MouseCaecum1;0,00243579205996907
;True;IL-6;MouseCaecum2;0,0223494739006677
;True;IL-6;MouseCaecum3;0,0240602483520401
;True;IL-6;MouseCaecum4;0,000730709327766651
;True;STAT6;MouseCaecum1;0,0462993869068197
;True;STAT6;MouseCaecum2;0,0574481620260995
;True;STAT6;MouseCaecum3;0,131128409126682
;True;STAT6;MouseCaecum4;0,0256093170187305
;True;TGF-b;MouseCaecum1;0,073870141709597
;True;TGF-b;MouseCaecum2;0,0258209698176397
;True;TGF-b;MouseCaecum3;0,0026898061769599
;True;TGF-b;MouseCaecum4;0,0456368691771431
