;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,299264339274865
;True;CXCL9;MouseCaecum2;0,00135864681726651
;True;CXCL9;MouseCaecum3;0,0111606534085952
;True;CXCL9;MouseCaecum4;0,0590637738308445
;True;IFN-g;MouseCaecum1;0,264239141241538
;True;IFN-g;MouseCaecum2;0,000179847755386205
;True;IFN-g;MouseCaecum3;0,00591122348329895
;True;IFN-g;MouseCaecum4;0,0523762390024492
;True;IL-10;MouseCaecum1;0,0072332124766969
;True;IL-10;MouseCaecum2;0,000138606257746756
;True;IL-10;MouseCaecum3;0,000119453910586242
;True;IL-10;MouseCaecum4;0,000539001730735348
;True;IL-12;MouseCaecum1;0,00274241773440083
;True;IL-12;MouseCaecum2;0,000110224208267971
;True;IL-12;MouseCaecum3;4,63298780959823E-05
;True;IL-12;MouseCaecum4;0,00024905565842177
;True;IL-6;MouseCaecum1;0,00385785355975408
;True;IL-6;MouseCaecum2;0,00134472684140256
;True;IL-6;MouseCaecum3;0,000139173792850515
;True;IL-6;MouseCaecum4;0,00396504665016197
;True;STAT6;MouseCaecum1;0,0323497699500009
;True;STAT6;MouseCaecum2;0,0207508608693839
;True;STAT6;MouseCaecum3;0,00708470712202637
;True;STAT6;MouseCaecum4;0,0215180787364752
;True;TGF-b;MouseCaecum1;0,0658202611949001
;True;TGF-b;MouseCaecum2;0,0189144955150165
;True;TGF-b;MouseCaecum3;0,0280109240249026
;True;TGF-b;MouseCaecum4;0,0469793928733339
