;Data Set;Target;Sample;Ctrl;Relative Quantity;Relative Quantity SD;Corrected Relative Quantity SD;Relative Quantity SEM;Corrected Relative Quantity SEM;Unscaled Expression;Unscaled Expression SD;Corrected Unscaled Expression SD;Unscaled Expression SEM;Corrected Unscaled Expression SEM;Expression;Expression SD;Corrected Expression SD;Expression SEM;Corrected Expression SEM;Wells;Mean Cq;Cq SD;Cq SEM
;1-SYBR;Ppib;MouseCaecum1;;0,547224457473603;0,130724570421098;0,130724570421098;0,0924362302124568;0,0924362302124568;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;17,6316377477659;0,344640461319212;0,243697607270075
;1-SYBR;Ppib;MouseCaecum2;;0,521661016667956;0,0154022584409014;0,0154022584409014;0,0108910413891491;0,0108910413891491;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;17,7006578328902;0,042596171002217;0,0301200413682494
;1-SYBR;Ppib;MouseCaecum3;;0,714532891361671;0,021331447018434;0,021331447018434;0,0150836108392562;0,0150836108392562;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;17,2467700358233;0,0430697777534544;0,0304549319136651
;1-SYBR;Ppib;MouseCaecum4;;1;0,259966904669747;0,259966904669747;0,183824361176055;0,183824361176055;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;2;16,7618423638907;0,375052964162298;0,265202494263276
;1-SYBR;STAT6;MouseCaecum1;;1;0,192450519365133;0,192450519365133;0,136083067285959;0,136083067285959;1,57595415949137;0,375565250228407;0,375565250228407;0,265564735214529;0,265564735214529;1,57595415949137;0,375565250228407;0,375565250228407;0,265564735214529;0,265564735214529;2;24,4394649059044;0,277647409904583;0,196326366322412
;1-SYBR;STAT6;MouseCaecum2;;0,446460872160035;0,126209219655137;0,126209219655137;0,0892433950664101;0,0892433950664101;1,01090071276168;0,321037712698041;0,321037712698041;0,227007943665403;0,227007943665403;1,01090071276168;0,321037712698041;0,321037712698041;0,227007943665403;0,227007943665403;2;25,602859257728;0,407832862105024;0,288381382385181
;1-SYBR;STAT6;MouseCaecum3;;0,275257097128807;0,0570827615038646;0,0570827615038646;0,040363607748237;0,040363607748237;0,34513919805279;0,0720445335999389;0,0720445335999389;0,0509431782559389;0,0509431782559389;0,34513919805279;0,0720445335999389;0,0720445335999389;0,0509431782559389;0,0509431782559389;2;26,3006132385987;0,299185807744443;0,21155631349087
;1-SYBR;STAT6;MouseCaecum4;;0,994698689150831;0,0562857997246688;0,0562857997246688;0,0398000706698212;0,0398000706698212;1,04827656398867;0,175197902682516;0,175197902682516;0,123883625036468;0,123883625036468;1,04827656398867;0,175197902682516;0,175197902682516;0,123883625036468;0,123883625036468;2;24,4471334253869;0,0816360220647037;0,0577253847910466
;1-SYBR;TGF-b;MouseCaecum1;;0,936899379844365;0,290123674072612;0,290123674072612;0,205148417319499;0,205148417319499;1,47651047469061;0,502113233822378;0,502113233822378;0,35504767255931;0,35504767255931;1,47651047469061;0,502113233822378;0,502113233822378;0,35504767255931;0,35504767255931;2;23,4146886071451;0,446750200537621;0,315900096296602
;1-SYBR;TGF-b;MouseCaecum2;;0,187390078794377;0,00142620258795694;0,00142620258795694;0,00100847752129015;0,00100847752129015;0,424298692293464;0,0614863791496532;0,0614863791496532;0,043477435647327;0,043477435647327;0,424298692293464;0,0614863791496532;0,0614863791496532;0,043477435647327;0,043477435647327;2;25,7365381494933;0,0109801725586884;0,00776415447484702
;1-SYBR;TGF-b;MouseCaecum3;;0,50112792746554;0,054323783120032;0,054323783120032;0,0384127154238819;0,0384127154238819;0,628353974562105;0,069737205306425;0,069737205306425;0,0493116507731716;0,0493116507731716;0,628353974562105;0,069737205306425;0,069737205306425;0,0493116507731716;0,0493116507731716;2;24,3174037820027;0,156392506212871;0,11058620166988
;1-SYBR;TGF-b;MouseCaecum4;;1;0,186772615895297;0,186772615895297;0,132068183239515;0,132068183239515;1,05386342157903;0,257311751887738;0,257311751887738;0,18194688463881;0,18194688463881;1,05386342157903;0,257311751887738;0,257311751887738;0,18194688463881;0,18194688463881;2;23,320654627384;0,269455926726004;0,190534113018863
