;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;MouseCaecum1;25,7412936794409;25,7412936794409;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum2;26,2587279147586;26,2587279147586;n. def.;n. def.;n. def.;No change;0,927213129172138;Yes
;CDC42;MouseCaecum3;25,1266502950018;25,1266502950018;n. def.;n. def.;n. def.;No change;0,358858914426535;Yes
;CDC42;MouseCaecum4;25,3537140217959;25,3537140217959;n. def.;n. def.;n. def.;No change;0,596845687540767;Yes
;CXCL9;MouseCaecum1;21,2298718881121;21,2298718881121;0,299264339274865;1;1;No change;n. def.;No
;CXCL9;MouseCaecum2;29,5357880682868;29,5357880682868;0,00135864681726651;0,00453995561435283;-220,266470632125;Down regulated;0,241372579403669;Yes
;CXCL9;MouseCaecum3;25,6449718645788;25,6449718645788;0,0111606534085952;0,037293629557194;-26,8142310596609;Down regulated;0,250245383491953;Yes
;CXCL9;MouseCaecum4;22,9904091573189;22,9904091573189;0,0590637738308445;0,197363220669591;-5,06680016979515;Down regulated;0,300688167713848;Yes
;IFN-g;MouseCaecum1;21,4094480776987;21,4094480776987;0,264239141241538;1;1;No change;n. def.;No
;IFN-g;MouseCaecum2;32,4531104829539;32,4531104829539;0,000179847755386205;0,000680624961696376;-1469,23791555869;Down regulated;0,0222443525924302;Yes
;IFN-g;MouseCaecum3;26,5618646877161;26,5618646877161;0,00591122348329895;0,0223707337812439;-44,7012605745826;Down regulated;0,0233088645039581;Yes
;IFN-g;MouseCaecum4;23,163770229201;23,163770229201;0,0523762390024492;0,198215293753822;-5,04501938806989;Down regulated;0,0340309761595144;Yes
;IL-10;MouseCaecum1;26,6005119218942;26,6005119218942;0,0072332124766969;1;1;No change;n. def.;No
;IL-10;MouseCaecum2;32,8288942435569;32,8288942435569;0,000138606257746756;0,0191624756210744;-52,1853240559495;Down regulated;0,172373409825686;Yes
;IL-10;MouseCaecum3;32,1907954632672;32,1907954632672;0,000119453910586242;0,0165146414502662;-60,5523288538535;Down regulated;0,171632382772886;Yes
;IL-10;MouseCaecum4;29,7662489808326;29,7662489808326;0,000539001730735348;0,0745176133663761;-13,4196461054565;Down regulated;0,186355707478407;Yes
;IL-12;MouseCaecum1;27,9997001094871;27,9997001094871;0,00274241773440083;1;1;No change;n. def.;No
;IL-12;MouseCaecum2;33,1594455225694;33,1594455225694;0,000110224208267971;0,0401923481187131;-24,8803577498477;Down regulated;n. def.;No
;IL-12;MouseCaecum3;33,5572347561834;33,5572347561834;4,63298780959823E-05;0,0168938077940575;-59,1932862141213;Down regulated;0,0826391744470115;Yes
;IL-12;MouseCaecum4;30,8800706976108;30,8800706976108;0,00024905565842177;0,0908160909614976;-11,0112645172535;Down regulated;0,094933051391326;Yes
;IL-6;MouseCaecum1;27,5073500723888;27,5073500723888;0,00385785355975408;1;1;No change;n. def.;No
;IL-6;MouseCaecum2;29,5506453985486;29,5506453985486;0,00134472684140256;0,348568658860209;-2,86887525479175;No change;0,135537395844128;Yes
;IL-6;MouseCaecum3;31,9703619778495;31,9703619778495;0,000139173792850515;0,0360754473167164;-27,719684006153;Down regulated;0,014775850130883;Yes
;IL-6;MouseCaecum4;26,887272951585;26,887272951585;0,00396504665016197;1,02778568153186;1,02778568153186;No change;0,874883844352926;Yes
;Ppia;MouseCaecum1;15,0951610794888;15,0951610794888;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum2;16,0771370240805;16,0771370240805;n. def.;n. def.;n. def.;No change;0,247921119482714;Yes
;Ppia;MouseCaecum3;15,1051911734068;15,1051911734068;n. def.;n. def.;n. def.;No change;0,340352496757338;Yes
;Ppia;MouseCaecum4;14,6109231346062;14,6109231346062;n. def.;n. def.;n. def.;No change;0,870868610532135;Yes
;Ppib;MouseCaecum1;17,6316377477659;17,6316377477659;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum2;17,7006578328902;17,7006578328902;n. def.;n. def.;n. def.;No change;0,174780009712407;Yes
;Ppib;MouseCaecum3;17,2467700358233;17,2467700358233;n. def.;n. def.;n. def.;No change;0,897984615074554;Yes
;Ppib;MouseCaecum4;16,7618423638907;16,7618423638907;n. def.;n. def.;n. def.;No change;0,503736627207773;Yes
;STAT6;MouseCaecum1;24,4394649059044;24,4394649059044;0,0323497699500009;1;1;No change;n. def.;No
;STAT6;MouseCaecum2;25,602859257728;25,602859257728;0,0207508608693839;0,641453120113559;-1,55896038018018;No change;0,199417337133094;Yes
;STAT6;MouseCaecum3;26,3006132385987;26,3006132385987;0,00708470712202637;0,219003323144998;-4,56614075822914;Down regulated;0,0302570555971182;Yes
;STAT6;MouseCaecum4;24,4471334253869;24,4471334253869;0,0215180787364752;0,665169451582905;-1,50337631654656;No change;0,132143960998781;Yes
;TGF-b;MouseCaecum1;23,4146886071451;23,4146886071451;0,0658202611949001;1;1;No change;n. def.;No
;TGF-b;MouseCaecum2;25,7365381494933;25,7365381494933;0,0189144955150165;0,287365853183245;-3,47988457543815;No change;0,0792443758132523;Yes
;TGF-b;MouseCaecum3;24,3174037820027;24,3174037820027;0,0280109240249026;0,425566892570656;-2,34980685165487;No change;0,115814271134165;Yes
;TGF-b;MouseCaecum4;23,320654627384;23,320654627384;0,0469793928733339;0,71375275668116;-1,40104537690313;No change;0,332894414235541;Yes
