ABC,LM0282,7,0,0,0,0,,,
ABL,LM0275,4,0,0,0,0,,,
ABO,LM0262,8,1,0,0,0,,,
ABP,LM0277,3,0,0,0,0,,,
ABW,LM0276,1,0,0,0,0,,,
ACH,LM0275,7,0,0,0,0,,,
ACW,LM0285,1,0,0,0,0,,,
ADF,LM0295,1,0,0,0,0,,,
ADS,LM0277,1,0,0,0,0,,,
AEG,LM0288,3,0,0,0,0,,,
AFK,LM0275,2,0,0,0,0,,,
AFP,LM0265,5,28,32,20,25,,,plus 1ml PBS
AGL,LM0289,5,0,0,0,0,,,
AHT,LM0293,3,0,0,0,0,,,
AHU,LM0265,6,12,14,23,5,,,
AHV,LM0273,0,0,0,0,0,,,
AIZ,LM0293,5,0,0,0,0,,,
AJN,LM0283,7,0,0,0,0,,,
AKL,LM0289,1,0,0,0,0,,,
AKS,LM0263,1,0,0,0,0,,,
AMV,LM0262,5,8,7,17,8,,,
ANY,LM0295,5,47,39,42,49,,,
AOT,LM0272,0,0,0,0,0,,,
AOZ,LM0270,2,0,0,0,0,,,
AQY,LM0269,6,3,2,1,0,,,
ARS,LM0270,3,0,0,0,0,,,
ART,LM0277,5,0,0,0,0,,,
AST,LM0287,3,0,0,0,0,,,
ATW,LM0293,1,0,0,0,0,,,
AUW,LM0282,3,0,0,0,0,,,
AUZ,LM0260,6,9,18,9,14,,,
AVW,LM0280,6,30,23,20,24,,,
AWX,LM0283,6,0,0,0,0,,,
AYZ,LM0272,8,0,0,0,0,,,
BCF,LM0288,5,0,0,0,0,,,
BDP,LM0276,2,0,0,0,0,,,
BEV,LM0285,7,13,5,11,15,,,
BGI,LM0286,6,0,0,0,0,,,
BGP,LM0294,2,0,0,0,0,,,
BGV,LM0270,5,21,20,13,18,,,
BGY,LM0276,8,0,0,0,0,,,
BHX,LM0279,4,0,0,0,0,,,
BIJ,LM0263,4,0,0,0,0,,,
BIN,LM0277,6,0,0,0,0,,,
BIT,LM0285,2,0,0,0,0,,,
BIW,LM0269,0,0,0,0,0,,,
BKV,LM0262,4,0,0,0,0,,,
