;Target;Sample;Regulation
;CDC42;MouseCaecum2;n. def.
;CXCL9;MouseCaecum2;6,6204735474257
;IFN-g;MouseCaecum2;5,51215980732337
;IL-10;MouseCaecum2;n. def.
;IL-12;MouseCaecum2;n. def.
;IL-6;MouseCaecum2;34,6340558634766
;Ppia;MouseCaecum2;n. def.
;Ppib;MouseCaecum2;n. def.
;STAT6;MouseCaecum2;4,26968288380474
;TGF-b;MouseCaecum2;-5,47149345045606
