17,B5,FALSE,E57aRWY2,Eim,UNKNOWN,SYBR,None,Amp,1.39759642693256,,,34.1760039763991,0.896308615168562,33.9738132131128,0.175102344721171,TRUE,0.0790712471963985,TRUE,3,30,75.3985290527344,,,
18,B6,FALSE,E57aRWY2,Eim,UNKNOWN,SYBR,None,Amp,1.42639191843685,,,33.8726672499588,0.859968792669148,33.9738132131128,0.175102344721171,TRUE,0.0790712471963985,TRUE,3,30,75.3985290527344,,,
19,B7,FALSE,E57aESV,Eim,UNKNOWN,SYBR,None,Amp,1.31721875134396,,,34.8425635583467,0.912151104840279,36.4571960471363,1.4238173040613,TRUE,0.0790712471963985,TRUE,3,30,75.3985290527344,,,
20,B8,FALSE,E57aESV,Eim,UNKNOWN,SYBR,None,Inconclusive,0.948955697611383,,,37.5327978855408,0.794917518806795,36.4571960471363,1.4238173040613,TRUE,0.0790712471963985,TRUE,3,33,82.7996063232422,65.4297256469727,,
21,B9,FALSE,E57aESV,Eim,UNKNOWN,SYBR,None,Inconclusive,1.10251167144902,,,36.9962266975215,0.766719014130953,36.4571960471363,1.4238173040613,TRUE,0.0790712471963985,TRUE,3,33,82.0634307861328,65.5862655639648,,
22,B10,FALSE,E57aBCR,Eim,UNKNOWN,SYBR,None,Amp,1.48872957774191,,,32.9626218184393,0.909107639987165,33.0203308529136,0.147965411760703,TRUE,0.0790712471963985,TRUE,3,28,84.7844314575195,,,
23,B11,FALSE,E57aBCR,Eim,UNKNOWN,SYBR,None,Amp,1.48262960407775,,,33.1884549417829,0.923490396263281,33.0203308529136,0.147965411760703,TRUE,0.0790712471963985,TRUE,3,29,84.7844314575195,,,
24,B12,FALSE,E57aBCR,Eim,UNKNOWN,SYBR,None,Amp,1.45710724293482,,,32.9099157985187,0.817968478534033,33.0203308529136,0.147965411760703,TRUE,0.0790712471963985,TRUE,3,29,84.7844314575195,,,
25,C1,FALSE,E57aHIS,Eim,UNKNOWN,SYBR,None,Amp,1.39239776153542,,,33.7785679305796,0.868660398536996,34.0863213906941,0.529222992577839,TRUE,0.0790712471963985,TRUE,3,29,75.0821228027344,78.7035293579102,84.1356506347656,
26,C2,FALSE,E57aHIS,Eim,UNKNOWN,SYBR,None,Amp,1.42710355243038,,,33.7829861002251,0.858383604001267,34.0863213906941,0.529222992577839,TRUE,0.0790712471963985,TRUE,3,30,75.0821228027344,79.0053176879883,,
27,C3,FALSE,E57aHIS,Eim,UNKNOWN,SYBR,None,Amp,1.36067019688436,,,34.6974101412776,0.79087947746559,34.0863213906941,0.529222992577839,TRUE,0.0790712471963985,TRUE,3,31,75.0821228027344,80.5142364501953,,
28,C4,FALSE,E57aEQU,Eim,UNKNOWN,SYBR,None,Inconclusive,0.818481543757969,,,39.1579932826098,0,37.0589883057778,2.17546514974967,TRUE,0.0790712471963985,TRUE,3,35,77.4963912963867,63.0107421875,85.19189453125,93.1891784667969
29,C5,FALSE,E57aEQU,Eim,UNKNOWN,SYBR,None,Amp,1.32045654305708,,,34.8143782078969,0.956347049984831,37.0589883057778,2.17546514974967,TRUE,0.0790712471963985,TRUE,3,29,75.3985290527344,,,
30,C6,FALSE,E57aEQU,Eim,UNKNOWN,SYBR,None,Inconclusive,1.03575456792364,,,37.2045934268267,0.74893530509412,37.0589883057778,2.17546514974967,TRUE,0.0790712471963985,TRUE,3,33,77.8152084350586,,,
31,C7,FALSE,E57aOPY,Eim,UNKNOWN,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.0790712471963985,TRUE,3,39,85.5183715820313,91.4090270996094,88.84130859375,77.5131225585938
32,C8,FALSE,E57aOPY,Eim,UNKNOWN,SYBR,None,Inconclusive,1.00758996062071,,,37.1816049429829,0.916805808487385,37.5908024714915,0.57869269450621,TRUE,0.0790712471963985,TRUE,3,32,74.3412322998047,,,
33,C9,FALSE,E57aOPY,Eim,UNKNOWN,SYBR,None,Inconclusive,0.955601337650881,,,38,0.895965370540227,37.5908024714915,0.57869269450621,TRUE,0.0790712471963985,TRUE,3,34,77.98193359375,65.4350967407227,,
34,C10,FALSE,E57aCIW,Eim,UNKNOWN,SYBR,None,Amp,1.44857195682191,,,33.8863646822633,0.889394795470818,33.5169699021888,0.455524457804479,TRUE,0.0790712471963985,TRUE,3,30,84.6332626342773,,,
35,C11,FALSE,E57aCIW,Eim,UNKNOWN,SYBR,None,Amp,1.47946229468352,,,33.0079838228664,0.910133141413676,33.5169699021888,0.455524457804479,TRUE,0.0790712471963985,TRUE,3,28,84.4821014404297,,,
36,C12,FALSE,E57aCIW,Eim,UNKNOWN,SYBR,None,Amp,1.42629294767233,,,33.6565612014367,0.743073747896526,33.5169699021888,0.455524457804479,TRUE,0.0790712471963985,TRUE,3,30,84.6332626342773,,,
37,D1,FALSE,E57aLPU,Eim,UNKNOWN,SYBR,None,Amp,1.38869046516132,,,34.1823175586258,0.949417142673982,32.1385992773514,1.76997168693065,TRUE,0.0790712471963985,TRUE,3,30,75.2330093383789,,,
38,D2,FALSE,E57aLPU,Eim,UNKNOWN,SYBR,None,Amp,1.43846486284468,,,31.1021983821907,0.937264827962208,32.1385992773514,1.76997168693065,TRUE,0.0790712471963985,TRUE,3,27,74.9312286376953,,,
39,D3,FALSE,E57aLPU,Eim,UNKNOWN,SYBR,None,Amp,1.43602238022233,,,31.1312818912376,0.877636616261315,32.1385992773514,1.76997168693065,TRUE,0.0790712471963985,TRUE,3,27,74.9312286376953,,,
40,D4,FALSE,E57aBOR,Eim,UNKNOWN,SYBR,None,Inconclusive,1.25952396931151,,,35.8742331952132,0.827581286000505,36.1651544652538,0.475763597639659,TRUE,0.0790712471963985,TRUE,3,32,81.2686996459961,67.6884002685547,,
41,D5,FALSE,E57aBOR,Eim,UNKNOWN,SYBR,None,Inconclusive,1.16572792839769,,,36.7141923689815,0.740734125549933,36.1651544652538,0.475763597639659,TRUE,0.0790712471963985,TRUE,3,32,78.5704193115234,67.9974517822266,,
42,D6,FALSE,E57aBOR,Eim,UNKNOWN,SYBR,None,Inconclusive,1.24850860219387,,,35.9070378315667,0.763980424596147,36.1651544652538,0.475763597639659,TRUE,0.0790712471963985,TRUE,3,32,78.4193801879883,84.1589889526367,70.4141311645508,
43,D7,FALSE,E57aCUX,Eim,UNKNOWN,SYBR,None,Inconclusive,1.25527791855879,,,35.7205295208321,0.843933126239619,36.3042259269523,0.51407985175657,TRUE,0.0790712471963985,TRUE,3,31,80.5339736938477,69.6589202880859,,
44,D8,FALSE,E57aCUX,Eim,UNKNOWN,SYBR,None,Inconclusive,1.15965378550306,,,36.5025221493087,0.793090774064431,36.3042259269523,0.51407985175657,TRUE,0.0790712471963985,TRUE,3,33,80.382926940918,67.6953659057617,,
45,D9,FALSE,E57aCUX,Eim,UNKNOWN,SYBR,None,Inconclusive,1.14167174867711,,,36.6896261107162,0.746641988991084,36.3042259269523,0.51407985175657,TRUE,0.0790712471963985,TRUE,3,32,80.8540954589844,66.4932632446289,,
46,D10,FALSE,E57aCQT,Eim,UNKNOWN,SYBR,None,Amp,1.06598070206511,,,36.8581350360879,0.878512128495186,35.1551686465934,1.48036916157792,TRUE,0.0790712471963985,TRUE,3,32,75.5632629394531,,,
47,D11,FALSE,E57aCQT,Eim,UNKNOWN,SYBR,None,Amp,1.39464256339975,,,34.4318336540957,0.956260958748721,35.1551686465934,1.48036916157792,TRUE,0.0790712471963985,TRUE,3,30,81.761100769043,,,
48,D12,FALSE,E57aCQT,Eim,UNKNOWN,SYBR,None,Amp,1.36741301737095,,,34.1755372495966,0.843687093267146,35.1551686465934,1.48036916157792,TRUE,0.0790712471963985,TRUE,3,30,75.5632629394531,,,
49,E1,FALSE,E57aACN,Eim,UNKNOWN,SYBR,None,Inconclusive,1.30538631508221,,,35.3325927655964,0.855478295940287,35.4955811244818,1.37712563970897,TRUE,0.0790712471963985,TRUE,3,31,82.0231628417969,68.7446441650391,,
50,E2,FALSE,E57aACN,Eim,UNKNOWN,SYBR,None,Amp,1.42898099255504,,,34.2072026369606,0.823808105336979,35.4955811244818,1.37712563970897,TRUE,0.0790712471963985,TRUE,3,30,76.1383666992188,85.9463577270508,,
51,E3,FALSE,E57aACN,Eim,UNKNOWN,SYBR,None,Inconclusive,1.17817046612444,,,36.9469479708883,0.551528181323142,35.4955811244818,1.37712563970897,TRUE,0.0790712471963985,TRUE,3,33,81.7213745117188,67.9901885986328,76.1383666992188,
52,E4,FALSE,E57aBTZ,Eim,UNKNOWN,SYBR,None,Amp,1.44412318235845,,,30.1781086597866,0.827839184185458,29.8167875515039,0.404882270601859,TRUE,0.0790712471963985,TRUE,3,27,75.383903503418,,,
53,E5,FALSE,E57aBTZ,Eim,UNKNOWN,SYBR,None,Amp,1.4519443733002,,,29.8930607350852,0.841239109838419,29.8167875515039,0.404882270601859,TRUE,0.0790712471963985,TRUE,3,26,75.3985290527344,,,
54,E6,FALSE,E57aBTZ,Eim,UNKNOWN,SYBR,None,Amp,1.43906150317678,,,29.3791932596398,0.798500243989795,29.8167875515039,0.404882270601859,TRUE,0.0790712471963985,TRUE,3,26,75.3985290527344,,,
55,E7,FALSE,E57aEKO,Eim,UNKNOWN,SYBR,None,Amp,1.39219545509833,,,34.5447179340273,0.745993871467678,35.2499748720708,0.611413683109711,TRUE,0.0790712471963985,TRUE,3,31,75.5495758056641,,,
56,E8,FALSE,E57aEKO,Eim,UNKNOWN,SYBR,None,Inconclusive,1.31357259234374,,,35.6306422497739,0.689884136405903,35.2499748720708,0.611413683109711,TRUE,0.0790712471963985,TRUE,3,31,78.4193801879883,68.6016159057617,,
57,E9,FALSE,E57aEKO,Eim,UNKNOWN,SYBR,None,Inconclusive,1.35222036329476,,,35.5745644324113,0.648493642772072,35.2499748720708,0.611413683109711,TRUE,0.0790712471963985,TRUE,3,31,75.7144317626953,,,
58,E10,FALSE,E57aBHN2,Eim,UNKNOWN,SYBR,None,Inconclusive,1.20858503277856,,,36.2278716366605,0.657165968331269,35.1609567522272,2.02493898423414,TRUE,0.0790712471963985,TRUE,3,32,82.668098449707,73.4469299316406,,
59,E11,FALSE,E57aBHN2,Eim,UNKNOWN,SYBR,None,Amp,1.41470936866604,,,32.8256537667129,0.838115076688246,35.1609567522272,2.02493898423414,TRUE,0.0790712471963985,TRUE,3,28,75.4120941162109,80.4005966186523,,
60,E12,FALSE,E57aBHN2,Eim,UNKNOWN,SYBR,None,Inconclusive,1.19880789768074,,,36.4293448533083,0.599999925412896,35.1609567522272,2.02493898423414,TRUE,0.0790712471963985,TRUE,3,33,79.0401000976563,82.0634307861328,70.2724304199219,
61,F1,FALSE,E57aCFG,Eim,UNKNOWN,SYBR,None,Amp,1.43950335262785,,,32.7173582860141,0.887348349740775,32.2767328548153,0.62238518897557,TRUE,0.0790712471963985,TRUE,3,29,75.383903503418,81.8722686767578,,
62,F2,FALSE,E57aCFG,Eim,UNKNOWN,SYBR,None,Amp,1.45179567083789,,,31.5647390988128,0.886716917950169,32.2767328548153,0.62238518897557,TRUE,0.0790712471963985,TRUE,3,27,75.383903503418,,,
63,F3,FALSE,E57aCFG,Eim,UNKNOWN,SYBR,None,Amp,1.4194306596233,,,32.548101179619,0.787874098471993,32.2767328548153,0.62238518897557,TRUE,0.0790712471963985,TRUE,3,29,75.534797668457,,,
64,F4,FALSE,E57aFRW,Eim,UNKNOWN,SYBR,None,Amp,1.44998879954982,,,30.3963257511668,0.957464951511041,29.8862421193216,0.482692321492175,TRUE,0.0790712471963985,TRUE,3,26,75.6856842041016,,,
65,F5,FALSE,E57aFRW,Eim,UNKNOWN,SYBR,None,Amp,1.4464202949766,,,29.8257585045117,0.953231944436629,29.8862421193216,0.482692321492175,TRUE,0.0790712471963985,TRUE,3,26,76.0027008056641,,,
66,F6,FALSE,E57aFRW,Eim,UNKNOWN,SYBR,None,Amp,1.45771876089278,,,29.4366421022863,0.924672769594794,29.8862421193216,0.482692321492175,TRUE,0.0790712471963985,TRUE,3,26,76.0027008056641,,,
67,F7,FALSE,E57aETU,Eim,UNKNOWN,SYBR,None,Inconclusive,1.087755521606,,,37.0103430787642,0.640172753633731,34.738213206561,1.96831965730844,TRUE,0.0790712471963985,TRUE,3,32,80.6850128173828,,,
68,F8,FALSE,E57aETU,Eim,UNKNOWN,SYBR,None,Amp,1.40807834938943,,,33.6506421487136,0.89350130236891,34.738213206561,1.96831965730844,TRUE,0.0790712471963985,TRUE,3,30,75.5495758056641,80.8360595703125,,
69,F9,FALSE,E57aETU,Eim,UNKNOWN,SYBR,None,Amp,1.44201858465803,,,33.5536543922053,0.870423749702518,34.738213206561,1.96831965730844,TRUE,0.0790712471963985,TRUE,3,30,75.7144317626953,,,
70,F10,FALSE,E57aLNU,Eim,UNKNOWN,SYBR,None,Inconclusive,1.17079087375021,,,36.2532609945947,0.955558042168889,34.6524460273272,1.55143992519577,TRUE,0.0790712471963985,TRUE,3,32,77.0749359130859,,,
71,F11,FALSE,E57aLNU,Eim,UNKNOWN,SYBR,None,Amp,1.46348942268042,,,33.1556123653222,0.969025701813167,34.6524460273272,1.55143992519577,TRUE,0.0790712471963985,TRUE,3,30,75.7144317626953,,,
72,F12,FALSE,E57aLNU,Eim,UNKNOWN,SYBR,None,Amp,1.37020662210054,,,34.5484647220648,0.982566198599782,34.6524460273272,1.55143992519577,TRUE,0.0790712471963985,TRUE,3,30,76.0167694091797,,,
73,G1,FALSE,E57aFKM,Eim,UNKNOWN,SYBR,None,Amp,1.41837788376233,,,33.4273826034448,0.842466199703498,33.3210689398074,0.813821375722788,TRUE,0.0790712471963985,TRUE,3,30,75.534797668457,,,
74,G2,FALSE,E57aFKM,Eim,UNKNOWN,SYBR,None,Amp,1.44176942448933,,,32.4593156169771,0.844379842924776,33.3210689398074,0.813821375722788,TRUE,0.0790712471963985,TRUE,3,29,75.383903503418,,,
75,G3,FALSE,E57aFKM,Eim,UNKNOWN,SYBR,None,Amp,1.42495196045501,,,34.0765085990002,0.740759038237253,33.3210689398074,0.813821375722788,TRUE,0.0790712471963985,TRUE,3,30,75.534797668457,,,
76,G4,FALSE,E57aBLX,Eim,UNKNOWN,SYBR,None,Amp,1.44372148964414,,,33.3676726293554,0.879438827645036,34.2123682588259,0.757957024888183,TRUE,0.0790712471963985,TRUE,3,30,81.8722686767578,78.4017486572266,,
77,G5,FALSE,E57aBLX,Eim,UNKNOWN,SYBR,None,Amp,1.34454574683685,,,34.4363078536151,0.807254381072011,34.2123682588259,0.757957024888183,TRUE,0.0790712471963985,TRUE,3,31,82.4975280761719,72.6797637939453,77.6641693115234,
78,G6,FALSE,E57aBLX,Eim,UNKNOWN,SYBR,None,Amp,1.3416159770012,,,34.833124293507,0.805029799300715,34.2123682588259,0.757957024888183,TRUE,0.0790712471963985,TRUE,3,31,78.8725051879883,82.7996063232422,,
79,G7,FALSE,E57aEIP,Eim,UNKNOWN,SYBR,None,Amp,1.43503131955163,,,32.9090939049005,0.821971357069019,33.9761641608963,0.9426871394909,TRUE,0.0790712471963985,TRUE,3,29,75.2474822998047,,,
80,G8,FALSE,E57aEIP,Eim,UNKNOWN,SYBR,None,Amp,1.39086890132248,,,34.6959245410435,0.777524592672299,33.9761641608963,0.9426871394909,TRUE,0.0790712471963985,TRUE,3,31,81.8933563232422,79.476676940918,,
81,G9,FALSE,E57aEIP,Eim,UNKNOWN,SYBR,None,Amp,1.41639414082761,,,34.323474036745,0.738914683664062,33.9761641608963,0.9426871394909,TRUE,0.0790712471963985,TRUE,3,30,76.1679306030273,83.5750961303711,,
82,G10,FALSE,E57aNTC1,Eim,NTC,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.0790712471963985,TRUE,3,39,78.5866012573242,82.668098449707,66.0397644042969,92.1915969848633
83,G11,FALSE,E57aNTC1,Eim,NTC,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.0790712471963985,TRUE,3,39,74.8074340820313,82.214599609375,63.6211013793945,70.2724304199219
84,G12,FALSE,E57aNTC1,Eim,NTC,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.0790712471963985,TRUE,3,39,92.4939270019531,76.4702682495117,67.0979309082031,80.7029342651367
85,H1,FALSE,E57aFKW,Eim,UNKNOWN,SYBR,None,Amp,1.42291281603181,,,30.9632577917164,0.977308878020266,30.6620132437084,0.275216746985068,TRUE,0.0790712471963985,TRUE,3,27,75.383903503418,,,
86,H2,FALSE,E57aFKW,Eim,UNKNOWN,SYBR,None,Amp,1.44799970044379,,,30.4237379632396,0.964621802378294,30.6620132437084,0.275216746985068,TRUE,0.0790712471963985,TRUE,3,27,75.2330093383789,,,
87,H3,FALSE,E57aFKW,Eim,UNKNOWN,SYBR,None,Amp,1.37755671542632,,,30.5990439761692,0.901288857561614,30.6620132437084,0.275216746985068,TRUE,0.0790712471963985,TRUE,3,27,75.0821228027344,,,
88,H4,FALSE,E57aDTY,Eim,UNKNOWN,SYBR,None,Amp,1.42757459902642,,,33.8629294837473,0.799763915390695,34.0493359665793,0.320919005240982,TRUE,0.0790712471963985,TRUE,3,30,75.2330093383789,,,
89,H5,FALSE,E57aDTY,Eim,UNKNOWN,SYBR,None,Amp,1.41527563155595,,,33.8651793780029,0.793779172382922,34.0493359665793,0.320919005240982,TRUE,0.0790712471963985,TRUE,3,30,75.5495758056641,,,
90,H6,FALSE,E57aDTY,Eim,UNKNOWN,SYBR,None,Amp,1.26344932833936,,,34.4198990379876,0.605468443018036,34.0493359665793,0.320919005240982,TRUE,0.0790712471963985,TRUE,3,31,74.3412322998047,79.7787628173828,63.0130462646484,
91,H7,FALSE,E57aHOX,Eim,UNKNOWN,SYBR,None,Amp,1.47837883664261,,,32.6595465269697,0.890800253256786,32.7666535773344,0.584505188264928,TRUE,0.0790712471963985,TRUE,3,28,85.2162857055664,80.5339736938477,,
92,H8,FALSE,E57aHOX,Eim,UNKNOWN,SYBR,None,Amp,1.43140387724205,,,33.3973053393275,0.892399023646775,32.7666535773344,0.584505188264928,TRUE,0.0790712471963985,TRUE,3,29,85.2162857055664,79.1745910644531,,
93,H9,FALSE,E57aHOX,Eim,UNKNOWN,SYBR,None,Amp,1.4314753671331,,,32.2431088657059,0.855782052791328,32.7666535773344,0.584505188264928,TRUE,0.0790712471963985,TRUE,3,28,75.2609329223633,85.2379302978516,,
94,H10,FALSE,E57aNTC2,Eim,NTC,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.0790712471963985,TRUE,3,39,90.5287628173828,86.447265625,73.9004364013672,71.0282669067383
95,H11,FALSE,E57aNTC2,Eim,NTC,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.0790712471963985,TRUE,3,39,63.0164337158203,90.5287628173828,70.5747680664063,85.5402679443359
96,H12,FALSE,E57aNTC2,Eim,NTC,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.0790712471963985,TRUE,3,39,64.3769302368164,78.1331024169922,81.3076019287109,70.7259292602539
