Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR,Target SYBR
A1,LM_0344,23.9,23.11,1.11,-,CXCR3
A2,LM_0344,22.33,23.11,1.11,-,CXCR3
B1,LM_0344,23.49,23.66,0.24,-,CXCR3
B2,LM_0344,23.83,23.66,0.24,-,CXCR3
C1,LM_0345,25.41,25.81,0.57,-,CXCR3
C2,LM_0345,26.21,25.81,0.57,-,CXCR3
D1,LM_0345,25.78,25.71,0.1,-,CXCR3
D2,LM_0345,25.64,25.71,0.1,-,CXCR3
E1,LM_0346,25.77,25.87,0.14,-,CXCR3
E2,LM_0346,25.97,25.87,0.14,-,CXCR3
F1,LM_0346,26.15,26.29,0.2,-,CXCR3
F2,LM_0346,26.43,26.29,0.2,-,CXCR3
G1,LM_0347,25.17,25.26,0.13,-,CXCR3
G2,LM_0347,25.35,25.26,0.13,-,CXCR3
H1,LM_0347,25.11,25.31,0.28,-,CXCR3
H2,LM_0347,25.51,25.31,0.28,-,CXCR3
A3,LM_0344,21.05,21.15,0.15,-,IRG6
A4,LM_0344,21.26,21.15,0.15,-,IRG6
B3,LM_0344,20.64,20.78,0.2,-,IRG6
B4,LM_0344,20.92,20.78,0.2,-,IRG6
C3,LM_0345,22.54,22.66,0.17,-,IRG6
C4,LM_0345,22.78,22.66,0.17,-,IRG6
D3,LM_0345,22.29,22.44,0.22,-,IRG6
D4,LM_0345,22.59,22.44,0.22,-,IRG6
E3,LM_0346,23.03,23.07,0.06,-,IRG6
E4,LM_0346,23.12,23.07,0.06,-,IRG6
F3,LM_0346,22.97,23.08,0.15,-,IRG6
F4,LM_0346,23.19,23.08,0.15,-,IRG6
G3,LM_0347,22.27,22.33,0.09,-,IRG6
G4,LM_0347,22.4,22.33,0.09,-,IRG6
H3,LM_0347,22.36,22.31,0.08,-,IRG6
H4,LM_0347,22.25,22.31,0.08,-,IRG6
A5,LM_0344,23.96,24.14,0.26,-,IL-12
A6,LM_0344,24.32,24.14,0.26,-,IL-12
B5,LM_0344,23.35,19.66,5.22,-,IL-12
B6,LM_0344,15.97,19.66,5.22,-,IL-12
C5,LM_0345,25.07,25.12,0.07,-,IL-12
C6,LM_0345,25.17,25.12,0.07,-,IL-12
D5,LM_0345,24.57,24.74,0.24,-,IL-12
D6,LM_0345,24.91,24.74,0.24,-,IL-12
E5,LM_0346,24.88,25,0.17,-,IL-12
E6,LM_0346,25.12,25,0.17,-,IL-12
F5,LM_0346,25.07,25.26,0.27,-,IL-12
F6,LM_0346,25.45,25.26,0.27,-,IL-12
G5,LM_0347,24.38,24.16,0.31,-,IL-12
G6,LM_0347,23.95,24.16,0.31,-,IL-12
H5,LM_0347,24.11,24.17,0.09,-,IL-12
H6,LM_0347,24.23,24.17,0.09,-,IL-12
A7,LM_0344,16.73,16.34,0.55,-,GAPDH
A8,LM_0344,15.95,16.34,0.55,-,GAPDH
B7,LM_0344,16.85,16.6,0.36,-,GAPDH
B8,LM_0344,16.34,16.6,0.36,-,GAPDH
C7,LM_0345,18.91,18.63,0.4,-,GAPDH
C8,LM_0345,18.35,18.63,0.4,-,GAPDH
D7,LM_0345,18.78,18.51,0.38,-,GAPDH
D8,LM_0345,18.24,18.51,0.38,-,GAPDH
E7,LM_0346,19.05,18.83,0.3,-,GAPDH
E8,LM_0346,18.62,18.83,0.3,-,GAPDH
F7,LM_0346,19.18,18.96,0.32,-,GAPDH
F8,LM_0346,18.74,18.96,0.32,-,GAPDH
G7,LM_0347,18.37,18.08,0.41,-,GAPDH
G8,LM_0347,17.79,18.08,0.41,-,GAPDH
H7,LM_0347,18.24,18.1,0.19,-,GAPDH
H8,LM_0347,17.97,18.1,0.19,-,GAPDH
A9,LM_0344,19.74,20.23,0.69,-,B-actin
A10,LM_0344,20.71,20.23,0.69,-,B-actin
B9,LM_0344,19.7,19.98,0.4,-,B-actin
B10,LM_0344,20.26,19.98,0.4,-,B-actin
C9,LM_0345,20.85,21.21,0.5,-,B-actin
C10,LM_0345,21.56,21.21,0.5,-,B-actin
D9,LM_0345,21.09,21.25,0.22,-,B-actin
D10,LM_0345,21.4,21.25,0.22,-,B-actin
E9,LM_0346,22.23,22.37,0.19,-,B-actin
E10,LM_0346,22.5,22.37,0.19,-,B-actin
F9,LM_0346,22.1,22.25,0.2,-,B-actin
F10,LM_0346,22.39,22.25,0.2,-,B-actin
G9,LM_0347,21.28,21.38,0.14,-,B-actin
G10,LM_0347,21.48,21.38,0.14,-,B-actin
H9,LM_0347,21.79,21.65,0.2,-,B-actin
H10,LM_0347,21.5,21.65,0.2,-,B-actin
