Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR,Target SYBR
A1,LM_0340,25.64,25.17,0.67,-,CXCR3
A2,LM_0340,24.7,25.17,0.67,-,CXCR3
B1,LM_0340,25.26,25.04,0.31,-,CXCR3
B2,LM_0340,24.82,25.04,0.31,-,CXCR3
C1,LM_0341,23.77,23.77,0.01,-,CXCR3
C2,LM_0341,23.76,23.77,0.01,-,CXCR3
D1,LM_0341,23.99,23.65,0.48,-,CXCR3
D2,LM_0341,23.31,23.65,0.48,-,CXCR3
E1,LM_0342,24.23,24.25,0.03,-,CXCR3
E2,LM_0342,24.27,24.25,0.03,-,CXCR3
F1,LM_0342,24.16,23.93,0.32,-,CXCR3
F2,LM_0342,23.71,23.93,0.32,-,CXCR3
G1,LM_0343,25.59,25.37,0.31,-,CXCR3
G2,LM_0343,25.15,25.37,0.31,-,CXCR3
H1,LM_0343,25.62,25.64,0.03,-,CXCR3
H2,LM_0343,25.66,25.64,0.03,-,CXCR3
A3,LM_0340,35.87,31.46,6.24,-,IRG6
A4,LM_0340,27.05,31.46,6.24,-,IRG6
B3,LM_0340,22.49,22.46,0.05,-,IRG6
B4,LM_0340,22.42,22.46,0.05,-,IRG6
C3,LM_0341,21.19,20.38,1.14,-,IRG6
C4,LM_0341,19.58,20.38,1.14,-,IRG6
D3,LM_0341,21.38,21.24,0.21,-,IRG6
D4,LM_0341,21.09,21.24,0.21,-,IRG6
E3,LM_0342,21.64,21.62,0.03,-,IRG6
E4,LM_0342,21.6,21.62,0.03,-,IRG6
F3,LM_0342,21.4,21.5,0.14,-,IRG6
F4,LM_0342,21.6,21.5,0.14,-,IRG6
G3,LM_0343,23.22,23.19,0.04,-,IRG6
G4,LM_0343,23.16,23.19,0.04,-,IRG6
H3,LM_0343,23.28,23.13,0.21,-,IRG6
H4,LM_0343,22.98,23.13,0.21,-,IRG6
A5,LM_0340,24.35,23.92,0.6,-,IL-12
A6,LM_0340,23.49,23.92,0.6,-,IL-12
B5,LM_0340,23.95,23.86,0.13,-,IL-12
B6,LM_0340,23.76,23.86,0.13,-,IL-12
C5,LM_0341,22.73,22.95,0.31,-,IL-12
C6,LM_0341,23.16,22.95,0.31,-,IL-12
D5,LM_0341,22.51,22.74,0.32,-,IL-12
D6,LM_0341,22.97,22.74,0.32,-,IL-12
E5,LM_0342,23.2,23.22,0.03,-,IL-12
E6,LM_0342,23.25,23.22,0.03,-,IL-12
F5,LM_0342,23.37,23.18,0.27,-,IL-12
F6,LM_0342,22.99,23.18,0.27,-,IL-12
G5,LM_0343,25.3,24.91,0.55,-,IL-12
G6,LM_0343,24.51,24.91,0.55,-,IL-12
H5,LM_0343,24.53,25.25,1.03,-,IL-12
H6,LM_0343,25.98,25.25,1.03,-,IL-12
A7,LM_0340,18.12,18.21,0.12,-,GAPDH
A8,LM_0340,18.29,18.21,0.12,-,GAPDH
B7,LM_0340,18.89,18.68,0.3,-,GAPDH
B8,LM_0340,18.46,18.68,0.3,-,GAPDH
C7,LM_0341,17.41,17.39,0.03,-,GAPDH
C8,LM_0341,17.37,17.39,0.03,-,GAPDH
D7,LM_0341,17.2,17.27,0.1,-,GAPDH
D8,LM_0341,17.35,17.27,0.1,-,GAPDH
E7,LM_0342,17.67,17.57,0.13,-,GAPDH
E8,LM_0342,17.48,17.57,0.13,-,GAPDH
F7,LM_0342,17.1,17.24,0.2,-,GAPDH
F8,LM_0342,17.38,17.24,0.2,-,GAPDH
G7,LM_0343,18.29,18.66,0.52,-,GAPDH
G8,LM_0343,19.03,18.66,0.52,-,GAPDH
H7,LM_0343,18.66,18.94,0.39,-,GAPDH
H8,LM_0343,19.22,18.94,0.39,-,GAPDH
A9,LM_0340,20.73,20.39,0.48,-,B-actin
A10,LM_0340,20.04,20.39,0.48,-,B-actin
B9,LM_0340,20.49,20.38,0.15,-,B-actin
B10,LM_0340,20.27,20.38,0.15,-,B-actin
C9,LM_0341,21.27,20.92,0.49,-,B-actin
C10,LM_0341,20.58,20.92,0.49,-,B-actin
D9,LM_0341,20.97,20.65,0.45,-,B-actin
D10,LM_0341,20.34,20.65,0.45,-,B-actin
E9,LM_0342,21.12,20.76,0.52,-,B-actin
E10,LM_0342,20.39,20.76,0.52,-,B-actin
F9,LM_0342,20.84,20.57,0.38,-,B-actin
F10,LM_0342,20.3,20.57,0.38,-,B-actin
G9,LM_0343,22.68,22.26,0.6,-,B-actin
G10,LM_0343,21.84,22.26,0.6,-,B-actin
H9,LM_0343,23.32,22.87,0.64,-,B-actin
H10,LM_0343,22.41,22.87,0.64,-,B-actin
