EH_ID,primary_infection,challenge_infection,X,Locality,Genome,mouse_strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,X60.Day,X90.Day,X140.Day,experiment,infection_history
LM0400,E88,E64,3,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9822,M,G54,1M,3.46,6.26,NA,NA,,9/7/2020,10/7/2020,11/26/2020,E10,E88:E64
LM0401,E64,E88,15,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/26/2020,3,8,4,4,TA,188,F,G47,1F,5.53,7.99,NA,NA,REZERVA,9/24/2020,10/24/2020,12/13/2020,E10,E64:E88
LM0402,UNI,E88,5,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/26/2020,3,8,4,4,TA,184,M,G47,1F,5.49,9.35,NA,NA,,9/24/2020,10/24/2020,12/13/2020,E10,UNI:E88
LM0403,UNI,E64,4,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9823,M,G54,1M,3.58,4.99,NA,NA,,9/7/2020,10/7/2020,11/26/2020,E10,UNI:E64
LM0404,E64,E64,8,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/3/2020,2,8,4,4,SZ,9663,F,G47,1F,5.79,8.38,NA,NA,,9/1/2020,10/1/2020,11/20/2020,E10,E64:E64
LM0405,E88,E88,12,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9826,F,G54,1F,3.45,4.88,NA,NA,,9/7/2020,10/7/2020,11/26/2020,E10,E88:E88
LM0406,UNI,E88,6,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9938,M,G55,1M,4.48,7.44,NA,NA,,9/13/2020,10/13/2020,12/2/2020,E10,UNI:E88
LM0407,UNI,E64,5,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9937,M,G55,1M,4.16,6.68,NA,NA,,9/13/2020,10/13/2020,12/2/2020,E10,UNI:E64
LM0408,UNI,E64,2,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/3/2020,2,8,4,4,SZ,9661,M,G47,1M,5.72,8.24,NA,NA,,9/1/2020,10/1/2020,11/20/2020,E10,UNI:E64
LM0409,E64,UNI,3,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/3/2020,2,8,4,4,SZ,9662,M,G47,1M,5.36,7.07,NA,NA,,9/1/2020,10/1/2020,11/20/2020,E10,E64:UNI
