EH_ID,cDNA_conc,260/280,260/230,Date and Time,dilution_1000ng/µl,h2o_to_standard,cDNA_to_25µl_standard,h2o_to_25µl_standard
33,2020.4,1.73,1.79,3/12/2019 00:24:28,0.4949514948,0.5050485052,12.37378737,37.62621263
89,1717,1.7,1.72,3/12/2019 00:24:46,0.5824111823,0.4175888177,14.56027956,35.43972044
28,1680.1,1.7,1.71,3/12/2019 00:25:09,0.5952026665,0.4047973335,14.88006666,35.11993334
30,2117.3,1.73,1.75,3/12/2019 00:25:35,0.4722996269,0.5277003731,11.80749067,38.19250933
80,1686.8,1.7,1.69,3/12/2019 00:25:55,0.5928385108,0.4071614892,14.82096277,35.17903723
85,2127.7,1.73,1.88,3/12/2019 00:26:20,0.4699910702,0.5300089298,11.74977675,38.25022325
73,2256.5,1.76,1.85,3/12/2019 00:26:48,0.4431641923,0.5568358077,11.07910481,38.92089519
66,1270.8,1.66,1.42,3/12/2019 00:27:08,0.7869058861,0.2130941139,19.67264715,30.32735285
84,2480.2,1.74,1.87,3/12/2019 00:27:33,0.4031932909,0.5968067091,10.07983227,39.92016773
60,2054.5,1.75,1.85,3/12/2019 00:27:54,0.4867364322,0.5132635678,12.16841081,37.83158919
79,2040,1.74,1.81,3/12/2019 00:28:14,0.4901960784,0.5098039216,12.25490196,37.74509804
46,1690.8,1.72,1.81,3/12/2019 00:28:35,0.5914360066,0.4085639934,14.78590017,35.21409983
29,1163.5,1.7,1.64,3/12/2019 00:28:54,0.8594757198,0.1405242802,21.486893,28.513107
74,2127.7,1.75,1.81,3/12/2019 00:29:20,0.4699910702,0.5300089298,11.74977675,38.25022325
56,2124.7,1.74,1.81,3/12/2019 00:29:43,0.4706546807,0.5293453193,11.76636702,38.23363298
65,2156.3,1.73,1.8,3/12/2019 00:30:06,0.4637573621,0.5362426379,11.59393405,38.40606595
54,2049.4,1.73,1.73,3/12/2019 00:30:27,0.487947692,0.512052308,12.1986923,37.8013077
