HU_freezer_contents,,,,,,,
Mesenteric lymph nodes,,,,,,,
dpi3,dpi5,dpi7,dpi9,dpi11,,,
26,22,24,23,25,,,
39,29,29,28,27,,,
40,47,37,30,31,,,
41,50,42,33,32,,,
44,55,43,35,45,,missing,doubles
51,57,46,38,48,,21,29
57,61,59,54,49,,34,56
63,64,62,56,53,,36,57
67,68,74,56,71,,52,
69,70,75,58,72,,65,
76,77,79,60,78,,87,
81,82,84,66,,,92,
86,83,85,73,,,,
90,88,94,80,,,,
95,93,,89,,,,
,,,91,,,,
