Target,Infection group ,Dpi,,Sample,Cq,Cq Mean,Cq Std. Dev,Target,Cq,Cq Mean,Cq Std. Dev
Mus-CDC42,Eflab,7,,LM0059,25.49,25.51,0.034,Eim-COI,19.23,19.01,0.321
Mus-CDC42,Eflab,7,,LM0079,28.81,28.32,0.684,Eim-COI,21.60,21.46,0.210
Mus-CDC42,Eflab,7,,LM0079,27.84,28.32,0.684,Eim-COI,21.31,21.46,0.210
Mus-CDC42,Efwild,7,,LM0094,26.04,25.90,0.199,Eim-COI,18.34,18.28,0.077
Mus-CDC42,Efwild,7,,LM0094,25.76,25.90,0.199,Eim-COI,18.23,18.28,0.077
Mus-CDC42,Efwild,7,,LM0024,24.28,24.20,0.110,Eim-COI,18.33,18.30,0.037
Mus-CDC42,Efwild,7,,LM0024,24.13,24.20,0.110,Eim-COI,18.28,18.30,0.037
Mus-CDC42,Efwild,7,,LM0046,26.13,26.13,0.005,Eim-COI,21.78,21.78,0.011
Mus-CDC42,Efwild,7,,LM0046,26.12,26.13,0.005,Eim-COI,21.79,21.78,0.011
Mus-CDC42,E64,7,,LM0029,27.59,27.51,0.110,Eim-COI,25.52,25.62,0.145
Mus-CDC42,E64,7,,LM0029,27.43,27.51,0.110,Eim-COI,25.72,25.62,0.145
Mus-CDC42,E64,7,,LM0084,25.12,25.10,0.031,Eim-COI,29.35,29.51,0.222
Mus-CDC42,E64,7,,LM0084,25.08,25.10,0.031,Eim-COI,29.66,29.51,0.222
Mus-CDC42,E64,7,,LM0043,26.66,26.37,0.400,Eim-COI,24.39,24.24,0.216
Mus-CDC42,E64,7,,LM0043,26.09,26.37,0.400,Eim-COI,24.09,24.24,0.216
Mus-CDC42,Uninf,7,,LM0065,25.91,25.98,0.098,Eim-COI,31.13,30.82,0.444
Mus-CDC42,Uninf,7,,LM0065,26.05,25.98,0.098,Eim-COI,30.50,30.82,0.444
Mus-CDC42,Eflab,9,,LM0033,27.66,27.72,0.096,Eim-COI,23.28,23.29,0.012
Mus-CDC42,Eflab,9,,LM0033,27.79,27.72,0.096,Eim-COI,23.30,23.29,0.012
Mus-CDC42,Eflab,9,,LM0073,27.12,26.92,0.277,Eim-COI,23.72,23.74,0.033
Mus-CDC42,Eflab,9,,LM0073,26.72,26.92,0.277,Eim-COI,23.77,23.74,0.033
Mus-CDC42,Eflab,9,,LM0080,25.19,25.19,0.002,Eim-COI,25.05,25.05,0.001
Mus-CDC42,Eflab,9,,LM0080,25.18,25.19,0.002,Eim-COI,25.05,25.05,0.001
Mus-CDC42,Efwild,9,,LM0045,27.36,27.45,0.122,Eim-COI,21.60,21.48,0.178
Mus-CDC42,Efwild,9,,LM0045,27.54,27.45,0.122,Eim-COI,21.35,21.48,0.178
Mus-CDC42,Efwild,9,,LM0028,26.13,25.86,0.381,Eim-COI,24.38,24.36,0.017
Mus-CDC42,Efwild,9,,LM0028,25.59,25.86,0.381,Eim-COI,24.35,24.36,0.017
Mus-CDC42,Efwild,9,,LM0030,27.71,27.60,0.159,Eim-COI,23.00,22.91,0.131
Mus-CDC42,Efwild,9,,LM0030,27.48,27.60,0.159,Eim-COI,22.81,22.91,0.131
Mus-CDC42,E64,9,,LM0035,26.05,26.22,0.241,Eim-COI,30.02,29.97,0.070
Mus-CDC42,E64,9,,LM0035,26.39,26.22,0.241,Eim-COI,29.93,29.97,0.070
Mus-CDC42,E64,9,,LM0056,25.91,25.98,0.098,Eim-COI,30.04,29.91,0.190
Mus-CDC42,E64,9,,LM0056,26.05,25.98,0.098,Eim-COI,29.77,29.91,0.190
Mus-CDC42,E64,9,,LM0066,27.14,27.21,0.098,Eim-COI,27.21,27.39,0.258
Mus-CDC42,E64,9,,LM0066,27.28,27.21,0.098,Eim-COI,27.58,27.39,0.258
Mus-CDC42,Eflab,11,,lm0025,25.48,25.58,0.144,Eim-COI,31.66,31.80,0.200
Mus-CDC42,Eflab,11,,lm0025,25.69,25.58,0.144,Eim-COI,31.94,31.80,0.200
Mus-CDC42,Eflab,11,,lm0031,29.01,28.85,0.220,Eim-COI,32.23,31.76,0.674
Mus-CDC42,Eflab,11,,lm0031,28.70,28.85,0.220,Eim-COI,31.28,31.76,0.674
Mus-CDC42,Efwild,11,,lm0048,27.51,27.32,0.271,Eim-COI,31.04,30.65,0.554
Mus-CDC42,Efwild,11,,lm0048,27.13,27.32,0.271,Eim-COI,30.25,30.65,0.554
Mus-CDC42,Efwild,11,,lm0027,28.69,28.71,0.029,Eim-COI,29.94,29.94,0.007
Mus-CDC42,Efwild,11,,lm0027,28.73,28.71,0.029,Eim-COI,29.93,29.94,0.007
Mus-CDC42,Efwild,11,,lm0054,26.00,26.84,1.182,Eim-COI,,39.00,0.000
Mus-CDC42,Efwild,11,,lm0054,27.67,26.84,1.182,Eim-COI,,39.00,0.000
Mus-CDC42,E64,11,,lm0072,27.68,27.60,0.116,Eim-COI,37.64,37.36,0.403
Mus-CDC42,E64,11,,lm0072,27.52,27.60,0.116,Eim-COI,37.07,37.36,0.403
Mus-CDC42,E64,11,,lm0078,27.08,27.04,0.062,Eim-COI,30.88,30.76,0.180
Mus-CDC42,E64,11,,lm0078,27.00,27.04,0.062,Eim-COI,30.63,30.76,0.180
Mus-CDC42,E64,11,,lm0071,25.06,25.12,0.085,Eim-COI,21.45,21.26,0.274
Mus-CDC42,E64,11,,lm0071,25.18,25.12,0.085,Eim-COI,21.07,21.26,0.274
,,NC,,lm0049,25.13,25.14,0.012,Eim-COI,,39.00,0.000
,,NC,,lm0049,25.15,25.14,0.012,Eim-COI,35.25,35.25,0.000
,,NC,,lm0032,22.58,22.58,0.001,Eim-COI,31.59,31.59,0.004
,,NC,,lm0032,22.58,22.58,0.001,Eim-COI,31.60,31.59,0.004
,,NC,,lm0053,22.53,22.86,0.461,Eim-COI,35.34,33.73,2.277
,,NC,,lm0053,23.18,22.86,0.461,Eim-COI,32.12,33.73,2.277
,,NC,,lm0023,23.75,23.80,0.073,Eim-COI,34.47,33.83,0.902
,,NC,,lm0023,23.85,23.80,0.073,Eim-COI,33.19,33.83,0.902
,,NC,,lm0085,25.65,25.63,0.033,Eim-COI,34.71,35.97,1.784
,,NC,,lm0085,25.61,25.63,0.033,Eim-COI,37.23,35.97,1.784
,,NC,,lm0065,22.76,22.93,0.251,Eim-COI,28.07,27.92,0.210
,,NC,,lm0065,23.11,22.93,0.251,Eim-COI,27.77,27.92,0.210
,,NC,,lm0042,24.74,24.65,0.128,Eim-COI,33.57,32.54,1.454
,,NC,,lm0042,24.56,24.65,0.128,Eim-COI,31.51,32.54,1.454
,,NC,,lm0047,24.37,24.32,0.068,Eim-COI,38.12,35.62,3.531
,,NC,,lm0047,24.27,24.32,0.068,Eim-COI,33.12,35.62,3.531
,,NC,,lm0081,25.67,25.68,0.024,Eim-COI,31.98,32.61,0.889
,,NC,,lm0081,25.70,25.68,0.024,Eim-COI,33.24,32.61,0.889
,,NC,,lm0088,22.97,23.13,0.220,Eim-COI,33.19,32.82,0.529
,,NC,,lm0088,23.28,23.13,0.220,Eim-COI,32.44,32.82,0.529
,,NC,,lm0089,25.97,25.96,0.012,Eim-COI,34.77,33.07,2.396
,,NC,,lm0089,25.95,25.96,0.012,Eim-COI,31.38,33.07,2.396
,,NC,,lm0091,26.08,25.97,0.147,Eim-COI,31.70,31.42,0.396
,,NC,,lm0091,25.87,25.97,0.147,Eim-COI,31.14,31.42,0.396
,,NC,,lm0086,25.73,25.68,0.079,Eim-COI,,39.00,0.000
,,NC,,lm0086,25.62,25.68,0.079,Eim-COI,39.12,39.12,0.000
