File Name;Luke_2019_05_21_Enas2017samples_36_37_38_39.pcrd
Created By User;admin
Notes;
ID;
Run Started;05/21/2019 12:37:12 UTC
Run Ended;05/21/2019 14:24:50 UTC
Sample Vol;10
Lid Temp;105
Protocol File Name;gene expression protocol.prcl
Plate Setup File Name;Luke_plate_Enas2017samples.pltd
Base Serial Number;CC011210
Optical Head Serial Number;785BR4191
CFX Manager Version;3.1.1517.0823. 
