;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;LM36;24,2489388566243;24,2489388566243;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;LM37;28,5559416771941;28,5559416771941;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;LM38;24,1590151829209;24,1590151829209;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;LM39;25,4919911490512;25,4919911490512;n. def.;n. def.;n. def.;No change;n. def.;No
;CXCL9;LM36;27,6821551429775;27,6821551429775;0,0145733739440913;1;1;No change;n. def.;No
;CXCL9;LM37;30,3059996774131;30,3059996774131;0,0329213234877055;2,2590049232253;2,2590049232253;No change;0,0182869936631949;Yes
;CXCL9;LM38;31,4906965335953;31,4906965335953;0,00120226835653313;0,0824975987815497;-12,12156492758;Down regulated;0,834883679801463;Yes
;CXCL9;LM39;21,9574900246158;21,9574900246158;0,500275331313861;34,328037778561;34,328037778561;Up regulated;0,0858992828896593;Yes
;IFN-y;LM36;24,6618228457118;24,6618228457118;0,118241716891421;1;1;No change;n. def.;No
;IFN-y;LM37;32,8293403285767;32,8293403285767;0,0057263258961389;0,0484289812993606;-20,6487927924514;Down regulated;0,00273143082995198;No
;IFN-y;LM38;25,3092431024953;25,3092431024953;0,0872578114921713;0,73796130322007;-1,35508460353752;No change;0,215315179378487;Yes
;IFN-y;LM39;23,128076862508;23,128076862508;0,222242614491037;1,87956180216089;1,87956180216089;No change;0,103964122786575;Yes
;IL-10;LM36;38,0523571225073;38,0523571225073;1,10107842216102E-05;1;1;No change;n. def.;No
;IL-10;LM37;34,215449774151;34,215449774151;0,00219086461231084;198,974438897001;198,974438897001;Up regulated;n. def.;No
;IL-10;LM38;33,5361172005981;33,5361172005981;0,000291251682046941;26,451493025839;26,451493025839;Up regulated;0,170236755780523;Yes
;IL-10;LM39;26,70315915786;26,70315915786;0,0186474877125161;1693,56581122694;1693,56581122694;Up regulated;0,0938198541406721;Yes
;IL-12;LM36;28,7744965069208;28,7744965069208;0,0068349067335252;1;1;No change;n. def.;No
;IL-12;LM37;36,3065654424852;36,3065654424852;0,000514193994424353;0,0752305795047989;-13,2924670603689;Down regulated;0,339034745417574;Yes
;IL-12;LM38;28,1539034110566;28,1539034110566;0,0121472015061042;1,77723003102913;1,77723003102913;No change;0,72893361919617;Yes
;IL-12;LM39;29,7875558083771;29,7875558083771;0,00219848961923327;0,32165612567172;-3,10891016893175;No change;0,406822342184963;Yes
;IL-6;LM36;24,9662823031827;24,9662823031827;0,0957457042618175;1;1;No change;n. def.;No
;IL-6;LM37;30,4432844407664;30,4432844407664;0,0299330143911376;0,312630364170548;-3,19866562754754;No change;0,0891077509181492;Yes
;IL-6;LM38;25,8789658958125;25,8789658958125;0,0587896217915342;0,614018375495714;-1,62861575468759;No change;0,234423980126153;Yes
;IL-6;LM39;28,5952787107863;28,5952787107863;0,00502383756340872;0,0524706314726245;-19,0582802595339;Down regulated;0,0471072821266456;Yes
;Ppia;LM36;19,1819173498632;19,1819173498632;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;LM37;23,349624138355;23,349624138355;n. def.;n. def.;n. def.;No change;0,116487632183768;Yes
;Ppia;LM38;19,3588210486922;19,3588210486922;n. def.;n. def.;n. def.;No change;0,79995260071504;Yes
;Ppia;LM39;19,0811560619941;19,0811560619941;n. def.;n. def.;n. def.;No change;0,61126483912974;Yes
;Ppip;LM36;21,314045414822;21,314045414822;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppip;LM37;24,2379316538033;24,2379316538033;n. def.;n. def.;n. def.;No change;0,0350718643485919;Yes
;Ppip;LM38;21,8541773766151;21,8541773766151;n. def.;n. def.;n. def.;No change;0,315310233748261;Yes
;Ppip;LM39;18,3017055215685;18,3017055215685;n. def.;n. def.;n. def.;No change;0,0481071124772186;Yes
;STAT6;LM36;25,3596881535607;25,3596881535607;0,0728940930012887;1;1;No change;n. def.;No
;STAT6;LM37;33,2176097310956;33,2176097310956;0,00437517394795145;0,0600209669646909;-16,6608445443453;Down regulated;0,00591042620331173;No
;STAT6;LM38;24,9650204081174;24,9650204081174;0,110770896978674;1,51961417472766;1,51961417472766;No change;0,015968558492828;Yes
;STAT6;LM39;26,4343018454019;26,4343018454019;0,022467484215805;0,308220917371285;-3,24442613606069;No change;0,0164333177524757;Yes
;TGF-b;LM36;26,5720560404508;26,5720560404508;0,0314581541925485;1;1;No change;n. def.;No
;TGF-b;LM37;31,6811371429379;31,6811371429379;0,0126916959962151;0,403446938384624;-2,47864069561152;No change;n. def.;No
;TGF-b;LM38;28,9351245801147;28,9351245801147;0,00706814142755241;0,224683920877552;-4,45069676590243;Down regulated;0,233727381095802;Yes
;TGF-b;LM39;24,0425641840172;24,0425641840172;0,117906900547033;3,74805526813017;3,74805526813017;No change;0,1154077551123;Yes
