;Target;Sample;Regulation
;CDC42;LM37;n. def.
;CXCL9;LM37;2,2590049232253
;IFN-y;LM37;-20,6487927924514
;IL-10;LM37;198,974438897001
;IL-12;LM37;-13,2924670603689
;IL-6;LM37;-3,19866562754754
;Ppia;LM37;n. def.
;Ppip;LM37;n. def.
;STAT6;LM37;-16,6608445443453
;TGF-b;LM37;-2,47864069561152
